team,team_code,group,player,name_on_shirt,position,date_of_birth,club,height_cm,squad_status,squad_size_rule,source,source_url,last_verified,notes,name_on_shirt_raw
Algeria,ALG,J,Melvin MASTIL,MASTIL,GK,19/02/2000,FC Stade Nyonnais (SUI),194,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,MASTIL MASTIL
Algeria,ALG,J,Aissa MANDI,MANDI,DF,22/10/1991,Lille OSC (FRA),184,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,MANDI MANDI
Algeria,ALG,J,Achraf ABADA,ABADA,DF,15/06/1999,USM Alger (ALG),185,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,ABADA ABADA
Algeria,ALG,J,Mohamed TOUGAI,TOUGAI,DF,22/01/2000,Espérance De Tunisie (TUN),186,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,TOUGAI TOUGAI
Algeria,ALG,J,Zineddine BELAID,BELAÏD,DF,20/03/1999,JS Kabylie (ALG),186,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,BELAÏD BELAID
Algeria,ALG,J,Ramiz ZERROUKI,ZERROUKI,MF,26/05/1998,FC Twente (NED),183,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,ZERROUKI ZERROUKI
Algeria,ALG,J,Riyad MAHREZ,MAHREZ,FW,21/02/1991,Al Ahli FC (KSA),179,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,MAHREZ MAHREZ
Algeria,ALG,J,Houssem AOUAR,AOUAR,MF,30/06/1998,Al Ittihad (KSA),175,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,AOUAR AOUAR
Algeria,ALG,J,Amine GOUIRI,GOUIRI,FW,16/02/2000,Olympique Marseille (FRA),180,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,GHOUIRI GOUIRI
Algeria,ALG,J,Fares CHAIBI,CHAIBI,MF,28/11/2002,Eintracht Frankfurt (GER),183,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,CHAIBI CHAIBI
Algeria,ALG,J,Anis HADJ MOUSSA,HADJ MOUSSA,FW,11/02/2002,Feyenoord Rotterdam (NED),176,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,HADJ MOUSSA HADJ MOUSSA
Algeria,ALG,J,Nadhir BENBOUALI,BENBOUALI,FW,17/04/2000,Györi ETO FC (HUN),190,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,BENBOUALI BENBOUALI
Algeria,ALG,J,Jaouen HADJAM,HADJAM,DF,26/03/2003,BSC Young Boys (SUI),185,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,HADJAM HADJAM
Algeria,ALG,J,Hicham BOUDAOUI,BOUDAOUI,MF,23/09/1999,OGC Nice (FRA),175,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,BOUDAOUI BOUDAOUI
Algeria,ALG,J,Rayan AIT-NOURI,AÏT-NOURI,DF,06/06/2001,Manchester City FC (ENG),180,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,AÏT-NOURI AÏT NOURI
Algeria,ALG,J,Oussama BENBOT,BENBOT,GK,11/10/1994,USM Alger (ALG),188,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,BENBOT BENBOT
Algeria,ALG,J,Ra BELGHALI,BELGHALI,DF,07/06/2002,Hellas Verona FC (ITA),180,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,BELGHALI BELGHALI
Algeria,ALG,J,Mohamed AMOURA,AMOURA,FW,09/05/2000,VfL Wolfsburg (GER),170,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,AMOURA AMOURA
Algeria,ALG,J,Nabil BENTALEB,BENTALEB,MF,24/11/1994,Lille OSC (FRA),189,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,BENTALEB BENTALEB
Algeria,ALG,J,Adil BOULBINA,BOULBINA,FW,02/05/2003,Al Duhail SC (QAT),183,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,BOULBINA BOULBINA
Algeria,ALG,J,Ramy BENSEBAINI,BENSEBAINI,DF,16/04/1995,Borussia Dortmund (GER),187,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,BENSEBAINI BENSEBAINI
Algeria,ALG,J,Ibrahim MAZA,MAZA,MF,24/11/2005,Bayer Leverkusen (GER),180,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,MAZA MAZA
Algeria,ALG,J,Luca ZIDANE,ZIDANE,GK,13/05/1998,Granada CF (ESP),183,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,ZIDANE ZIDANE
Algeria,ALG,J,Yassine TITRAOUI,TITRAOUI,MF,26/08/2003,Sporting Charleroi (BEL),180,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,M E G TITRAOUI TITRAOUI
Algeria,ALG,J,Fares GHEDJEMIS,GHEDJEMIS,FW,06/09/2002,Frosinone (ITA),183,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,GHEDJEMIS GHEDJEMIS
Algeria,ALG,J,Samir CHERGUI,CHERGUI,DF,06/02/1999,Paris FC (FRA),185,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,CHERGUI CHRGUI
Argentina,ARG,J,Juan MUSSO,MUSSO,GK,06/05/1994,Atlético De Madrid (ESP),193,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,MUSSO MUSSO
Argentina,ARG,J,Leonardo BALERDI,BALERDI,DF,26/01/1999,Olympique Marseille (FRA),188,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,BALERDI ROSA BALERDI
Argentina,ARG,J,Nicolas TAGLIAFICO,TAGLIAFICO,DF,31/08/1992,Olympique Lyonnais (FRA),172,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,TAGLIAFICO TAGLIAFICO
Argentina,ARG,J,Gonzalo MONTIEL,MONTIEL,DF,01/01/1997,CA River Plate (ARG),175,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,MONTIEL MONTIEL
Argentina,ARG,J,Leandro PAREDES,PAREDES,MF,29/06/1994,CA Boca Juniors (ARG),182,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,PAREDES PAREDES
Argentina,ARG,J,Lisandro MARTINEZ,MARTÍNEZ,DF,18/01/1998,Manchester United FC (ENG),175,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,MARTÍNEZ MARTÍNEZ
Argentina,ARG,J,Rodrigo DE PAUL,DE PAUL,MF,24/05/1994,Inter Miami CF (USA),178,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,DE PAUL DE PAUL
Argentina,ARG,J,Valentin BARCO,BARCO,MF,23/07/2004,RC Strasbourg (FRA),172,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,BARCO BARCO
Argentina,ARG,J,Julian ALVAREZ,ÁLVAREZ,FW,31/01/2000,Atlético De Madrid (ESP),170,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,ÁLVAREZ J. ALVAREZ
Argentina,ARG,J,Lionel MESSI,MESSI,FW,24/06/1987,Inter Miami CF (USA),170,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,MESSI MESSI
Argentina,ARG,J,Giovani LO CELSO,LO CELSO,MF,09/04/1996,Real Betis (ESP),177,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,LO CELSO LO CELSO
Argentina,ARG,J,Geronimo RULLI,RULLI,GK,20/05/1992,Olympique Marseille (FRA),189,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,RULLI RULLI
Argentina,ARG,J,Cristian ROMERO,ROMERO,DF,27/04/1998,Tottenham Hotspur FC (ENG),185,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,ROMERO ROMERO
Argentina,ARG,J,Exequiel PALACIOS,PALACIOS,MF,05/10/1998,Bayer Leverkusen (GER),177,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,PALACIOS PALACIOS
Argentina,ARG,J,Nico GONZALEZ,GONZALEZ,MF,06/04/1998,Atlético De Madrid (ESP),180,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,GONZALEZ N. GONZALEZ
Argentina,ARG,J,Thiago ALMADA,ALMADA,FW,26/04/2001,Atlético De Madrid (ESP),171,final,26,FIFA official squad list PDF,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-15,Parsed from FIFA official PDF text. Shirt numbers are not reliably mapped in extracted PDF text; use cross-check sources before matchday use.,ALMADA ALMADA
