option,advancing_groups,eliminated_groups,vs_1A,vs_1B,vs_1D,vs_1E,vs_1G,vs_1I,vs_1K,vs_1L
1,EFGHIJKL,ABCD,3E,3J,3I,3F,3H,3G,3L,3K
2,DFGHIJKL,ABCE,3H,3G,3I,3D,3J,3F,3L,3K
3,DEGHIJKL,ABCF,3E,3J,3I,3D,3H,3G,3L,3K
4,DEFHIJKL,ABCG,3E,3J,3I,3D,3H,3F,3L,3K
5,DEFGIJKL,ABCH,3E,3G,3I,3D,3J,3F,3L,3K
6,DEFGHJKL,ABCI,3E,3G,3J,3D,3H,3F,3L,3K
7,DEFGHIKL,ABCJ,3E,3G,3I,3D,3H,3F,3L,3K
8,DEFGHIJL,ABCK,3E,3G,3J,3D,3H,3F,3L,3I
9,DEFGHIJK,ABCL,3E,3G,3J,3D,3H,3F,3I,3K
10,CFGHIJKL,ABDE,3H,3G,3I,3C,3J,3F,3L,3K
11,CEGHIJKL,ABDF,3E,3J,3I,3C,3H,3G,3L,3K
12,CEFHIJKL,ABDG,3E,3J,3I,3C,3H,3F,3L,3K
13,CEFGIJKL,ABDH,3E,3G,3I,3C,3J,3F,3L,3K
14,CEFGHJKL,ABDI,3E,3G,3J,3C,3H,3F,3L,3K
15,CEFGHIKL,ABDJ,3E,3G,3I,3C,3H,3F,3L,3K
16,CEFGHIJL,ABDK,3E,3G,3J,3C,3H,3F,3L,3I
17,CEFGHIJK,ABDL,3E,3G,3J,3C,3H,3F,3I,3K
18,CDGHIJKL,ABEF,3H,3G,3I,3C,3J,3D,3L,3K
19,CDFHIJKL,ABEG,3C,3J,3I,3D,3H,3F,3L,3K
20,CDFGIJKL,ABEH,3C,3G,3I,3D,3J,3F,3L,3K
21,CDFGHJKL,ABEI,3C,3G,3J,3D,3H,3F,3L,3K
22,CDFGHIKL,ABEJ,3C,3G,3I,3D,3H,3F,3L,3K
23,CDFGHIJL,ABEK,3C,3G,3J,3D,3H,3F,3L,3I
24,CDFGHIJK,ABEL,3C,3G,3J,3D,3H,3F,3I,3K
25,CDEHIJKL,ABFG,3E,3J,3I,3C,3H,3D,3L,3K
26,CDEGIJKL,ABFH,3E,3G,3I,3C,3J,3D,3L,3K
27,CDEGHJKL,ABFI,3E,3G,3J,3C,3H,3D,3L,3K
28,CDEGHIKL,ABFJ,3E,3G,3I,3C,3H,3D,3L,3K
29,CDEGHIJL,ABFK,3E,3G,3J,3C,3H,3D,3L,3I
30,CDEGHIJK,ABFL,3E,3G,3J,3C,3H,3D,3I,3K
31,CDEFIJKL,ABGH,3C,3J,3E,3D,3I,3F,3L,3K
32,CDEFHJKL,ABGI,3C,3J,3E,3D,3H,3F,3L,3K
33,CDEFHIKL,ABGJ,3C,3E,3I,3D,3H,3F,3L,3K
34,CDEFHIJL,ABGK,3C,3J,3E,3D,3H,3F,3L,3I
35,CDEFHIJK,ABGL,3C,3J,3E,3D,3H,3F,3I,3K
36,CDEFGJKL,ABHI,3C,3G,3E,3D,3J,3F,3L,3K
37,CDEFGIKL,ABHJ,3C,3G,3E,3D,3I,3F,3L,3K
38,CDEFGIJL,ABHK,3C,3G,3E,3D,3J,3F,3L,3I
39,CDEFGIJK,ABHL,3C,3G,3E,3D,3J,3F,3I,3K
40,CDEFGHKL,ABIJ,3C,3G,3E,3D,3H,3F,3L,3K
41,CDEFGHJL,ABIK,3C,3G,3J,3D,3H,3F,3L,3E
42,CDEFGHJK,ABIL,3C,3G,3J,3D,3H,3F,3E,3K
43,CDEFGHIL,ABJK,3C,3G,3E,3D,3H,3F,3L,3I
