match_id,group,round,home,away,home_points,away_points,home_rank,away_rank,home_goal_difference,away_goal_difference,home_draw_acceptance,away_draw_acceptance,mutual_draw_acceptance,home_must_win_pressure,away_must_win_pressure,home_top_spot_incentive,away_top_spot_incentive,home_controlled_win_incentive,away_controlled_win_incentive,home_path_state,away_path_state,home_state_reason_code,away_state_reason_code,late_draw_control_index,late_chase_suppression,first_place_slot,second_place_slot,third_place_candidate_slots,bracket_path_known,context_quality,context_reason,last_updated
WC2026-A1,A,1,Mexico,South Africa,0,0,3,4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.3700,0.2500,0.0000,0.0000,opening_round,opening_round,R1_OPENING_BASELINE,R1_OPENING_BASELINE,0.0000,0.0000,1A,2A,3A candidate for 1E; 3A candidate for 1G,false,B,R1: no group-table strategic context.,2026-06-21
WC2026-A2,A,1,South Korea,Czechia,0,0,3,2,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000,0.0000,opening_round,opening_round,R1_OPENING_BASELINE,R1_OPENING_BASELINE,0.0000,0.0000,1A,2A,3A candidate for 1E; 3A candidate for 1G,false,B,R1: no group-table strategic context.,2026-06-21
WC2026-B3,B,1,Canada,Bosnia and Herzegovina,0,0,2,4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.3700,0.2500,0.0000,0.0000,opening_round,opening_round,R1_OPENING_BASELINE,R1_OPENING_BASELINE,0.0000,0.0000,1B,2B,3B candidate for 1D; 3B candidate for 1E,false,B,R1: no group-table strategic context.,2026-06-21
WC2026-D4,D,1,USA,Paraguay,0,0,1,3,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.3700,0.2500,0.0000,0.0000,opening_round,opening_round,R1_OPENING_BASELINE,R1_OPENING_BASELINE,0.0000,0.0000,1D,2D,3D candidate for 1E; 3D candidate for 1I; 3D candidate for 1K,false,B,R1: no group-table strategic context.,2026-06-21
WC2026-C5,C,1,Haiti,Scotland,0,0,3,4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000,0.0000,opening_round,opening_round,R1_OPENING_BASELINE,R1_OPENING_BASELINE,0.0000,0.0000,1C,2C,3C candidate for 1A; 3C candidate for 1E; 3C candidate for 1I,false,B,R1: no group-table strategic context.,2026-06-21
WC2026-D6,D,1,Australia,Turkey,0,0,2,3,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000,0.0000,opening_round,opening_round,R1_OPENING_BASELINE,R1_OPENING_BASELINE,0.0000,0.0000,1D,2D,3D candidate for 1E; 3D candidate for 1I; 3D candidate for 1K,false,B,R1: no group-table strategic context.,2026-06-21
WC2026-C7,C,1,Brazil,Morocco,0,0,3,1,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000,0.0000,opening_round,opening_round,R1_OPENING_BASELINE,R1_OPENING_BASELINE,0.0000,0.0000,1C,2C,3C candidate for 1A; 3C candidate for 1E; 3C candidate for 1I,false,B,R1: no group-table strategic context.,2026-06-21
WC2026-B8,B,1,Qatar,Switzerland,0,0,4,3,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000,0.0000,opening_round,opening_round,R1_OPENING_BASELINE,R1_OPENING_BASELINE,0.0000,0.0000,1B,2B,3B candidate for 1D; 3B candidate for 1E,false,B,R1: no group-table strategic context.,2026-06-21
WC2026-E9,E,1,Ivory Coast,Ecuador,0,0,3,2,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000,0.0000,opening_round,opening_round,R1_OPENING_BASELINE,R1_OPENING_BASELINE,0.0000,0.0000,1E,2E,3E candidate for 1A; 3E candidate for 1B; 3E candidate for 1D; 3E candidate for 1G,false,B,R1: no group-table strategic context.,2026-06-21
WC2026-E10,E,1,Germany,Curacao,0,0,1,4,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000,0.0000,opening_round,opening_round,R1_OPENING_BASELINE,R1_OPENING_BASELINE,0.0000,0.0000,1E,2E,3E candidate for 1A; 3E candidate for 1B; 3E candidate for 1D; 3E candidate for 1G,false,B,R1: no group-table strategic context.,2026-06-21
