group,slot,team_en,team_zh
A,1,Mexico,墨西哥
A,2,South Africa,南非
A,3,South Korea,韩国
A,4,Czechia,捷克
B,1,Canada,加拿大
B,2,Bosnia and Herzegovina,波黑
B,3,Qatar,卡塔尔
B,4,Switzerland,瑞士
C,1,Brazil,巴西
C,2,Morocco,摩洛哥
C,3,Haiti,海地
C,4,Scotland,苏格兰
D,1,USA,美国
D,2,Paraguay,巴拉圭
D,3,Australia,澳大利亚
D,4,Turkey,土耳其
E,1,Germany,德国
E,2,Curacao,库拉索
E,3,Ivory Coast,科特迪瓦
E,4,Ecuador,厄瓜多尔
F,1,Netherlands,荷兰
F,2,Japan,日本
F,3,Sweden,瑞典
F,4,Tunisia,突尼斯
G,1,Belgium,比利时
G,2,Egypt,埃及
G,3,Iran,伊朗
G,4,New Zealand,新西兰
H,1,Spain,西班牙
H,2,Cape Verde,佛得角
H,3,Saudi Arabia,沙特
H,4,Uruguay,乌拉圭
I,1,France,法国
I,2,Senegal,塞内加尔
I,3,Iraq,伊拉克
I,4,Norway,挪威
J,1,Argentina,阿根廷
J,2,Algeria,阿尔及利亚
J,3,Austria,奥地利
J,4,Jordan,约旦
K,1,Portugal,葡萄牙
K,2,DR Congo,刚果金
K,3,Uzbekistan,乌兹别克斯坦
K,4,Colombia,哥伦比亚
L,1,England,英格兰
L,2,Croatia,克罗地亚
L,3,Ghana,加纳
L,4,Panama,巴拿马
