generated_at,match_id,group,team,current_rank,current_points,current_gd,current_gf,qualification_secure_prob,possible_finish_positions,route_if_first,route_if_second,route_if_third,route_score_first,route_score_second,route_score_third,expected_route_difficulty_first,expected_route_difficulty_second,route_uncertainty,annex_scenarios_covered,best_route_position,route_preference_delta,route_avoidance_applicable,route_avoidance_strength,primary_route_reason,uncertainty_level,source,source_url,notes
2026-06-22T04:49:25Z,,A,Mexico,1,6,3,3,1.0,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2B,R32 vs best_third_pool (uncertain),0.5786,0.65,0.5165,0.5786,0.65,0.2153,495,first,0.0,false,none,route_scores_too_close,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=clinched_top2
2026-06-22T04:49:25Z,,A,South Korea,2,3,0,2,0.8105,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2B,R32 vs best_third_pool (uncertain),0.5786,0.65,0.5165,0.5786,0.65,0.2153,495,first,0.0714,false,none,route_scores_too_close,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_not_lose
2026-06-22T04:49:25Z,,A,Czechia,3,1,-1,2,0.4706,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2B,R32 vs best_third_pool (uncertain),0.5786,0.65,0.5165,0.5786,0.65,0.2153,495,first,0.0714,false,none,advancement_pressure_overrides_route,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_win
2026-06-22T04:49:25Z,,A,South Africa,4,1,-2,1,0.366,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2B,R32 vs best_third_pool (uncertain),0.5786,0.65,0.5165,0.5786,0.65,0.2153,495,first,0.0714,false,none,advancement_pressure_overrides_route,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_win
2026-06-22T04:49:25Z,,B,Canada,1,4,6,7,1.0,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2A,R32 vs best_third_pool (uncertain),0.5602,0.5056,0.5165,0.5602,0.5056,0.173,495,second,0.0546,false,none,route_scores_too_close,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=near_clinched
2026-06-22T04:49:25Z,,B,Switzerland,2,4,3,5,1.0,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2A,R32 vs best_third_pool (uncertain),0.5602,0.5056,0.5165,0.5602,0.5056,0.173,495,second,0.0,false,none,route_scores_too_close,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=near_clinched
2026-06-22T04:49:25Z,,B,Bosnia and Herzegovina,3,1,-3,2,0.345,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2A,R32 vs best_third_pool (uncertain),0.5602,0.5056,0.5165,0.5602,0.5056,0.173,495,second,0.0,false,none,advancement_pressure_overrides_route,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_win
2026-06-22T04:49:25Z,,B,Qatar,4,1,-6,1,0.1725,1|2|3,R32 vs weighted_annex_c_third,R32 vs expected_2A,R32 vs best_third_pool (uncertain),0.5602,0.5056,0.5165,0.5602,0.5056,0.173,495,second,0.0,false,none,advancement_pressure_overrides_route,high,phase06B_bracket_route,internal_knockout_route_slots,path_state=must_win
2026-06-22T04:49:25Z,,C,Brazil,1,4,3,4,0.9582,1|2|3,R32 vs expected_2F,R32 vs expected_1F,R32 vs best_third_pool (uncertain),0.7667,0.7333,0.5165,0.7667,0.7333,0.1179,0,second,0.0334,false,none,route_scores_too_close,low,phase06B_bracket_route,internal_knockout_route_slots,path_state=top_slot_chase
2026-06-22T04:49:25Z,,C,Morocco,2,4,1,2,0.9791,1|2|3,R32 vs expected_2F,R32 vs expected_1F,R32 vs best_third_pool (uncertain),0.7667,0.7333,0.5165,0.7667,0.7333,0.1179,0,second,0.0,false,none,route_scores_too_close,low,phase06B_bracket_route,internal_knockout_route_slots,path_state=top_slot_chase
