snapshot_id,match_id,as_of_utc,kickoff_utc,home,away,home_path_state,away_path_state,home_state_reason_code,away_state_reason_code,route_pressure_label,route_preference_label,first_place_incentive,second_place_acceptance,third_place_risk,draw_acceptance_modifier,late_push_modifier,rotation_modifier,route_explanation,home_route_preference_label,away_route_preference_label,home_first_place_utility,away_first_place_utility,home_second_place_utility,away_second_place_utility,home_route_utility_first,away_route_utility_first,home_route_utility_second,away_route_utility_second,home_route_preference_delta,away_route_preference_delta,home_expected_route_difficulty_first,away_expected_route_difficulty_first,home_expected_route_difficulty_second,away_expected_route_difficulty_second,home_route_uncertainty,away_route_uncertainty,home_annex_scenarios_covered,away_annex_scenarios_covered,home_third_place_risk,away_third_place_risk,home_draw_acceptance_modifier,away_draw_acceptance_modifier,home_late_push_modifier,away_late_push_modifier,home_rotation_modifier,away_rotation_modifier,home_route_avoidance_applicable,away_route_avoidance_applicable,home_route_strength,away_route_strength
WC2026_GROUP_20260620_PRE_F35,WC2026-A25,2026-06-18T15:59:00Z,2026-06-18T16:00:00Z,Czechia,South Africa,must_win,must_win,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,must_chase_first,Czechia:must_chase_first; South Africa:must_chase_first,0.43,0.35,0.568,0.0,0.06,0.0,Czechia qual=0.4898 route_delta=0.0; South Africa qual=0.3737 route_delta=0.0,must_chase_first,must_chase_first,0.43,0.43,0.35,0.35,0.43,0.43,0.35,0.35,0.0,0.0,0.5699,0.5699,0.65,0.65,0.2165,0.2165,495,495,0.51,0.626,0.0,0.0,0.06,0.06,0.0,0.0,false,false,none,none
WC2026_GROUP_20260620_PRE_F35,WC2026-B26,2026-06-18T18:59:00Z,2026-06-18T19:00:00Z,Switzerland,Bosnia and Herzegovina,open_group,open_group,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,neutral_route,Switzerland:route_avoidance_blocked_by_qualification_need; Bosnia and Herzegovina:route_avoidance_blocked_by_qualification_need,0.45,0.494,0.315,0.0,0.0,0.0,Switzerland qual=1.0 route_delta=0.0; Bosnia and Herzegovina qual=0.3711 route_delta=0.0109,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.45,0.45,0.494,0.494,0.45,0.45,0.494,0.494,0.0,0.0109,0.5496,0.5496,0.5056,0.5056,0.1754,0.1754,495,495,0.0,0.629,0.0,0.0,0.0,0.0,0.0,0.0,false,false,none,none
WC2026_GROUP_20260620_PRE_F35,WC2026-B27,2026-06-18T21:59:00Z,2026-06-18T22:00:00Z,Canada,Qatar,open_group,open_group,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,neutral_route,Canada:route_avoidance_blocked_by_qualification_need; Qatar:route_avoidance_blocked_by_qualification_need,0.45,0.494,0.407,0.0,0.0,0.0,Canada qual=1.0 route_delta=0.044; Qatar qual=0.1855 route_delta=0.0109,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.45,0.45,0.494,0.494,0.45,0.45,0.494,0.494,0.044,0.0109,0.5496,0.5496,0.5056,0.5056,0.1754,0.1754,495,495,0.0,0.815,0.0,0.0,0.0,0.0,0.0,0.0,false,false,none,none
WC2026_GROUP_20260620_PRE_F35,WC2026-A28,2026-06-19T00:59:00Z,2026-06-19T01:00:00Z,Mexico,South Korea,control_destiny,must_not_lose,CONTROL_DESTINY,R2_THREE_POINTS_DRAW_TO_FOUR,neutral_route,Mexico:route_avoidance_blocked_by_qualification_need; South Korea:route_avoidance_blocked_by_qualification_need,0.43,0.35,0.091,0.0,0.0,0.0,Mexico qual=1.0 route_delta=0.0534; South Korea qual=0.8182 route_delta=0.1335,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.43,0.43,0.35,0.35,0.43,0.43,0.35,0.35,0.0534,0.1335,0.5699,0.5699,0.65,0.65,0.2165,0.2165,495,495,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,false,false,none,none
WC2026_GROUP_20260620_PRE_F35,WC2026-C29,2026-06-20T00:59:00Z,2026-06-20T01:00:00Z,Brazil,Haiti,must_win,must_win,MUST_WIN_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,must_chase_first,Brazil:must_chase_first; Haiti:must_chase_first,0.317,0.376,0.518,0.0,0.06,0.0,Brazil qual=0.963 route_delta=0.1668; Haiti qual=0.0 route_delta=0.0,must_chase_first,must_chase_first,0.317,0.317,0.376,0.376,0.317,0.317,0.376,0.376,0.1668,0.0,0.6833,0.6833,0.6241,0.6241,0.1225,0.1225,0,0,0.037,1.0,0.0,0.0,0.06,0.06,0.0,0.0,false,false,none,none
WC2026_GROUP_20260620_PRE_F35,WC2026-C30,2026-06-19T21:59:00Z,2026-06-19T22:00:00Z,Scotland,Morocco,control_destiny,must_win,CONTROL_DESTINY,MUST_WIN_SURVIVAL,must_chase_first,Scotland:route_avoidance_blocked_by_qualification_need; Morocco:must_chase_first,0.317,0.376,0.065,0.0,0.03,0.0,Scotland qual=0.889 route_delta=0.0; Morocco qual=0.9815 route_delta=0.1076,route_avoidance_blocked_by_qualification_need,must_chase_first,0.317,0.317,0.376,0.376,0.317,0.317,0.376,0.376,0.0,0.1076,0.6833,0.6833,0.6241,0.6241,0.1225,0.1225,0,0,0.111,0.018,0.0,0.0,0.0,0.06,0.0,0.0,false,false,none,none
WC2026_GROUP_20260620_PRE_F35,WC2026-D31,2026-06-20T02:59:00Z,2026-06-20T03:00:00Z,Turkey,Paraguay,must_win,must_win_big,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,must_chase_first,Turkey:must_chase_first; Paraguay:must_chase_first,0.554,0.491,0.581,0.0,0.06,0.0,Turkey qual=0.0842 route_delta=0.0704; Paraguay qual=0.7543 route_delta=0.0704,must_chase_first,must_chase_first,0.554,0.554,0.491,0.491,0.554,0.554,0.491,0.491,0.0704,0.0704,0.4461,0.4461,0.5093,0.5093,0.2645,0.2645,495,495,0.916,0.246,0.0,0.0,0.06,0.06,0.0,0.0,false,false,none,none
WC2026_GROUP_20260620_PRE_F35,WC2026-D32,2026-06-19T18:59:00Z,2026-06-19T19:00:00Z,USA,Australia,control_destiny,must_not_lose,CONTROL_DESTINY,R2_THREE_POINTS_DRAW_TO_FOUR,neutral_route,USA:route_avoidance_blocked_by_qualification_need; Australia:route_avoidance_blocked_by_qualification_need,0.554,0.491,0.041,0.0,0.0,0.0,USA qual=1.0 route_delta=0.0; Australia qual=0.9193 route_delta=0.0632,route_avoidance_blocked_by_qualification_need,route_avoidance_blocked_by_qualification_need,0.554,0.554,0.491,0.491,0.554,0.554,0.491,0.491,0.0,0.0632,0.4461,0.4461,0.5093,0.5093,0.2645,0.2645,495,495,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.0,false,false,none,none
WC2026_GROUP_20260620_PRE_F35,WC2026-E33,2026-06-20T19:59:00Z,2026-06-20T20:00:00Z,Germany,Ivory Coast,control_destiny,must_not_lose,CONTROL_DESTINY,R2_THREE_POINTS_DRAW_TO_FOUR,route_avoidance_weak,Germany:route_avoidance_weak; Ivory Coast:route_avoidance_weak,0.382,0.206,0.064,0.0,0.0,0.0,Germany qual=0.9408 route_delta=0.1017; Ivory Coast qual=0.9313 route_delta=0.2779,route_avoidance_weak,route_avoidance_weak,0.382,0.382,0.206,0.206,0.382,0.382,0.206,0.206,0.1017,0.2779,0.6182,0.6182,0.7944,0.7944,0.2114,0.2114,495,495,0.059,0.069,0.0,0.0,0.0,0.0,0.0,0.0,true,true,weak,weak
WC2026_GROUP_20260620_PRE_F35,WC2026-E34,2026-06-20T23:59:00Z,2026-06-21T00:00:00Z,Ecuador,Curacao,must_win,must_win_big,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,must_chase_first,Ecuador:must_chase_first; Curacao:must_chase_first,0.382,0.206,0.626,0.0,0.06,0.0,Ecuador qual=0.4284 route_delta=0.0; Curacao qual=0.3195 route_delta=0.0,must_chase_first,must_chase_first,0.382,0.382,0.206,0.206,0.382,0.382,0.206,0.206,0.0,0.0,0.6182,0.6182,0.7944,0.7944,0.2114,0.2114,495,495,0.572,0.68,0.0,0.0,0.06,0.06,0.0,0.0,false,false,none,none
