team,favorite_tier,tier_score,source,notes
Argentina,elite_contender,1.00,pre_tournament_fifa_proxy,defending champion
France,elite_contender,1.00,pre_tournament_fifa_proxy,
England,elite_contender,1.00,pre_tournament_fifa_proxy,
Brazil,elite_contender,1.00,pre_tournament_fifa_proxy,
Germany,major_contender,0.85,pre_tournament_fifa_proxy,
Portugal,major_contender,0.85,pre_tournament_fifa_proxy,
Netherlands,major_contender,0.85,pre_tournament_fifa_proxy,
Spain,major_contender,0.85,pre_tournament_fifa_proxy,
Belgium,major_contender,0.85,pre_tournament_fifa_proxy,
Croatia,strong_seed,0.70,pre_tournament_fifa_proxy,
Morocco,strong_seed,0.70,pre_tournament_fifa_proxy,
Colombia,strong_seed,0.70,pre_tournament_fifa_proxy,
Mexico,strong_seed,0.70,pre_tournament_fifa_proxy,
USA,strong_seed,0.70,pre_tournament_fifa_proxy,host
Uruguay,strong_seed,0.70,pre_tournament_fifa_proxy,
Switzerland,strong_seed,0.70,pre_tournament_fifa_proxy,
Japan,strong_seed,0.70,pre_tournament_fifa_proxy,
Senegal,strong_seed,0.70,pre_tournament_fifa_proxy,
Norway,strong_seed,0.70,pre_tournament_fifa_proxy,
Austria,strong_seed,0.70,pre_tournament_fifa_proxy,
Canada,solid_knockout,0.55,pre_tournament_fifa_proxy,host
Australia,solid_knockout,0.55,pre_tournament_fifa_proxy,
South Korea,solid_knockout,0.55,pre_tournament_fifa_proxy,
Ecuador,solid_knockout,0.55,pre_tournament_fifa_proxy,
Iran,solid_knockout,0.55,pre_tournament_fifa_proxy,
Scotland,solid_knockout,0.55,pre_tournament_fifa_proxy,
Paraguay,solid_knockout,0.55,pre_tournament_fifa_proxy,
Tunisia,solid_knockout,0.55,pre_tournament_fifa_proxy,
Algeria,solid_knockout,0.55,pre_tournament_fifa_proxy,
Czechia,solid_knockout,0.55,pre_tournament_fifa_proxy,
Turkey,solid_knockout,0.55,pre_tournament_fifa_proxy,
Sweden,solid_knockout,0.55,pre_tournament_fifa_proxy,
Ivory Coast,solid_knockout,0.55,pre_tournament_fifa_proxy,
Ghana,solid_knockout,0.55,pre_tournament_fifa_proxy,
DR Congo,outsider,0.35,pre_tournament_fifa_proxy,
Bosnia and Herzegovina,outsider,0.35,pre_tournament_fifa_proxy,
Qatar,outsider,0.35,pre_tournament_fifa_proxy,
Saudi Arabia,outsider,0.35,pre_tournament_fifa_proxy,
Iraq,outsider,0.35,pre_tournament_fifa_proxy,
Jordan,outsider,0.35,pre_tournament_fifa_proxy,
Uzbekistan,outsider,0.35,pre_tournament_fifa_proxy,
South Africa,outsider,0.35,pre_tournament_fifa_proxy,
New Zealand,outsider,0.35,pre_tournament_fifa_proxy,
Egypt,outsider,0.35,pre_tournament_fifa_proxy,
Haiti,outsider,0.35,pre_tournament_fifa_proxy,
Curacao,longshot,0.20,pre_tournament_fifa_proxy,
Cape Verde,longshot,0.20,pre_tournament_fifa_proxy,
Panama,longshot,0.20,pre_tournament_fifa_proxy,
