group,team_en,round,match_date,opponent,yellow_cards,second_yellow_reds,direct_reds,fair_play_points,provisional_rank_within_group_after_r1,still_tied_with,next_tiebreaker_if_needed,source,source_url,last_verified
A,Mexico,1,2026-06-11,South Africa,1,0,1,-5,,,,"Wikipedia 2026 FIFA World Cup Group A discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A",2026-06-18
A,South Korea,1,2026-06-11,Czechia,1,0,0,-1,,,,"Wikipedia 2026 FIFA World Cup Group A discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A",2026-06-18
A,Czechia,1,2026-06-11,South Korea,0,0,0,0,,,,"Wikipedia 2026 FIFA World Cup Group A discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A",2026-06-18
A,South Africa,1,2026-06-11,Mexico,2,0,2,-10,,,,"Wikipedia 2026 FIFA World Cup Group A discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A",2026-06-18
B,Switzerland,1,2026-06-13,Qatar,1,0,0,-1,1,,,"Wikipedia 2026 FIFA World Cup Group B discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B",2026-06-18
B,Canada,1,2026-06-13,Bosnia and Herzegovina,2,0,0,-2,2,Qatar,FIFA world ranking,"Wikipedia 2026 FIFA World Cup Group B discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B",2026-06-18
B,Qatar,1,2026-06-13,Switzerland,2,0,0,-2,3,Canada,FIFA world ranking,"Wikipedia 2026 FIFA World Cup Group B discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B",2026-06-18
B,Bosnia and Herzegovina,1,2026-06-13,Canada,3,0,0,-3,4,,,"Wikipedia 2026 FIFA World Cup Group B discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_B",2026-06-18
C,Scotland,1,2026-06-13,Haiti,3,0,0,-3,1,,,"Wikipedia 2026 FIFA World Cup Group C discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C",2026-06-18
C,Morocco,1,2026-06-13,Brazil,0,0,0,0,2,,,"Wikipedia 2026 FIFA World Cup Group C discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C",2026-06-18
C,Brazil,1,2026-06-13,Morocco,2,0,0,-2,3,,,"Wikipedia 2026 FIFA World Cup Group C discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C",2026-06-18
C,Haiti,1,2026-06-13,Scotland,1,0,0,-1,4,,,"Wikipedia 2026 FIFA World Cup Group C discipline table","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_C",2026-06-18
D,USA,1,2026-06-13,Paraguay,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
D,Paraguay,1,2026-06-13,USA,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
D,Australia,1,2026-06-14,Turkey,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
D,Turkey,1,2026-06-14,Australia,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
E,Germany,1,2026-06-15,Curacao,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
E,Ivory Coast,1,2026-06-15,Ecuador,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
E,Ecuador,1,2026-06-15,Ivory Coast,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
E,Curacao,1,2026-06-15,Germany,,,,,,,,"Not extracted in R1 pass; group has no tie_unresolved after MD1",,2026-06-18
