fifa_match_id,group,round,match_date,kickoff_et,kickoff_local,home_team_en,away_team_en,home_team_zh,away_team_zh,venue,city,host_country,status,source,source_url,last_verified
1,A,1,2026-06-11,15:00,13:00,Mexico,South Africa,墨西哥,南非,Estadio Azteca,Mexico City,Mexico,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
2,A,1,2026-06-12,22:00,20:00,South Korea,Czechia,韩国,捷克,Estadio Akron,Guadalajara,Mexico,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
3,B,1,2026-06-13,15:00,15:00,Canada,Bosnia and Herzegovina,加拿大,波黑,BMO Field,Toronto,Canada,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
4,D,1,2026-06-13,21:00,18:00,USA,Paraguay,美国,巴拉圭,SoFi Stadium,Los Angeles,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
5,C,1,2026-06-14,21:00,21:00,Haiti,Scotland,海地,苏格兰,Gillette Stadium,Boston,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
6,D,1,2026-06-14,24:00,21:00,Australia,Turkey,澳大利亚,土耳其,BC Place,Vancouver,Canada,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
7,C,1,2026-06-14,18:00,18:00,Brazil,Morocco,巴西,摩洛哥,MetLife Stadium,New York/New Jersey,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
8,B,1,2026-06-14,15:00,12:00,Qatar,Switzerland,卡塔尔,瑞士,Levi's Stadium,San Francisco Bay Area,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
9,E,1,2026-06-15,19:00,19:00,Ivory Coast,Ecuador,科特迪瓦,厄瓜多尔,Lincoln Financial Field,Philadelphia,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
10,E,1,2026-06-15,13:00,12:00,Germany,Curacao,德国,库拉索,NRG Stadium,Houston,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
11,F,1,2026-06-15,16:00,15:00,Netherlands,Japan,荷兰,日本,AT&T Stadium,Dallas,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
12,F,1,2026-06-15,22:00,20:00,Sweden,Tunisia,瑞典,突尼斯,Estadio BBVA,Monterrey,Mexico,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
13,H,1,2026-06-16,18:00,18:00,Saudi Arabia,Uruguay,沙特,乌拉圭,Hard Rock Stadium,Miami,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
14,H,1,2026-06-16,12:00,12:00,Spain,Cape Verde,西班牙,佛得角,Mercedes-Benz Stadium,Atlanta,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
15,G,1,2026-06-16,21:00,18:00,Iran,New Zealand,伊朗,新西兰,SoFi Stadium,Los Angeles,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
16,G,1,2026-06-16,15:00,12:00,Belgium,Egypt,比利时,埃及,Lumen Field,Seattle,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
17,I,1,2026-06-16,15:00,15:00,France,Senegal,法国,塞内加尔,MetLife Stadium,New York/New Jersey,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
18,I,1,2026-06-16,18:00,18:00,Iraq,Norway,伊拉克,挪威,Gillette Stadium,Boston,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
19,J,1,2026-06-17,21:00,20:00,Argentina,Algeria,阿根廷,阿尔及利亚,Arrowhead Stadium,Kansas City,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
20,J,1,2026-06-17,24:00,21:00,Austria,Jordan,奥地利,约旦,Levi's Stadium,San Francisco Bay Area,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
21,L,1,2026-06-18,19:00,19:00,Ghana,Panama,加纳,巴拿马,BMO Field,Toronto,Canada,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
22,L,1,2026-06-18,16:00,15:00,England,Croatia,英格兰,克罗地亚,AT&T Stadium,Dallas,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
23,K,1,2026-06-18,13:00,12:00,Portugal,DR Congo,葡萄牙,刚果金,NRG Stadium,Houston,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
24,K,1,2026-06-18,22:00,20:00,Uzbekistan,Colombia,乌兹别克斯坦,哥伦比亚,Estadio Azteca,Mexico City,Mexico,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
25,A,2,2026-06-18,12:00,12:00,Czechia,South Africa,捷克,南非,Mercedes-Benz Stadium,Atlanta,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
26,B,2,2026-06-18,15:00,12:00,Switzerland,Bosnia and Herzegovina,瑞士,波黑,SoFi Stadium,Los Angeles,USA,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
27,B,2,2026-06-18,18:00,15:00,Canada,Qatar,加拿大,卡塔尔,BC Place,Vancouver,Canada,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
28,A,2,2026-06-18,21:00,19:00,Mexico,South Korea,墨西哥,韩国,Estadio Akron,Guadalajara,Mexico,finished,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
29,C,2,2026-06-19,21:00,21:00,Brazil,Haiti,巴西,海地,Lincoln Financial Field,Philadelphia,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
30,C,2,2026-06-19,18:00,18:00,Scotland,Morocco,苏格兰,摩洛哥,Gillette Stadium,Boston,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
31,D,2,2026-06-19,23:00,20:00,Turkey,Paraguay,土耳其,巴拉圭,Levi's Stadium,San Francisco Bay Area,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
32,D,2,2026-06-19,15:00,12:00,USA,Australia,美国,澳大利亚,Lumen Field,Seattle,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
33,E,2,2026-06-20,16:00,16:00,Germany,Ivory Coast,德国,科特迪瓦,BMO Field,Toronto,Canada,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
34,E,2,2026-06-20,20:00,19:00,Ecuador,Curacao,厄瓜多尔,库拉索,Arrowhead Stadium,Kansas City,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
35,F,2,2026-06-20,13:00,12:00,Netherlands,Sweden,荷兰,瑞典,NRG Stadium,Houston,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
36,F,2,2026-06-20,24:00,22:00,Tunisia,Japan,突尼斯,日本,Estadio BBVA,Monterrey,Mexico,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
37,H,2,2026-06-21,18:00,18:00,Uruguay,Cape Verde,乌拉圭,佛得角,Hard Rock Stadium,Miami,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
38,H,2,2026-06-21,12:00,12:00,Spain,Saudi Arabia,西班牙,沙特,Mercedes-Benz Stadium,Atlanta,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
39,G,2,2026-06-21,15:00,12:00,Belgium,Iran,比利时,伊朗,SoFi Stadium,Los Angeles,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
40,G,2,2026-06-21,21:00,18:00,New Zealand,Egypt,新西兰,埃及,BC Place,Vancouver,Canada,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
41,I,2,2026-06-22,20:00,20:00,Norway,Senegal,挪威,塞内加尔,MetLife Stadium,New York/New Jersey,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
42,I,2,2026-06-22,17:00,17:00,France,Iraq,法国,伊拉克,Lincoln Financial Field,Philadelphia,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
43,J,2,2026-06-22,13:00,12:00,Argentina,Austria,阿根廷,奥地利,AT&T Stadium,Dallas,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
44,J,2,2026-06-22,23:00,20:00,Jordan,Algeria,约旦,阿尔及利亚,Levi's Stadium,San Francisco Bay Area,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
45,L,2,2026-06-23,16:00,16:00,England,Ghana,英格兰,加纳,Gillette Stadium,Boston,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
46,L,2,2026-06-23,19:00,19:00,Panama,Croatia,巴拿马,克罗地亚,BMO Field,Toronto,Canada,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
47,K,2,2026-06-23,13:00,12:00,Portugal,Uzbekistan,葡萄牙,乌兹别克斯坦,NRG Stadium,Houston,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
48,K,2,2026-06-23,22:00,20:00,Colombia,DR Congo,哥伦比亚,刚果金,Estadio Akron,Guadalajara,Mexico,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
49,C,3,2026-06-24,18:00,18:00,Scotland,Brazil,苏格兰,巴西,Hard Rock Stadium,Miami,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
50,C,3,2026-06-24,18:00,18:00,Morocco,Haiti,摩洛哥,海地,Mercedes-Benz Stadium,Atlanta,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
51,B,3,2026-06-24,15:00,12:00,Switzerland,Canada,瑞士,加拿大,BC Place,Vancouver,Canada,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
52,B,3,2026-06-24,15:00,12:00,Bosnia and Herzegovina,Qatar,波黑,卡塔尔,Lumen Field,Seattle,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
53,A,3,2026-06-24,21:00,19:00,Czechia,Mexico,捷克,墨西哥,Estadio Azteca,Mexico City,Mexico,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
54,A,3,2026-06-24,21:00,19:00,South Africa,South Korea,南非,韩国,Estadio BBVA,Monterrey,Mexico,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
55,E,3,2026-06-25,16:00,16:00,Curacao,Ivory Coast,库拉索,科特迪瓦,Lincoln Financial Field,Philadelphia,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
56,E,3,2026-06-25,16:00,16:00,Ecuador,Germany,厄瓜多尔,德国,MetLife Stadium,New York/New Jersey,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
57,F,3,2026-06-25,19:00,18:00,Japan,Sweden,日本,瑞典,AT&T Stadium,Dallas,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
58,F,3,2026-06-25,19:00,18:00,Tunisia,Netherlands,突尼斯,荷兰,Arrowhead Stadium,Kansas City,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
59,D,3,2026-06-25,22:00,19:00,Turkey,USA,土耳其,美国,SoFi Stadium,Los Angeles,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
60,D,3,2026-06-25,22:00,19:00,Paraguay,Australia,巴拉圭,澳大利亚,Levi's Stadium,San Francisco Bay Area,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
61,I,3,2026-06-26,15:00,15:00,Norway,France,挪威,法国,Gillette Stadium,Boston,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
62,I,3,2026-06-26,15:00,15:00,Senegal,Iraq,塞内加尔,伊拉克,BMO Field,Toronto,Canada,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
63,G,3,2026-06-26,23:00,20:00,Egypt,Iran,埃及,伊朗,Lumen Field,Seattle,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
64,G,3,2026-06-26,23:00,20:00,New Zealand,Belgium,新西兰,比利时,BC Place,Vancouver,Canada,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
65,H,3,2026-06-26,20:00,19:00,Cape Verde,Saudi Arabia,佛得角,沙特,NRG Stadium,Houston,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
66,H,3,2026-06-26,20:00,18:00,Uruguay,Spain,乌拉圭,西班牙,Estadio Akron,Guadalajara,Mexico,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
67,L,3,2026-06-27,17:00,17:00,Panama,England,巴拿马,英格兰,MetLife Stadium,New York/New Jersey,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
68,L,3,2026-06-27,17:00,17:00,Croatia,Ghana,克罗地亚,加纳,Lincoln Financial Field,Philadelphia,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
69,J,3,2026-06-27,22:00,21:00,Algeria,Austria,阿尔及利亚,奥地利,Arrowhead Stadium,Kansas City,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
70,J,3,2026-06-27,22:00,21:00,Jordan,Argentina,约旦,阿根廷,AT&T Stadium,Dallas,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
71,K,3,2026-06-27,19:30,19:30,Colombia,Portugal,哥伦比亚,葡萄牙,Hard Rock Stadium,Miami,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
72,K,3,2026-06-27,19:30,19:30,DR Congo,Uzbekistan,刚果金,乌兹别克斯坦,Mercedes-Benz Stadium,Atlanta,USA,scheduled,FIFA/Roadtrips schedule cross-checked with FotMob R1,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/,2026-06-19
