internal_match_id,fifa_match_id,group,round,home_team,away_team,kickoff_utc,kickoff_local,kickoff_et,kickoff_time,source_url
WC2026-A1,1,A,1,Mexico,South Africa,2026-06-11T19:00:00Z,2026-06-11 13:00,2026-06-11 15:00,2026-06-11 13:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-A2,2,A,1,South Korea,Czechia,2026-06-13T02:00:00Z,2026-06-12 20:00,2026-06-12 22:00,2026-06-12 20:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-B3,3,B,1,Canada,Bosnia and Herzegovina,2026-06-13T19:00:00Z,2026-06-13 15:00,2026-06-13 15:00,2026-06-13 15:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-D4,4,D,1,USA,Paraguay,2026-06-14T01:00:00Z,2026-06-13 18:00,2026-06-13 21:00,2026-06-13 18:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-C5,5,C,1,Haiti,Scotland,2026-06-15T01:00:00Z,2026-06-14 21:00,2026-06-14 21:00,2026-06-14 21:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-D6,6,D,1,Australia,Turkey,2026-06-15T04:00:00Z,2026-06-14 21:00,2026-06-14 24:00,2026-06-14 21:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-C7,7,C,1,Brazil,Morocco,2026-06-14T22:00:00Z,2026-06-14 18:00,2026-06-14 18:00,2026-06-14 18:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-B8,8,B,1,Qatar,Switzerland,2026-06-14T19:00:00Z,2026-06-14 12:00,2026-06-14 15:00,2026-06-14 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-E9,9,E,1,Ivory Coast,Ecuador,2026-06-15T23:00:00Z,2026-06-15 19:00,2026-06-15 19:00,2026-06-15 19:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-E10,10,E,1,Germany,Curacao,2026-06-15T17:00:00Z,2026-06-15 12:00,2026-06-15 13:00,2026-06-15 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-F11,11,F,1,Netherlands,Japan,2026-06-15T20:00:00Z,2026-06-15 15:00,2026-06-15 16:00,2026-06-15 15:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-F12,12,F,1,Sweden,Tunisia,2026-06-16T02:00:00Z,2026-06-15 20:00,2026-06-15 22:00,2026-06-15 20:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-H13,13,H,1,Saudi Arabia,Uruguay,2026-06-16T22:00:00Z,2026-06-16 18:00,2026-06-16 18:00,2026-06-16 18:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
WC2026-H14,14,H,1,Spain,Cape Verde,2026-06-16T16:00:00Z,2026-06-16 12:00,2026-06-16 12:00,2026-06-16 12:00,https://www.roadtrips.com/world-cup/2026-world-cup-packages/schedule/
