match_date,group,team,opponent,possession,ppda,final_third_entries,crosses,set_piece_xg,counter_xg,high_press_regains,style_label,source,source_url,last_verified
2026-06-11,A,Mexico,South Africa,60,,,,,,,possession-dominant,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,South Africa,Mexico,40,,,,,,,low-block-direct,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-12,A,South Korea,Czechia,62,,,,,,,possession-dominant,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,2026-06-18
2026-06-12,A,Czechia,South Korea,38,,,,,,,direct-counter,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,2026-06-18
2026-06-13,B,Canada,Bosnia and Herzegovina,61,,37,,,,,possession-dominant,Opta Analyst,https://theanalyst.com/articles/canada-vs-qatar-prediction-world-cup-2026-match-preview,2026-06-18
2026-06-13,B,Bosnia and Herzegovina,Canada,39,,15,,,,,low-block-counter,Opta Analyst,https://theanalyst.com/articles/canada-vs-qatar-prediction-world-cup-2026-match-preview,2026-06-18
2026-06-13,D,USA,Paraguay,65,,,,,,530,high-press-possession,Opta Analyst,https://theanalyst.com/articles/usa-paraguay-best-stats-world-cup-2026-balogun-ream-pulisic,2026-06-18
2026-06-13,D,Paraguay,USA,35,,,,,,,low-block,Opta Analyst,https://theanalyst.com/articles/usa-paraguay-best-stats-world-cup-2026-balogun-ream-pulisic,2026-06-18
2026-06-14,B,Qatar,Switzerland,32,,38,,,,,low-block-counter,Sofascore/Opta Analyst,https://theanalyst.com/articles/qatar-vs-switzerland-stats-world-cup-2026,2026-06-18
2026-06-14,B,Switzerland,Qatar,68,,79,35,,,,possession-inefficient,Sofascore/Opta Analyst,https://theanalyst.com/articles/qatar-vs-switzerland-stats-world-cup-2026,2026-06-18
2026-06-14,C,Brazil,Morocco,51,,,,,,,balanced-press,FotMob/Opta,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,2026-06-18
2026-06-14,C,Morocco,Brazil,49,,,,,,,high-press-direct,FotMob/Opta,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,2026-06-18
2026-06-14,C,Haiti,Scotland,54,,,,,,,possession-without-chance,FotMob/Opta,https://www.fotmob.com/en-GB/matches/haiti-vs-scotland/1q0g2q,2026-06-18
2026-06-14,C,Scotland,Haiti,46,,,,,,,direct-set-piece,FotMob/Opta,https://www.fotmob.com/en-GB/matches/haiti-vs-scotland/1q0g2q,2026-06-18
2026-06-14,D,Australia,Turkey,28,,,,,,,low-block-counter,Opta Analyst,https://theanalyst.com/articles/australia-vs-turkiye-stats-world-cup-2026,2026-06-18
2026-06-14,D,Turkey,Australia,72,,,,,,,possession-dominant,Opta Analyst,https://theanalyst.com/articles/australia-vs-turkiye-stats-world-cup-2026,2026-06-18
2026-06-15,E,Germany,Curacao,65,,,,,,,possession-dominant,FotMob/Opta,https://www.fotmob.com/en-GB/matches/germany-vs-curacao/k77fsyu,2026-06-18
2026-06-15,E,Curacao,Germany,35,,,,,,,low-block,FotMob/Opta,https://www.fotmob.com/en-GB/matches/germany-vs-curacao/k77fsyu,2026-06-18
2026-06-15,F,Netherlands,Japan,60,,,,,,,possession-set-piece,FotMob/Opta,https://www.fotmob.com/en-GB/matches/netherlands-vs-japan/1hn72b,2026-06-18
2026-06-15,F,Japan,Netherlands,40,,,,,,,counter-attacking,FotMob/Opta,https://www.fotmob.com/en-GB/matches/netherlands-vs-japan/1hn72b,2026-06-18
