match_id,home,away,data_quality_score,calibration_strength,adjustment_strength,threat_presence,conversion_supported,conversion_supported_by_quality,adjustment_direction,up_signals_count,down_signals_count,up_reasons,down_reasons,btts_before,btts_after,btts_probability_point_delta,btts_factor_delta_pct,reasons,diagnostics_only,generated_at
WC2026-A25,Czechia,South Africa,0.27,none,none,True,False,False,none,0,4,,chance_quality_unavailable;favorite_lead_management_likely;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.5254,0.5254,0,0,shot_quality_unavailable_no_box_xg_split;lineup_function_default_only;data_quality_capped_without_chance_quality;data_quality_below_threshold_no_calibration,True,2026-06-20T10:22:44.751966+00:00
WC2026-B26,Switzerland,Bosnia and Herzegovina,0.27,none,none,True,False,False,none,0,3,,chance_quality_unavailable;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.5693,0.5693,0,0,shot_quality_unavailable_no_box_xg_split;lineup_function_default_only;data_quality_capped_without_chance_quality;data_quality_below_threshold_no_calibration,True,2026-06-20T10:22:46.115127+00:00
WC2026-B27,Canada,Qatar,0.27,none,none,True,False,False,none,0,4,,chance_quality_unavailable;favorite_lead_management_likely;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.5717,0.5717,0,0,shot_quality_unavailable_no_box_xg_split;lineup_function_default_only;data_quality_capped_without_chance_quality;data_quality_below_threshold_no_calibration,True,2026-06-20T10:22:47.472294+00:00
WC2026-A28,Mexico,South Korea,0.27,none,none,True,False,False,none,0,5,,chance_quality_unavailable;chance_quality_low;favorite_lead_management_likely;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.4918,0.4918,0,0,shot_quality_unavailable_no_box_xg_split;lineup_function_default_only;data_quality_capped_without_chance_quality;data_quality_below_threshold_no_calibration,True,2026-06-20T10:22:48.846377+00:00
WC2026-C29,Brazil,Haiti,0.4625,weak,weak,True,False,False,down,0,4,,chance_quality_unavailable;underdog_low_output_style;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.5267,0.5109,-0.0158,-0.03,chance_quality_unavailable;underdog_low_output_style;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,False,2026-06-20T15:17:59.195226+00:00
WC2026-C30,Scotland,Morocco,0.4625,weak,weak,True,False,False,down,0,3,,chance_quality_unavailable;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.5749,0.5577,-0.0172,-0.03,chance_quality_unavailable;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,False,2026-06-20T15:18:00.946263+00:00
WC2026-D31,Turkey,Paraguay,0.4625,weak,weak,True,False,False,down,0,3,,chance_quality_unavailable;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.6311,0.6122,-0.0189,-0.03,chance_quality_unavailable;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,False,2026-06-20T15:18:02.775431+00:00
WC2026-D32,USA,Australia,0.55,medium,medium,True,False,False,down,0,4,,chance_quality_unavailable;underdog_speed_outlet_benched;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.5567,0.5294,-0.0273,-0.049,chance_quality_unavailable;underdog_speed_outlet_benched;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,False,2026-06-20T15:18:04.595662+00:00
WC2026-E33,Germany,Ivory Coast,0.27,none,none,True,False,False,none,0,4,,chance_quality_unavailable;underdog_low_output_style;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.5487,0.5487,0,0,shot_quality_unavailable_no_box_xg_split;lineup_function_default_only;data_quality_capped_without_chance_quality;data_quality_below_threshold_no_calibration,True,2026-06-20T15:18:06.344402+00:00
WC2026-H37,Uruguay,Cape Verde,0.27,none,none,True,False,False,none,0,4,,chance_quality_unavailable;favorite_lead_management_likely;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.5603,0.5603,0,0,shot_quality_unavailable_no_box_xg_split;lineup_function_default_only;data_quality_capped_without_chance_quality;data_quality_below_threshold_no_calibration,True,2026-06-20T15:18:13.272448+00:00
WC2026-H38,Spain,Saudi Arabia,0.27,none,none,True,False,False,none,0,4,,chance_quality_unavailable;favorite_lead_management_likely;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.4846,0.4846,0,0,shot_quality_unavailable_no_box_xg_split;lineup_function_default_only;data_quality_capped_without_chance_quality;data_quality_below_threshold_no_calibration,True,2026-06-20T15:18:14.968109+00:00
WC2026-G39,Belgium,Iran,0.27,none,none,True,False,False,none,0,3,,chance_quality_unavailable;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.6178,0.6178,0,0,shot_quality_unavailable_no_box_xg_split;lineup_function_default_only;data_quality_capped_without_chance_quality;data_quality_below_threshold_no_calibration,True,2026-06-20T15:18:16.631936+00:00
WC2026-G40,New Zealand,Egypt,0.27,none,none,True,False,False,none,0,3,,chance_quality_unavailable;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.5653,0.5653,0,0,shot_quality_unavailable_no_box_xg_split;lineup_function_default_only;data_quality_capped_without_chance_quality;data_quality_below_threshold_no_calibration,True,2026-06-20T15:18:18.267551+00:00
WC2026-I41,Norway,Senegal,0.27,none,none,True,False,False,none,0,3,,chance_quality_unavailable;underdog_threat_present_but_conversion_low;counterattack_exit_quality_low,0.625,0.625,0,0,shot_quality_unavailable_no_box_xg_split;lineup_function_default_only;data_quality_capped_without_chance_quality;data_quality_below_threshold_no_calibration,True,2026-06-20T15:18:19.976992+00:00
