match_id,home,away,scenario_id,scenario_weight,favorite_leads_early_likelihood,underdog_leads_early_likelihood,favorite_kill_game_likelihood,favorite_game_management_likelihood,underdog_btts_conversion_likelihood,low_block_survival_likelihood,chance_quality_score,shot_volume_quality_gap,lead_throttle_score,scoreline_family_boost,scoreline_family_penalty,data_quality_score,calibration_strength,generated_at
WC2026-A25,Czechia,South Africa,S01_favorite_early_break_open,0.147429,0.2106,0.0134,0.2952,0.6267,0.3947,0.0718,0.37,0,0.1567,favorite_clean_win_low;favorite_clean_win_mid,favorite_btts_win;favorite_big_win,0.27,none,2026-06-20T10:22:44.646343+00:00
WC2026-A25,Czechia,South Africa,S02_low_block_survival,0.022256,0.2106,0.0134,0.2952,0.6267,0.3947,0.0718,0.37,0,0.1567,favorite_clean_win_low;favorite_clean_win_mid,favorite_btts_win;favorite_big_win,0.27,none,2026-06-20T10:22:44.646343+00:00
WC2026-A25,Czechia,South Africa,S03_wide_overload_crossfire,0.077262,0.2106,0.0134,0.2952,0.6267,0.3947,0.0718,0.37,0,0.1567,favorite_clean_win_low;favorite_clean_win_mid,favorite_btts_win;favorite_big_win,0.27,none,2026-06-20T10:22:44.646343+00:00
WC2026-A25,Czechia,South Africa,S04_press_trap_turnover_goal,0.126244,0.2106,0.0134,0.2952,0.6267,0.3947,0.0718,0.37,0,0.1567,favorite_clean_win_low;favorite_clean_win_mid,favorite_btts_win;favorite_big_win,0.27,none,2026-06-20T10:22:44.646343+00:00
WC2026-A25,Czechia,South Africa,S05_high_line_vs_runner,0.148189,0.2106,0.0134,0.2952,0.6267,0.3947,0.0718,0.37,0,0.1567,favorite_clean_win_low;favorite_clean_win_mid,favorite_btts_win;favorite_big_win,0.27,none,2026-06-20T10:22:44.646343+00:00
WC2026-A25,Czechia,South Africa,S06_set_piece_breakthrough,0.104285,0.2106,0.0134,0.2952,0.6267,0.3947,0.0718,0.37,0,0.1567,favorite_clean_win_low;favorite_clean_win_mid,favorite_btts_win;favorite_big_win,0.27,none,2026-06-20T10:22:44.646343+00:00
WC2026-A25,Czechia,South Africa,S07_late_chase_open_game,0.073878,0.2106,0.0134,0.2952,0.6267,0.3947,0.0718,0.37,0,0.1567,favorite_clean_win_low;favorite_clean_win_mid,favorite_btts_win;favorite_big_win,0.27,none,2026-06-20T10:22:44.646343+00:00
WC2026-A25,Czechia,South Africa,S08_strict_ref_card_penalty_chaos,0.042451,0.2106,0.0134,0.2952,0.6267,0.3947,0.0718,0.37,0,0.1567,favorite_clean_win_low;favorite_clean_win_mid,favorite_btts_win;favorite_big_win,0.27,none,2026-06-20T10:22:44.646343+00:00
WC2026-B26,Switzerland,Bosnia and Herzegovina,S01_favorite_early_break_open,0.242507,0.2608,0.0064,0.2788,0.3622,0.3251,0.1571,0.37,0.0395,0.0944,,,0.27,none,2026-06-20T10:22:46.006914+00:00
WC2026-B26,Switzerland,Bosnia and Herzegovina,S02_low_block_survival,0.010629,0.2608,0.0064,0.2788,0.3622,0.3251,0.1571,0.37,0.0395,0.0944,,,0.27,none,2026-06-20T10:22:46.006914+00:00
