snapshot_id,match_id,as_of_utc,kickoff_utc,home,away,home_points,away_points,home_rank,away_rank,home_path_state,away_path_state,home_must_win,away_must_win,home_state_reason_code,away_state_reason_code,home_draw_acceptance,away_draw_acceptance,home_goal_diff_chase,away_goal_diff_chase,home_rotation_risk,away_rotation_risk,mutual_draw_risk,late_chaos_risk,third_place_pressure_index,top_slot_chase_index,confidence,notes
WC2026_GROUP_20260620_PRE_F35,WC2026-A25,2026-06-18T15:59:00Z,2026-06-18T16:00:00Z,Czechia,South Africa,0,0,3,4,must_win,must_win,true,true,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,0.1,0.1,0.35,0.35,0.1,0.1,0.1,1.0,0.0,0.0,0.68,Czechia=must_win; South Africa=must_win; as_of=2026-06-18T15:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260620_PRE_F35,WC2026-B26,2026-06-18T18:59:00Z,2026-06-18T19:00:00Z,Switzerland,Bosnia and Herzegovina,1,1,1,4,open_group,open_group,false,false,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,0.3,0.3,0.0,0.0,0.1,0.1,0.1,0.7,0.0,0.0,0.68,Switzerland=open_group; Bosnia and Herzegovina=open_group; as_of=2026-06-18T18:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260620_PRE_F35,WC2026-B27,2026-06-18T21:59:00Z,2026-06-18T22:00:00Z,Canada,Qatar,1,1,2,3,open_group,open_group,false,false,OPEN_GROUP_TIED_ON_ONE,OPEN_GROUP_TIED_ON_ONE,0.3,0.3,0.0,0.0,0.1,0.1,0.1,0.7,0.0,0.0,0.68,Canada=open_group; Qatar=open_group; as_of=2026-06-18T21:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260620_PRE_F35,WC2026-A28,2026-06-19T00:59:00Z,2026-06-19T01:00:00Z,Mexico,South Korea,3,3,1,2,control_destiny,must_not_lose,false,false,CONTROL_DESTINY,R2_THREE_POINTS_DRAW_TO_FOUR,0.3,0.45,0.0,0.0,0.1,0.1,0.1,0.625,0.0,0.4,0.68,Mexico=control_destiny; South Korea=must_not_lose; as_of=2026-06-19T00:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260620_PRE_F35,WC2026-C29,2026-06-20T00:59:00Z,2026-06-20T01:00:00Z,Brazil,Haiti,1,0,3,4,must_win,must_win,true,true,MUST_WIN_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,0.1,0.1,0.35,0.35,0.1,0.1,0.1,1.0,0.0,0.0,0.68,Brazil=must_win; Haiti=must_win; as_of=2026-06-20T00:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260620_PRE_F35,WC2026-C30,2026-06-19T21:59:00Z,2026-06-19T22:00:00Z,Scotland,Morocco,3,1,1,2,control_destiny,must_win,false,true,CONTROL_DESTINY,MUST_WIN_SURVIVAL,0.3,0.1,0.0,0.35,0.1,0.1,0.1,1.0,0.0,0.4,0.68,Scotland=control_destiny; Morocco=must_win; as_of=2026-06-19T21:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260620_PRE_F35,WC2026-D31,2026-06-20T02:59:00Z,2026-06-20T03:00:00Z,Turkey,Paraguay,0,0,3,4,must_win,must_win_big,true,true,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,0.1,0.1,0.35,0.7,0.1,0.1,0.1,1.0,0.0,0.0,0.68,Turkey=must_win; Paraguay=must_win_big; as_of=2026-06-20T02:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260620_PRE_F35,WC2026-D32,2026-06-19T18:59:00Z,2026-06-19T19:00:00Z,USA,Australia,3,3,1,2,control_destiny,must_not_lose,false,false,CONTROL_DESTINY,R2_THREE_POINTS_DRAW_TO_FOUR,0.3,0.45,0.0,0.0,0.1,0.1,0.1,0.625,0.0,0.4,0.68,USA=control_destiny; Australia=must_not_lose; as_of=2026-06-19T18:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260620_PRE_F35,WC2026-E33,2026-06-20T19:59:00Z,2026-06-20T20:00:00Z,Germany,Ivory Coast,3,3,1,2,control_destiny,must_not_lose,false,false,CONTROL_DESTINY,R2_THREE_POINTS_DRAW_TO_FOUR,0.3,0.45,0.0,0.0,0.1,0.1,0.1,0.625,0.0,0.4,0.68,Germany=control_destiny; Ivory Coast=must_not_lose; as_of=2026-06-20T19:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260620_PRE_F35,WC2026-E34,2026-06-20T23:59:00Z,2026-06-21T00:00:00Z,Ecuador,Curacao,0,0,3,4,must_win,must_win_big,true,true,R2_ZERO_POINTS_SURVIVAL,R2_ZERO_POINTS_SURVIVAL,0.1,0.1,0.35,0.7,0.1,0.1,0.1,1.0,0.0,0.0,0.68,Ecuador=must_win; Curacao=must_win_big; as_of=2026-06-20T23:59:00Z; fusion_effect=eventflow_delta_only
WC2026_GROUP_20260620_PRE_F35,WC2026-F35,2026-06-20T16:59:00Z,2026-06-20T17:00:00Z,Netherlands,Sweden,1,3,3,1,must_win,control_destiny,true,false,MUST_WIN_SURVIVAL,CONTROL_DESTINY,0.1,0.3,0.35,0.0,0.1,0.1,0.1,1.0,0.0,0.4,0.68,Netherlands=must_win; Sweden=control_destiny; as_of=2026-06-20T16:59:00Z; fusion_effect=eventflow_delta_only
