matchNumStr,matchKey,matchDate,homeTeam,awayTeam,homeTeamEn,awayTeamEn,homeTeamCode,awayTeamCode,homeTeamOddsName,awayTeamOddsName,goals,sp
周六033,,2026-06-21,荷兰,瑞典,荷兰,瑞典,,,荷兰,瑞典,0,16.00
周六033,,2026-06-21,荷兰,瑞典,荷兰,瑞典,,,荷兰,瑞典,1,6.25
周六033,,2026-06-21,荷兰,瑞典,荷兰,瑞典,,,荷兰,瑞典,2,3.70
周六033,,2026-06-21,荷兰,瑞典,荷兰,瑞典,,,荷兰,瑞典,3,3.30
周六033,,2026-06-21,荷兰,瑞典,荷兰,瑞典,,,荷兰,瑞典,4,4.85
周六033,,2026-06-21,荷兰,瑞典,荷兰,瑞典,,,荷兰,瑞典,5,7.80
周六033,,2026-06-21,荷兰,瑞典,荷兰,瑞典,,,荷兰,瑞典,6,14.00
周六033,,2026-06-21,荷兰,瑞典,荷兰,瑞典,,,荷兰,瑞典,7+,19.00
周六034,,2026-06-21,德国,科特迪瓦,德国,科特迪瓦,,,德国,科特迪瓦,0,19.00
周六034,,2026-06-21,德国,科特迪瓦,德国,科特迪瓦,,,德国,科特迪瓦,1,6.75
周六034,,2026-06-21,德国,科特迪瓦,德国,科特迪瓦,,,德国,科特迪瓦,2,4.00
周六034,,2026-06-21,德国,科特迪瓦,德国,科特迪瓦,,,德国,科特迪瓦,3,3.30
周六034,,2026-06-21,德国,科特迪瓦,德国,科特迪瓦,,,德国,科特迪瓦,4,4.40
周六034,,2026-06-21,德国,科特迪瓦,德国,科特迪瓦,,,德国,科特迪瓦,5,7.50
周六034,,2026-06-21,德国,科特迪瓦,德国,科特迪瓦,,,德国,科特迪瓦,6,12.50
周六034,,2026-06-21,德国,科特迪瓦,德国,科特迪瓦,,,德国,科特迪瓦,7+,17.00
周六035,,2026-06-21,厄瓜多尔,库拉索,厄瓜多尔,库拉索,,,厄瓜多尔,库拉索,0,22.00
周六035,,2026-06-21,厄瓜多尔,库拉索,厄瓜多尔,库拉索,,,厄瓜多尔,库拉索,1,7.30
周六035,,2026-06-21,厄瓜多尔,库拉索,厄瓜多尔,库拉索,,,厄瓜多尔,库拉索,2,4.20
周六035,,2026-06-21,厄瓜多尔,库拉索,厄瓜多尔,库拉索,,,厄瓜多尔,库拉索,3,3.50
周六035,,2026-06-21,厄瓜多尔,库拉索,厄瓜多尔,库拉索,,,厄瓜多尔,库拉索,4,4.30
周六035,,2026-06-21,厄瓜多尔,库拉索,厄瓜多尔,库拉索,,,厄瓜多尔,库拉索,5,6.75
