player_id,player,team,club,primary_position,secondary_positions,preferred_foot,weak_foot_note,role_tags,role_family,same_foot_side,inverted_role_possible,two_footed_score,position_flexibility_score,profile_confidence,source_urls,data_origin,source_url,is_estimated,confidence,last_updated,updated_at
BR-ALI,Alisson Becker,Brazil,Liverpool,GK,,right,,右脚倾向,goalkeeper,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/alisson/profil/spieler/105470,transfermarkt+fifa_squad,https://www.transfermarkt.com/alisson/profil/spieler/105470,false,0.82,2026-06-19,2026-06-19
BR-MAR,Marquinhos,Brazil,PSG,CB,DM,right,,中卫防守核心;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/marquinhos/profil/spieler/141799,transfermarkt+fifa_squad,https://www.transfermarkt.com/marquinhos/profil/spieler/141799,false,0.82,2026-06-19,2026-06-19
BR-GAB,Gabriel,Brazil,Arsenal,CB,,left,,中卫防守核心;左脚倾向,defender,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/gabriel/profil/spieler/435338,transfermarkt+fifa_squad,https://www.transfermarkt.com/gabriel/profil/spieler/435338,false,0.82,2026-06-19,2026-06-19
BR-DS,Douglas Santos,Brazil,Zenit,LB,LM,left,,边路支撑点;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/douglas-santos/profil/spieler/126653,transfermarkt+fifa_squad,https://www.transfermarkt.com/douglas-santos/profil/spieler/126653,false,0.82,2026-06-19,2026-06-19
BR-BG,Bruno Guimarães,Brazil,Newcastle,CM,DM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,transfermarkt+fifa_squad,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,false,0.82,2026-06-19,2026-06-19
BR-VIN,Vinicius Jr,Brazil,Real Madrid,LW,ST,right,,边路爆点;右脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.82,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,transfermarkt+fifa_squad,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,false,0.82,2026-06-19,2026-06-19
BR-RAP,Raphinha,Brazil,Barcelona,RW,LW,left,,边路爆点;左脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.82,https://www.transfermarkt.com/raphinha/profil/spieler/411295,transfermarkt+fifa_squad,https://www.transfermarkt.com/raphinha/profil/spieler/411295,false,0.82,2026-06-19,2026-06-19
BR-IGT,Igor Thiago,Brazil,Brentford,ST,,right,,禁区终结点;右脚倾向,forward,unknown,unknown,0.15,0.2,0.82,https://www.transfermarkt.com/igor-thiago/profil/spieler/740057,transfermarkt+fifa_squad,https://www.transfermarkt.com/igor-thiago/profil/spieler/740057,false,0.82,2026-06-19,2026-06-19
BR-LP,Lucas Paqueta,Brazil,West Ham,AM,CM,left,,肋部组织者;左脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/lucas-paqueta/profil/spieler/444523,transfermarkt+fifa_squad,https://www.transfermarkt.com/lucas-paqueta/profil/spieler/444523,false,0.82,2026-06-19,2026-06-19
BR-CAS,Casemiro,Brazil,Man Utd,DM,CM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/casemiro/profil/spieler/16306,transfermarkt+fifa_squad,https://www.transfermarkt.com/casemiro/profil/spieler/16306,false,0.82,2026-06-19,2026-06-19
BR-MCU,Matheus Cunha,Brazil,Man Utd,AM,ST,right,,肋部组织者;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/matheus-cunha/profil/spieler/517894,transfermarkt+fifa_squad,https://www.transfermarkt.com/matheus-cunha/profil/spieler/517894,false,0.82,2026-06-19,2026-06-19
BR-DAN,Danilo,Brazil,Flamengo,RB,CB,right,,边路支撑点;右脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/danilo/profil/spieler/124497,transfermarkt+fifa_squad,https://www.transfermarkt.com/danilo/profil/spieler/124497,false,0.82,2026-06-19,2026-06-19
BR-RI,Roger Ibañez,Brazil,Marseille,CB,LB,left,,中卫防守核心;左脚倾向,defender,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/roger-ibanez/profil/spieler/392071,transfermarkt+fifa_squad,https://www.transfermarkt.com/roger-ibanez/profil/spieler/392071,false,0.82,2026-06-19,2026-06-19
BR-LH,Luiz Henrique,Brazil,Botafogo,RW,LW,left,,边路爆点;左脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.82,https://www.transfermarkt.com/luiz-henrique/profil/spieler/655488,transfermarkt+fifa_squad,https://www.transfermarkt.com/luiz-henrique/profil/spieler/655488,false,0.82,2026-06-19,2026-06-19
HT-FRA,Frantzdy Pierrot,Haiti,Slavia Prague,ST,CF,right,,禁区终结点;右脚倾向,forward,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/frantzdy-pierrot/profil/spieler/343558,transfermarkt+fifa_squad,https://www.transfermarkt.com/frantzdy-pierrot/profil/spieler/343558,false,0.82,2026-06-19,2026-06-19
HT-ISO,Wilson Isidor,Haiti,Sunderland,ST,LW,right,,禁区终结点;右脚倾向,forward,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/wilson-isidor/profil/spieler/504147,transfermarkt+fifa_squad,https://www.transfermarkt.com/wilson-isidor/profil/spieler/504147,false,0.82,2026-06-19,2026-06-19
HT-BEL,Jean-Ricner Bellegarde,Haiti,Wolves,CM,AM,right,,中场连接点;右脚倾向,midfielder,unknown,unknown,0.15,0.4,0.82,https://www.transfermarkt.com/jean-ricner-bellegarde/profil/spieler/395516,transfermarkt+fifa_squad,https://www.transfermarkt.com/jean-ricner-bellegarde/profil/spieler/395516,false,0.82,2026-06-19,2026-06-19
HT-PRO,Ruben Providence,Haiti,Reims,LW,RW,right,,边路爆点;右脚倾向,wide_attacker,unknown,yes,0.15,0.4,0.82,https://www.transfermarkt.com/ruben-providence/profil/spieler/633652,transfermarkt+fifa_squad,https://www.transfermarkt.com/ruben-providence/profil/spieler/633652,false,0.82,2026-06-19,2026-06-19
