player_id,player,team,match_id,opponent,listed_position,actual_role,league_primary_position,side,role_shift_type,x_shift,y_shift,touch_side_bias,inverted_usage,position_shift_score,tactical_meaning,data_confidence,data_origin,source_url,is_estimated,confidence,last_updated
Vinicius Jr,Vinicius Jr,Brazil,WC2026-C7,,ST,ST,,center,stable_or_unknown,0,0,unknown,no,0,暂无明显位置偏移信号。,0.5,FotMob/Opta,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,false,0.5,2026-06-19
Raphinha,Raphinha,Brazil,WC2026-C7,,RW,RW,,right,same_lane_usage,0,0,unknown,no,0.3,顺足/同侧使用更可能提供传中、套边和宽度。,0.5,FotMob/Opta,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,false,0.5,2026-06-19
Frantzdy Pierrot,Frantzdy Pierrot,Haiti,WC2026-C5,,ST,ST,,center,stable_or_unknown,0,0,unknown,no,0,暂无明显位置偏移信号。,0.5,FotMob/Opta,https://www.fotmob.com/en-GB/matches/haiti-vs-scotland/1q0g2q,false,0.5,2026-06-19
Wilson Isidor,Wilson Isidor,Haiti,WC2026-C5,,ST,ST,,center,stable_or_unknown,0,0,unknown,no,0,暂无明显位置偏移信号。,0.5,FotMob/Opta,https://www.fotmob.com/en-GB/matches/haiti-vs-scotland/1q0g2q,false,0.5,2026-06-19
Scott McTominay,Scott McTominay,Scotland,WC2026-C5,,CM,CM,,center,stable_or_unknown,0,0,unknown,no,0,暂无明显位置偏移信号。,0.5,FotMob/Opta,https://www.fotmob.com/en-GB/matches/haiti-vs-scotland/1q0g2q,false,0.5,2026-06-19
Brahim Diaz,Brahim Diaz,Morocco,WC2026-C7,,AM,AM,,center,stable_or_unknown,0,0,unknown,no,0,暂无明显位置偏移信号。,0.5,FotMob/Opta,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,false,0.5,2026-06-19
Achraf Hakimi,Achraf Hakimi,Morocco,WC2026-C7,,RB,RB,,right,same_lane_usage,0,0,unknown,no,0.3,顺足/同侧使用更可能提供传中、套边和宽度。,0.5,FotMob/Opta,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,false,0.5,2026-06-19
Nestory Irankunda,Nestory Irankunda,Australia,WC2026-D6,,RW,RW,,right,same_lane_usage,0,0,unknown,no,0.3,顺足/同侧使用更可能提供传中、套边和宽度。,0.5,FotMob/Opta,https://www.fotmob.com/en-GB/matches/turkiye-vs-australia/1gr3uk,false,0.5,2026-06-19
Folarin Balogun,Folarin Balogun,USA,WC2026-D4,,ST,ST,,center,stable_or_unknown,0,0,unknown,no,0,暂无明显位置偏移信号。,0.5,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,false,0.5,2026-06-19
Christian Pulisic,Christian Pulisic,USA,WC2026-D4,,LW,LW,,left,same_lane_usage,0,0,unknown,no,0.3,顺足/同侧使用更可能提供传中、套边和宽度。,0.5,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,false,0.5,2026-06-19
Julio Enciso,Julio Enciso,Paraguay,WC2026-D4,,ST,ST,,center,stable_or_unknown,0,0,unknown,no,0,暂无明显位置偏移信号。,0.5,FotMob/Opta,https://www.fotmob.com/en-GB/matches/usa-vs-paraguay/1hr85j,false,0.5,2026-06-19
