player_id,player,team,club,age,height_cm,primary_position,secondary_positions,preferred_foot,club_common_position,national_team_position,worldcup_actual_position,is_inverted_winger,source,source_url,source_title,data_origin,is_estimated,confidence,updated_at
BR-ALI,Alisson Becker,Brazil,Liverpool,,,GK,,right,GK,GK,GK,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/alisson/profil/spieler/105470,Transfermarkt Alisson Becker profile,transfermarkt_profile,false,0.82,2026-06-19
BR-MAR,Marquinhos,Brazil,PSG,,,CB,DM,right,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/marquinhos/profil/spieler/141799,Transfermarkt Marquinhos profile,transfermarkt_profile,false,0.82,2026-06-19
BR-GAB,Gabriel,Brazil,Arsenal,,,CB,,left,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/gabriel/profil/spieler/435338,Transfermarkt Gabriel profile,transfermarkt_profile,false,0.82,2026-06-19
BR-DS,Douglas Santos,Brazil,Zenit,,,LB,LM,left,LB,LB,LB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/douglas-santos/profil/spieler/126653,Transfermarkt Douglas Santos profile,transfermarkt_profile,false,0.82,2026-06-19
BR-BG,Bruno Guimarães,Brazil,Newcastle,,,CM,DM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,Transfermarkt Bruno Guimarães profile,transfermarkt_profile,false,0.82,2026-06-19
BR-VIN,Vinicius Jr,Brazil,Real Madrid,,,LW,ST,right,LW,ST,ST,yes,transfermarkt+fifa_squad,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,Transfermarkt Vinicius Jr profile,transfermarkt_profile,false,0.82,2026-06-19
BR-RAP,Raphinha,Brazil,Barcelona,,,RW,LW,left,RW,RW,RW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/raphinha/profil/spieler/411295,Transfermarkt Raphinha profile,transfermarkt_profile,false,0.82,2026-06-19
BR-IGT,Igor Thiago,Brazil,Brentford,,,ST,,right,ST,ST,ST,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/igor-thiago/profil/spieler/740057,Transfermarkt Igor Thiago profile,transfermarkt_profile,false,0.82,2026-06-19
BR-LP,Lucas Paqueta,Brazil,West Ham,,,AM,CM,left,AM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/lucas-paqueta/profil/spieler/444523,Transfermarkt Lucas Paqueta profile,transfermarkt_profile,false,0.82,2026-06-19
BR-CAS,Casemiro,Brazil,Man Utd,,,DM,CM,right,DM,DM,DM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/casemiro/profil/spieler/16306,Transfermarkt Casemiro profile,transfermarkt_profile,false,0.82,2026-06-19
BR-MCU,Matheus Cunha,Brazil,Man Utd,,,AM,ST,right,AM,FW,FW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/matheus-cunha/profil/spieler/517894,Transfermarkt Matheus Cunha profile,transfermarkt_profile,false,0.82,2026-06-19
BR-DAN,Danilo,Brazil,Flamengo,,,RB,CB,right,RB,RB,RB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/danilo/profil/spieler/124497,Transfermarkt Danilo profile,transfermarkt_profile,false,0.82,2026-06-19
BR-RI,Roger Ibañez,Brazil,Marseille,,,CB,LB,left,CB,RB,RB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/roger-ibanez/profil/spieler/392071,Transfermarkt Roger Ibañez profile,transfermarkt_profile,false,0.82,2026-06-19
BR-LH,Luiz Henrique,Brazil,Botafogo,,,RW,LW,left,RW,RW,RW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/luiz-henrique/profil/spieler/655488,Transfermarkt Luiz Henrique profile,transfermarkt_profile,false,0.82,2026-06-19
HT-FRA,Frantzdy Pierrot,Haiti,Slavia Prague,,,ST,CF,right,ST,ST,ST,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/frantzdy-pierrot/profil/spieler/343558,Transfermarkt Frantzdy Pierrot profile,transfermarkt_profile,false,0.82,2026-06-19
HT-ISO,Wilson Isidor,Haiti,Sunderland,,,ST,LW,right,ST,ST,ST,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/wilson-isidor/profil/spieler/504147,Transfermarkt Wilson Isidor profile,transfermarkt_profile,false,0.82,2026-06-19
HT-BEL,Jean-Ricner Bellegarde,Haiti,Wolves,,,CM,AM,right,CM,CM,CM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/jean-ricner-bellegarde/profil/spieler/395516,Transfermarkt Jean-Ricner Bellegarde profile,transfermarkt_profile,false,0.82,2026-06-19
HT-PRO,Ruben Providence,Haiti,Reims,,,LW,RW,right,LW,LW,LW,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/ruben-providence/profil/spieler/633652,Transfermarkt Ruben Providence profile,transfermarkt_profile,false,0.82,2026-06-19
HT-DJJ,Danley Jean Jacques,Haiti,Le Havre,,,DM,CM,right,DM,DM,DM,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/danley-jean-jacques/profil/spieler/855168,Transfermarkt Danley Jean Jacques profile,transfermarkt_profile,false,0.82,2026-06-19
HT-DEL,Hannes Delcroix,Haiti,Burnley,,,CB,LB,left,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/hannes-delcroix/profil/spieler/346314,Transfermarkt Hannes Delcroix profile,transfermarkt_profile,false,0.82,2026-06-19
HT-ARC,Carlens Arcus,Haiti,Auxerre,,,RB,RM,right,RB,RB,RB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/carlens-arcus/profil/spieler/344558,Transfermarkt Carlens Arcus profile,transfermarkt_profile,false,0.82,2026-06-19
HT-PLA,Johny Placide,Haiti,Valenciennes,,,GK,,right,GK,GK,GK,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/johny-placide/profil/spieler/98498,Transfermarkt Johny Placide profile,transfermarkt_profile,false,0.82,2026-06-19
HT-ADE,Ricardo Adé,Haiti,Gent,,,CB,,right,CB,CB,CB,no,transfermarkt+fifa_squad,https://www.transfermarkt.com/ricardo-ade/profil/spieler/405565,Transfermarkt Ricardo Adé profile,transfermarkt_profile,false,0.82,2026-06-19
