referee,season,competition,competition_level,matches,yellow_cards,second_yellows,red_cards,penalties,fouls,total_minutes,source,updated_at
Felix Zwayer,2025-26,Bundesliga,domestic_top5,18,78,2,3,6,,1620,Transfermarkt,2026-06-19
Wilton Sampaio,2025,Brasileirao,non_big5_top,22,95,3,4,8,,1980,Transfermarkt,2026-06-19
Szymon Marciniak,2025-26,UEFA Champions League,uefa_champions_league,12,42,1,2,5,,1080,Transfermarkt,2026-06-19
Anthony Taylor,2025-26,Premier League,domestic_top5,20,88,2,2,7,,1800,Transfermarkt,2026-06-19
Clément Turpin,2025-26,Ligue 1,domestic_top5,16,62,1,1,4,,1440,Transfermarkt,2026-06-19
Glenn Nyberg,2025-26,Allsvenskan,non_big5_top,14,58,2,3,3,,1260,Transfermarkt,2026-06-19
Danny Makkelie,2025-26,Eredivisie,domestic_top5,17,55,1,1,5,,1530,Transfermarkt,2026-06-19
Alireza Faghani,2025,A-League,non_big5_top,15,48,1,2,4,,1350,Transfermarkt,2026-06-19
Tori Penso,2025,MLS,mls,16,52,1,1,6,,1440,Transfermarkt,2026-06-19
Ramon Abatti,2025,Brasileirao,non_big5_top,19,72,2,3,5,,1710,Transfermarkt,2026-06-19
Ismail Elfath,2025,MLS,mls,18,60,1,2,4,,1620,Transfermarkt,2026-06-19
Ivan Barton,2024-25,La Liga,domestic_top5,15,50,1,1,3,,1350,Transfermarkt,2026-06-19
Slavko Vinčić,2025-26,UEFA Europa League,continental_tournament,10,38,1,1,3,,900,Transfermarkt,2026-06-19
