referee,matches_weighted,yc90_z,rc90_z,pk90_z,var_z,flow_z,strictness_index,penalty_tendency,red_card_tendency,game_flow_index,data_confidence,updated_at
Abdulrahman Al-Jassim,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Adham Makhadmeh,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Alejandro Hernández Hernández,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Alireza Faghani,11.2,-0.59,0.11,-0.22,0.00,0.26,-0.04,-0.22,0.11,0.26,0.73,2026-06-19
Anthony Taylor,20.0,0.96,-0.27,0.52,0.00,-0.40,0.55,0.52,-0.27,-0.40,0.90,2026-06-19
Cesar Ramos,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Christian Garay,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Clément Turpin,16.0,0.19,-0.67,-0.40,0.00,0.11,0.05,-0.40,-0.67,0.11,0.85,2026-06-19
Dahane Beida,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Danny Makkelie,17.0,-0.67,-0.73,-0.02,0.00,0.55,-0.38,-0.02,-0.73,0.55,0.88,2026-06-19
Facundo Tello,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Felix Zwayer,18.0,0.83,0.54,0.34,0.00,-0.57,0.78,0.34,0.54,-0.57,0.90,2026-06-19
François Letexier,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Glenn Nyberg,10.5,0.44,0.86,-0.59,0.00,-0.48,0.72,-0.59,0.86,-0.48,0.71,2026-06-19
Gustavo Tejera,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Ilgiz Tantashev,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Ismail Elfath,14.4,-0.50,-0.12,-0.62,0.00,0.28,-0.08,-0.62,-0.12,0.28,0.81,2026-06-19
Ivan Barton,15.0,-0.51,-0.61,-0.82,0.00,0.44,-0.26,-0.82,-0.61,0.44,0.82,2026-06-19
Jalal Jayed,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Jesus Valenzuela,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
João Pinheiro,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Maurizio Mariani,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Mustapha Ghorbal,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Pierre Atcho,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Ramon Abatti,14.2,0.07,0.39,-0.27,0.00,-0.15,0.37,-0.27,0.39,-0.15,0.81,2026-06-19
Said Martinez,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
Slavko Vinčić,11.5,0.08,-0.21,0.03,0.00,0.03,0.16,0.03,-0.21,0.03,0.74,2026-06-19
Szymon Marciniak,13.2,-0.28,0.47,0.97,0.00,-0.00,0.24,0.97,0.47,-0.00,0.78,2026-06-19
Tori Penso,12.8,-0.57,-0.61,0.63,0.00,0.47,-0.29,0.63,-0.61,0.47,0.77,2026-06-19
Wilton Sampaio,16.5,0.78,0.69,0.60,0.00,-0.60,0.82,0.60,0.69,-0.60,0.86,2026-06-19
Yael Falcon,0.0,0.00,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,-0.00,0.30,2026-06-19
