team,matches,benefit_dxg,harm_dxg,net_dxg,benefit_xpoints,harm_xpoints,net_xpoints,penalty_net,red_card_net,var_net,controversy_weighted,updated_at
Bosnia and Herzegovina,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,2026-06-19
Canada,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,2026-06-19
Croatia,1,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.38,2026-06-19
Czechia,1,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.38,2026-06-19
England,1,0.76,0.00,0.76,0.55,0.00,0.55,1.00,0.00,0.00,0.38,2026-06-19
Mexico,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,2026-06-19
Paraguay,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,2026-06-19
Qatar,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,2026-06-19
South Africa,2,0.76,0.00,0.76,0.90,0.00,0.90,1.00,0.00,0.00,0.44,2026-06-19
Switzerland,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,2026-06-19
USA,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,2026-06-19
