match_id,home,away,home_breakthrough_score,away_breakthrough_score,home_control_score,away_control_score,home_transition_edge,away_transition_edge,home_set_piece_edge,away_set_piece_edge,home_flank_edge,away_flank_edge,home_central_edge,away_central_edge,home_press_trap_edge,away_press_trap_edge,home_shape_countered_by_away,away_shape_countered_by_home,matchup_imbalance_index,likely_breakthrough_path_home,likely_breakthrough_path_away,likely_defensive_survival_path_home,likely_defensive_survival_path_away,data_confidence
WC2026-A25,Czechia,South Africa,-0.074409,0.233327,-0.539076,-0.271436,0.161492,0.601553,0.199252,0.448742,0.062328,0.311818,-0.367684,0.026377,0.225776,0.650382,no,no,0.489422,边路宽度/套边制造入口,边路宽度/套边制造入口；反击冲身后；定位球破局,可诱导对手无效传中,可诱导对手无效传中,0.7
WC2026-B26,Switzerland,Bosnia and Herzegovina,1.573573,-0.55399,0.649728,-0.157767,-0.106354,-0.706247,0.012561,-0.45479,4.792708,-0.315834,0.76168,-0.882126,0.012961,0.267432,no,yes,2.530165,边路宽度/套边制造入口；中路/肋部推进,无明显单点破阵路径,低位密度压缩禁区；反抢/防反保护较好,需要依赖门将/个人防守质量,0.7
WC2026-B27,Canada,Qatar,1.389988,-0.367075,0.357219,-1.171591,1.721089,-0.335663,1.152545,-0.260051,1.696126,0.301922,1.552506,-0.98405,2.719341,0.027789,no,yes,2.703497,边路宽度/套边制造入口；中路/肋部推进；反击冲身后；定位球破局,无明显单点破阵路径,低位密度压缩禁区；反抢/防反保护较好,需要依赖门将/个人防守质量,0.7
WC2026-A28,Mexico,South Korea,-0.165619,-0.515309,0.722791,0.436773,-0.46425,-1.11215,-0.340418,-0.743499,-0.477341,-0.880422,0.143566,-0.166541,1.077046,1.02511,no,no,0.579376,中路/肋部推进,中路/肋部推进,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,0.7
WC2026-C29,Brazil,Haiti,-0.231178,0.269718,-0.155096,0.295804,-0.54196,0.311121,-0.269568,0.200253,-0.269568,0.200254,-0.209843,0.384231,0,0.336671,yes,no,0.829328,无明显单点破阵路径,边路宽度/套边制造入口,需要依赖门将/个人防守质量,低位密度压缩禁区；反抢/防反保护较好,0.72
WC2026-C30,Scotland,Morocco,-0.003531,-0.107781,0.033161,-0.068862,0.0956,-0.201483,0.029666,-0.075719,0.029666,-0.075719,-0.078536,-0.147917,0.126452,0,no,no,0.199375,无明显单点破阵路径,无明显单点破阵路径,需要依赖门将/个人防守质量,需要依赖门将/个人防守质量,0.7
WC2026-D31,Turkey,Paraguay,0.620365,-0.315366,0.395531,-0.435875,0.334719,-0.122885,0.313039,-0.144329,0.313038,-0.144329,1.147805,-0.644708,1.416387,0.055662,no,yes,1.318244,边路宽度/套边制造入口；中路/肋部推进；定位球破局,无明显单点破阵路径,低位密度压缩禁区,需要依赖门将/个人防守质量,0.72
WC2026-D32,USA,Australia,0.808662,-1.040889,0.739505,-0.804168,0.982666,-0.857778,0.70755,-0.760891,0.70755,-0.760891,1.128936,-1.579967,1.978209,0.102678,no,yes,2.757925,边路宽度/套边制造入口；中路/肋部推进；反击冲身后；定位球破局,无明显单点破阵路径,低位密度压缩禁区；反抢/防反保护较好,需要依赖门将/个人防守质量,0.75
WC2026-E33,Germany,Ivory Coast,0.112686,-0.48603,0.588519,0.050076,-0.169495,-0.641715,-0.098411,-0.447083,-0.235335,-0.584007,0.539354,-0.511615,1.017338,0.195757,no,yes,0.881615,中路/肋部推进,无明显单点破阵路径,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,可诱导对手无效传中,0.7
WC2026-E34,Ecuador,Curacao,1.420841,-0.109605,-0.130594,-1.412526,2.259796,0.369687,1.499405,0.183496,1.362481,0.046572,1.560331,-0.46318,3.250767,0.323626,no,yes,2.357144,边路宽度/套边制造入口；反击冲身后；定位球破局,无明显单点破阵路径,可诱导对手无效传中,可诱导对手无效传中,0.7
WC2026-F35,Netherlands,Sweden,-0.400243,-0.352149,0.410445,0.435636,-0.942078,-0.45794,-0.563609,-0.313554,-0.700533,-0.450478,-0.11356,-0.353168,0.00559,0.007149,no,no,0.153738,中路/肋部推进,无明显单点破阵路径,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,0.7
WC2026-F36,Tunisia,Japan,-0.261657,-0.16091,-0.007925,0.046344,-0.46774,0.035937,-0.248943,0.046567,-0.385867,-0.090357,-0.210254,-0.389379,0,0.054359,no,no,0.220477,无明显单点破阵路径,无明显单点破阵路径,可诱导对手无效传中,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,0.7
WC2026-H37,Uruguay,Cape Verde,0.936973,-0.788134,0.572956,-0.955662,1.107468,-0.558848,0.81464,-0.398228,0.677715,-0.535152,1.396197,-1.383899,2.121807,0.041185,no,yes,2.593386,边路宽度/套边制造入口；中路/肋部推进；反击冲身后；定位球破局,无明显单点破阵路径,低位密度压缩禁区；反抢/防反保护较好；可诱导对手无效传中,可诱导对手无效传中,0.7
