team,period,matches,formation_base,pressing_height,build_up_style,attack_width,central_progression,transition_attack,set_piece_attack,set_piece_defense,low_block_quality,high_line_risk,rest_defense_quality,late_game_aggression,comeback_tendency,collapse_risk,chaos_index,break_low_block_score,defend_pressure_score,data_confidence,data_origin,source_url,is_estimated,confidence,last_updated,updated_at
Mexico,WC2026-R1,1,4-4-2,高位压迫,控球推进,-0.136924,0.429701,0,0,0.743499,1.486997,-1.11215,1.11215,0,0,0.02511,0.125548,0.192339,1.364364,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,true,0.76,2026-06-18,2026-06-20
South Africa,WC2026-R1,1,4-2-3-1,低位/被动,直接打法,-0.136924,-0.429701,0,0,-0.199252,-0.398503,0.161492,-0.161492,0,0,0.225776,0.068141,-0.260801,-0.295915,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,true,0.76,2026-06-18,2026-06-20
South Korea,WC2026-R1,1,4-2-3-1,高位压迫,控球推进,-0.136924,0.515641,0,0,0.340418,0.680835,-0.46425,0.46425,0,0,0.077046,0.385229,0.237652,0.572271,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,true,0.76,2026-06-18,2026-06-20
Czechia,WC2026-R1,1,4-2-3-1,低位/被动,直接打法,-0.136924,-0.515641,0,0,-0.448742,-0.897483,0.601553,-0.601553,0,0,0.650382,0.327822,-0.306114,-0.912155,0.76,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-korea-vs-czechia/273opa,true,0.76,2026-06-18,2026-06-20
Canada,WC2026-R1,1,4-3-3,高位压迫,控球推进,0.543581,0.472671,0,0,0.260051,0.520102,-0.335663,0.335663,0,0,0.027789,0.138945,0.385122,0.421176,0.76,Opta Analyst,https://theanalyst.com/articles/canada-vs-qatar-prediction-world-cup-2026-match-preview,true,0.76,2026-06-18,2026-06-20
Bosnia and Herzegovina,WC2026-R1,1,4-4-2,低位/被动,直接打法,0.138956,-0.472671,0,0,-0.012561,-0.025121,-0.106354,0.106354,0,0,0.012961,0.020843,-0.214487,0.023564,0.76,Opta Analyst,https://theanalyst.com/articles/canada-vs-qatar-prediction-world-cup-2026-match-preview,true,0.76,2026-06-18,2026-06-20
Qatar,WC2026-R1,1,4-3-3,低位/被动,直接打法,0.561973,-0.773462,0,0,-1.152545,-2.30509,1.721089,-1.721089,0,0,1.719341,0.690347,-0.267332,-2.159669,0.76,Sofascore/Opta Analyst,https://theanalyst.com/articles/qatar-vs-switzerland-stats-world-cup-2026,true,0.76,2026-06-18,2026-06-20
Switzerland,WC2026-R1,1,4-2-3-1,中位压迫,控球推进,4.780148,0.773462,0,0,0.45479,0.90958,-0.706247,0.706247,0,0,0.267432,1.337158,1.602862,0.818909,0.76,Sofascore/Opta Analyst,https://theanalyst.com/articles/qatar-vs-switzerland-stats-world-cup-2026,true,0.76,2026-06-18,2026-06-20
Brazil,WC2026-R1,1,4-4-2,中位压迫,混合推进,-0.136924,0.04297,0,0,-0.096328,-0.192656,0.201089,-0.201089,0,0,0.174395,0.082375,-0.011574,-0.18734,0.88,FotMob/Opta,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,false,0.88,2026-06-19,2026-06-20
Morocco,WC2026-R1,1,4-2-3-1,高位压迫,混合推进,-0.136924,-0.04297,0,0,0.013397,0.026793,0.114029,-0.114029,0,0,0.080785,0.14736,-0.056888,-0.028463,0.88,FotMob/Opta,https://www.fotmob.com/en-GB/matches/morocco-vs-brazil/1qr4gd,false,0.88,2026-06-19,2026-06-20
