provider,match_id,has_fixture,has_standing,has_lineup,has_events,has_stats,has_xg,has_odds,latency_minutes,coverage_score,notes
local,WC2026-A1,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-A2,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-B3,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-D4,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-C5,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-D6,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-C7,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-B8,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-E9,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-E10,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-F11,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-F12,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-H13,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-H14,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-G15,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-G16,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-I17,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-I18,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-J19,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-J20,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-L21,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-L22,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-K23,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-K24,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-A25,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-B26,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-B27,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-A28,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-C29,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-C30,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-D31,true,true,false,true,true,true,false,,0.7143,no_jc_odds;no_lineup
local,WC2026-D32,true,true,true,true,true,true,false,,0.8571,no_jc_odds
local,WC2026-E33,true,true,false,false,false,false,true,,0.4286,no_lineup;no_xg_history
local,WC2026-E34,true,true,false,false,false,false,true,,0.4286,no_lineup;no_xg_history
local,WC2026-F35,true,true,false,false,false,false,true,,0.4286,no_lineup;no_xg_history
local,WC2026-F36,true,true,false,false,false,false,true,,0.4286,no_lineup;no_xg_history
local,WC2026-H37,true,true,false,false,false,false,true,,0.4286,no_lineup;no_xg_history
