match_id,fallback,reason
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
T,neutral,v37_realization_features.csv missing row
T,neutral,v37_realization_features.csv missing row
T,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
TEST-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SEM-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
SD-1,neutral,v37_realization_features.csv missing row
WC2026-INVALID,neutral,v37_realization_features.csv missing row
