match_id,source,competition,home_team,away_team,actual_scoreline,is_large_score,large_score_type,baseline_actual_rank,rerank_actual_rank,rank_delta,tail_boost_level,tail_boost_applied,safety_demotion_applied,ranking_mutation_reason,candidate_pool_contains_actual,nearest_tail_candidate,egci_v2,egci_v2_quality,acg_favorite,acg_v2_quality,underdog_fragility,chase_pressure,cold_guard_active,must_win_no_convert,deep_handicap_contra,eventflow_degraded,block_reasons,primary_miss_reason,secondary_miss_reason
WC2026-D4,finished_wc2026,WC2026,USA,Paraguay,4-1,true,favorite_btts_blowout,13,13,0,none,false,false,none,true,4-1,0.4,proxy,0.15,real,0.28,0.2,false,false,false,false,egci_v2_quality_proxy_or_missing;favorite_acg_below_mild;egci_below_mild;underdog_fragility_below_mild,egci_quality_insufficient,proxy
WC2026-E10,finished_wc2026,WC2026,Germany,Curacao,7-1,true,extreme_tail_warning,999,999,0,none,false,true,five_goal_top3_safety_demotion,false,4-1,0.4,proxy,0.4058,real,0.28,0.2,true,false,true,false,cold_guard_active;deep_handicap_contra_flag;egci_v2_quality_proxy_or_missing;favorite_acg_below_mild;egci_below_mild;underdog_fragility_below_mild;guard_suppression_enabled,guard_suppressed,cold_or_must_win
WC2026-F12,finished_wc2026,WC2026,Sweden,Tunisia,5-1,true,extreme_tail_warning,16,16,0,none,false,false,none,false,4-1,0.4,proxy,0.2558,real,0.28,0.2,true,false,true,false,cold_guard_active;deep_handicap_contra_flag;egci_v2_quality_proxy_or_missing;favorite_acg_below_mild;egci_below_mild;underdog_fragility_below_mild;guard_suppression_enabled,guard_suppressed,cold_or_must_win
WC2026-I17,finished_wc2026,WC2026,France,Senegal,3-1,true,favorite_btts_blowout,8,8,0,none,false,false,none,true,3-1,0.4,proxy,0.4068,real,0.28,0.2,true,false,true,false,cold_guard_active;deep_handicap_contra_flag;egci_v2_quality_proxy_or_missing;favorite_acg_below_mild;egci_below_mild;underdog_fragility_below_mild;guard_suppression_enabled,guard_suppressed,cold_or_must_win
WC2026-I18,finished_wc2026,WC2026,Iraq,Norway,1-4,true,favorite_btts_blowout,8,8,0,none,false,false,none,true,1-4,0.4,proxy,0.525,real,0.28,0.2,false,false,true,false,deep_handicap_contra_flag;egci_v2_quality_proxy_or_missing;favorite_acg_below_mild;egci_below_mild;underdog_fragility_below_mild,guard_suppressed,deep_handicap
WC2026-J20,finished_wc2026,WC2026,Austria,Jordan,3-1,true,favorite_btts_blowout,8,8,0,none,false,false,none,true,3-1,0.4,proxy,0.3841,real,0.28,0.2,true,false,true,false,cold_guard_active;deep_handicap_contra_flag;egci_v2_quality_proxy_or_missing;favorite_acg_below_mild;egci_below_mild;underdog_fragility_below_mild;guard_suppression_enabled,guard_suppressed,cold_or_must_win
WC2026-L22,finished_wc2026,WC2026,England,Croatia,4-2,true,favorite_btts_blowout,13,13,0,none,false,false,none,true,4-2,0.4,proxy,0.3636,real,0.28,0.2,true,false,true,false,cold_guard_active;deep_handicap_contra_flag;egci_v2_quality_proxy_or_missing;favorite_acg_below_mild;egci_below_mild;underdog_fragility_below_mild;guard_suppression_enabled,guard_suppressed,cold_or_must_win
WC2026-K24,finished_wc2026,WC2026,Uzbekistan,Colombia,1-3,true,favorite_btts_blowout,9,9,0,none,false,false,none,true,1-3,0.4,proxy,0.27,real,0.28,0.2,false,false,false,false,egci_v2_quality_proxy_or_missing;favorite_acg_below_mild;egci_below_mild;underdog_fragility_below_mild,egci_quality_insufficient,proxy
WC2026-B26,finished_wc2026,WC2026,Switzerland,Bosnia and Herzegovina,4-1,true,favorite_btts_blowout,11,11,0,none,false,false,none,true,4-1,0.4,proxy,0.3962,real,0.28,0.2,true,false,true,false,cold_guard_active;deep_handicap_contra_flag;egci_v2_quality_proxy_or_missing;favorite_acg_below_mild;egci_below_mild;underdog_fragility_below_mild;guard_suppression_enabled,guard_suppressed,cold_or_must_win
WC2026-B27,finished_wc2026,WC2026,Canada,Qatar,6-0,true,extreme_tail_warning,999,999,0,none,false,true,five_goal_top3_safety_demotion,false,4-0,0.4,proxy,0.3594,real,0.28,0.2,true,false,true,false,cold_guard_active;deep_handicap_contra_flag;egci_v2_quality_proxy_or_missing;favorite_acg_below_mild;egci_below_mild;underdog_fragility_below_mild;guard_suppression_enabled,guard_suppressed,cold_or_must_win
