match_id,tail_boost_level,tail_boost_applied,safety_demotion_rule_enabled,safety_demotion_applied,ranking_mutation_applied,ranking_mutation_reason,top3_before,top3_after,five_plus_in_top3_before,five_plus_in_top3_after,baseline_actual_rank,rerank_actual_rank,rank_delta
WC2026-A1,none,false,true,false,false,none,1-0;2-0;0-0,1-0;2-0;0-0,,,2,2,0
WC2026-A2,none,false,true,false,false,none,2-0;1-0;2-1,2-0;1-0;2-1,,,3,3,0
WC2026-B3,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,2,2,0
WC2026-D4,none,false,true,false,false,none,1-0;2-0;0-0,1-0;2-0;0-0,,,13,13,0
WC2026-C5,none,false,true,false,false,none,1-1;0-1;1-0,1-1;0-1;1-0,,,2,2,0
WC2026-D6,none,false,true,false,false,none,1-1;0-1;1-0,1-1;0-1;1-0,,,8,8,0
WC2026-C7,none,false,true,false,false,none,1-1;0-1;1-0,1-1;0-1;1-0,,,1,1,0
WC2026-B8,none,false,true,false,false,none,0-3;0-2;0-4,0-3;0-2;0-4,,,9,9,0
WC2026-E9,none,false,true,false,false,none,1-1;1-0;2-1,1-1;1-0;2-1,,,2,2,0
WC2026-E10,none,false,true,true,true,five_goal_top3_safety_demotion,4-0;3-0;5-0,4-0;3-0;2-0,5-0,,999,999,0
WC2026-F11,none,false,true,false,false,none,0-0;1-0;0-1,0-0;1-0;0-1,,,10,10,0
WC2026-F12,none,false,true,false,false,none,1-0;0-0;2-0,1-0;0-0;2-0,,,16,16,0
WC2026-H13,none,false,true,false,false,none,0-1;0-2;1-1,0-1;0-2;1-1,,,3,3,0
WC2026-H14,none,false,true,false,false,none,2-0;1-0;3-0,2-0;1-0;3-0,,,4,4,0
WC2026-G15,none,false,true,false,false,none,1-1;1-0;2-1,1-1;1-0;2-1,,,8,8,0
WC2026-G16,none,false,true,false,false,none,1-1;1-0;0-1,1-1;1-0;0-1,,,1,1,0
WC2026-I17,none,false,true,false,false,none,1-0;2-0;0-0,1-0;2-0;0-0,,,8,8,0
WC2026-I18,none,false,true,false,false,none,0-2;0-3;1-2,0-2;0-3;1-2,,,8,8,0
WC2026-J19,none,false,true,false,false,none,1-0;0-0;2-0,1-0;0-0;2-0,,,5,5,0
WC2026-J20,none,false,true,false,false,none,1-0;2-0;0-0,1-0;2-0;0-0,,,8,8,0
WC2026-L21,none,false,true,false,false,none,1-0;0-0;1-1,1-0;0-0;1-1,,,1,1,0
WC2026-L22,none,false,true,false,false,none,3-0;2-0;4-0,3-0;2-0;4-0,,,13,13,0
WC2026-K23,none,false,true,false,false,none,0-0;0-1;1-0,0-0;0-1;1-0,,,4,4,0
WC2026-K24,none,false,true,false,false,none,1-1;0-1;1-2,1-1;0-1;1-2,,,9,9,0
WC2026-A25,none,false,true,false,false,none,1-1;0-1;1-0,1-1;0-1;1-0,,,1,1,0
WC2026-B26,none,false,true,false,false,none,2-0;1-0;3-0,2-0;1-0;3-0,,,11,11,0
WC2026-B27,none,false,true,true,true,five_goal_top3_safety_demotion,4-0;5-0;3-0,4-0;3-0;2-0,5-0,,999,999,0
WC2026-A28,none,false,true,false,false,none,0-0;0-1;1-0,0-0;0-1;1-0,,,3,3,0
WC2026-C29,none,false,true,false,false,none,1-0;2-0;0-0,1-0;2-0;0-0,,,4,4,0
WC2026-C30,none,false,true,false,false,none,0-0;0-1;1-0,0-0;0-1;1-0,,,2,2,0
WC2026-D31,none,false,true,false,false,none,2-0;1-0;3-0,2-0;1-0;3-0,,,10,10,0
WC2026-D32,none,false,true,false,false,none,1-0;0-0;2-0,1-0;0-0;2-0,,,3,3,0
SB-3753768,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,28,28,0
SB-3753823,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,16,16,0
SB-3753890,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,7,7,0
SB-3753934,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,5,5,0
SB-3754108,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,10,10,0
SB-3754155,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,6,6,0
SB-3754201,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,999,999,0
SB-3754245,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,10,10,0
SB-3788741,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,999,999,0
SB-3788788,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,5,5,0
SB-3869620,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,25,25,0
SB-3869685,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,5,5,0
SB-3929844,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,999,999,0
SB-3929991,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,999,999,0
SB-3930102,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,5,5,0
SB-3930158,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,18,18,0
SB-3999012,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,5,5,0
SB-3999088,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,18,18,0
SB-3999147,none,false,true,false,false,none,1-0;1-1;0-0,1-0;1-1;0-0,,,7,7,0
