actual_scoreline,count,covered_by_current_tail_pool,recommended_bucket,notes
1-3,1,true,favorite_btts_blowout,
1-4,1,true,favorite_btts_blowout,
1-5,1,false,extreme_tail_warning,"extreme tail — audit warning only, not boostable to Top5"
1-7,1,false,extreme_tail_warning,"extreme tail — audit warning only, not boostable to Top5"
13-0,1,false,extreme_tail_warning,"extreme tail — audit warning only, not boostable to Top5"
3-0,4,true,favorite_clean_blowout,
3-1,2,true,favorite_btts_blowout,
3-3,2,true,open_game_high_total,
4-0,1,true,favorite_clean_blowout,
4-1,2,true,favorite_btts_blowout,
4-2,1,true,favorite_btts_blowout,
4-3,1,true,open_game_high_total,
5-1,1,false,extreme_tail_warning,"extreme tail — audit warning only, not boostable to Top5"
6-0,1,false,extreme_tail_warning,"extreme tail — audit warning only, not boostable to Top5"
6-1,1,false,extreme_tail_warning,"extreme tail — audit warning only, not boostable to Top5"
7-0,1,false,extreme_tail_warning,"extreme tail — audit warning only, not boostable to Top5"
7-1,1,false,extreme_tail_warning,"extreme tail — audit warning only, not boostable to Top5"
