match_id,team,acg_v2,shot_quality_score,xg_real_available,sot_real_available,big_chance_real_available,lineup_function_real_available,creator_starting,pace_outlet_starting,central_target_starting,set_piece_height_advantage,conversion_proxy_ratio,must_win_no_convert_v2,acg_v2_quality,acg_v2_source
WC2026-A1,Mexico,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-A1,South Africa,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-A2,South Korea,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-A2,Czechia,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-B3,Canada,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-B3,Bosnia and Herzegovina,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-D4,USA,0.1691,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-D4,Paraguay,0.1506,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-C5,Haiti,0.1687,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-C5,Scotland,0.1583,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-D6,Australia,0.1416,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-D6,Turkey,0.1917,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-C7,Brazil,0.1671,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-C7,Morocco,0.1673,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-B8,Qatar,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-B8,Switzerland,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-E9,Ivory Coast,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-E9,Ecuador,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-E10,Germany,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-E10,Curacao,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-F11,Netherlands,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-F11,Japan,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-F12,Sweden,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-F12,Tunisia,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-H13,Saudi Arabia,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-H13,Uruguay,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-H14,Spain,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-H14,Cape Verde,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-G15,Iran,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-G15,New Zealand,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-G16,Belgium,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-G16,Egypt,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-I17,France,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-I17,Senegal,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-I18,Iraq,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-I18,Norway,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-J19,Argentina,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-J19,Algeria,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-J20,Austria,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-J20,Jordan,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-L21,Ghana,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-L21,Panama,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-L22,England,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-L22,Croatia,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-K23,Portugal,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-K23,DR Congo,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-K24,Uzbekistan,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-K24,Colombia,0.1657,0.2200,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-A25,Czechia,0.1750,0.2355,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-A25,South Africa,0.0895,0.1388,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-B26,Switzerland,0.2425,0.3887,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-B26,Bosnia and Herzegovina,0.1882,0.2665,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-B27,Canada,0.1711,0.2487,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-B27,Qatar,0.1656,0.2225,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-A28,Mexico,0.1743,0.2464,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-A28,South Korea,0.2345,0.3498,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-C29,Brazil,0.1579,0.2260,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-C29,Haiti,0.1355,0.2015,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-C30,Scotland,0.1811,0.2642,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-C30,Morocco,0.1699,0.2510,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-D31,Turkey,0.1586,0.2142,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-D31,Paraguay,0.1274,0.1945,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-D32,USA,0.2108,0.3046,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-D32,Australia,0.2684,0.2443,true,true,true,true,0.0000,1.0000,0.0000,1.0000,0.0000,false,real,match_stats
WC2026-E33,Germany,0.2768,0.4161,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-E33,Ivory Coast,0.1720,0.2534,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-E34,Ecuador,0.1368,0.2114,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-E34,Curacao,0.1245,0.1584,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-F35,Netherlands,0.2489,0.1771,true,true,false,true,0.0000,0.5000,0.5000,1.0000,0.0000,true,real,match_stats
WC2026-F35,Sweden,0.2133,0.3141,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-F36,Tunisia,0.1210,0.1552,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-F36,Japan,0.1263,0.1638,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-H37,Uruguay,0.1511,0.2271,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-H37,Cape Verde,0.1120,0.1758,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-H38,Spain,0.1478,0.2369,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-H38,Saudi Arabia,0.1623,0.2185,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-G39,Belgium,0.1678,0.2455,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-G39,Iran,0.1748,0.2443,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-G40,New Zealand,0.1755,0.2445,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-G40,Egypt,0.1649,0.2365,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-I41,Norway,0.2851,0.4195,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-I41,Senegal,0.1759,0.2443,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-I42,France,0.2442,0.3564,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-I42,Iraq,0.1519,0.2034,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-J43,Argentina,0.1758,0.2407,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-J43,Austria,0.2395,0.3500,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-J44,Jordan,0.1192,0.1518,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-J44,Algeria,0.1004,0.1545,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-L45,England,0.2853,0.4343,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-L45,Ghana,0.1884,0.2671,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-L46,Panama,0.1448,0.2302,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-L46,Croatia,0.1670,0.2315,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-K47,Portugal,0.1435,0.1875,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-K47,Uzbekistan,0.2316,0.3440,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-K48,Colombia,0.1682,0.2281,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-K48,DR Congo,0.1668,0.2286,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-C49,Scotland,0.1551,0.2251,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-C49,Brazil,0.1808,0.2428,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-C50,Morocco,0.1488,0.2160,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-C50,Haiti,0.1196,0.1782,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-B51,Switzerland,0.2423,0.3668,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-B51,Canada,0.2276,0.3333,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-B52,Bosnia and Herzegovina,0.1606,0.2163,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-B52,Qatar,0.1553,0.2092,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-A53,Czechia,0.1738,0.2440,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-A53,Mexico,0.1696,0.2391,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-A54,South Africa,0.1337,0.1882,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-A54,South Korea,0.2081,0.3147,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-E55,Curacao,0.1245,0.1584,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-E55,Ivory Coast,0.1720,0.2534,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-E56,Ecuador,0.1368,0.2114,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-E56,Germany,0.2768,0.4161,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-F57,Japan,0.1263,0.1638,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-F57,Sweden,0.2133,0.3141,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-F58,Tunisia,0.1210,0.1552,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-F58,Netherlands,0.1355,0.1771,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-D59,Turkey,0.1438,0.1924,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-D59,USA,0.1756,0.2498,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-D60,Paraguay,0.1224,0.1751,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-D60,Australia,0.1419,0.2140,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-I61,Norway,0.2851,0.4195,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-I61,France,0.2442,0.3564,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-I62,Senegal,0.1759,0.2443,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-I62,Iraq,0.1519,0.2034,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-G63,Egypt,0.1649,0.2365,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-G63,Iran,0.1748,0.2443,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-G64,New Zealand,0.1755,0.2445,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-G64,Belgium,0.1678,0.2455,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-H65,Cape Verde,0.1120,0.1758,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-H65,Saudi Arabia,0.1623,0.2185,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-H66,Uruguay,0.1511,0.2271,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-H66,Spain,0.1478,0.2369,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-L67,Panama,0.1448,0.2302,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-L67,England,0.2853,0.4343,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-L68,Croatia,0.1670,0.2315,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-L68,Ghana,0.1884,0.2671,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-J69,Algeria,0.1004,0.1545,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-J69,Austria,0.2395,0.3500,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-J70,Jordan,0.1192,0.1518,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-J70,Argentina,0.1758,0.2407,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-K71,Colombia,0.1682,0.2281,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,false,partial,match_stats
WC2026-K71,Portugal,0.1435,0.1875,true,true,false,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-K72,DR Congo,0.1668,0.2286,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
WC2026-K72,Uzbekistan,0.2316,0.3440,true,true,true,false,0.0000,0.0000,0.0000,0.0000,0.2500,true,partial,match_stats
