match_id,team,opponent,break_low_block_score,chance_quality_score,xg_per_shot,shot_on_target_rate,big_chances_per_90,set_piece_threat,central_target_presence,wide_cross_dependency,opponent_low_block_score,opponent_keeper_proxy,attack_conversion_gate,must_win_no_convert_flag
WC2026-A1,Mexico,South Africa,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-A1,South Africa,Mexico,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-A2,South Korea,Czechia,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-A2,Czechia,South Korea,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-B3,Canada,Bosnia and Herzegovina,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-B3,Bosnia and Herzegovina,Canada,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-D4,USA,Paraguay,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.4,0.6609,0.3903,false
WC2026-D4,Paraguay,USA,0.198,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.2978,false
WC2026-C5,Haiti,Scotland,0.5805,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7909,0.7095,0.3885,false
WC2026-C5,Scotland,Haiti,0.4195,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,1,0.7337,0.3365,false
WC2026-D6,Australia,Turkey,0.057,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.8732,0.718,0.253,false
WC2026-D6,Turkey,Australia,0.943,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.4,0.6116,0.5035,false
WC2026-C7,Brazil,Morocco,0.5201,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.6644,0.6963,0.3803,false
WC2026-C7,Morocco,Brazil,0.4799,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.4597,0.675,0.3816,false
WC2026-B8,Qatar,Switzerland,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-B8,Switzerland,Qatar,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-E9,Ivory Coast,Ecuador,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-E9,Ecuador,Ivory Coast,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-E10,Germany,Curacao,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-E10,Curacao,Germany,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-F11,Netherlands,Japan,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-F11,Japan,Netherlands,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-F12,Sweden,Tunisia,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-F12,Tunisia,Sweden,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-H13,Saudi Arabia,Uruguay,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-H13,Uruguay,Saudi Arabia,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-H14,Spain,Cape Verde,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-H14,Cape Verde,Spain,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-G15,Iran,New Zealand,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-G15,New Zealand,Iran,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-G16,Belgium,Egypt,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-G16,Egypt,Belgium,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-I17,France,Senegal,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-I17,Senegal,France,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-I18,Iraq,Norway,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-I18,Norway,Iraq,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-J19,Argentina,Algeria,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-J19,Algeria,Argentina,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-J20,Austria,Jordan,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-J20,Jordan,Austria,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-L21,Ghana,Panama,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-L21,Panama,Ghana,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-L22,England,Croatia,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-L22,Croatia,England,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-K23,Portugal,DR Congo,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-K23,DR Congo,Portugal,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-K24,Uzbekistan,Colombia,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-K24,Colombia,Uzbekistan,0.5,0.3083,0.1667,0.3333,1.5,0.5,0.45,0.5,0.7,0.7,0.3733,false
WC2026-A25,Czechia,South Africa,0.5,0.2371,0.2371,0.35,1,0.5,0.45,0.5,0.7,0.525,0.3774,true
WC2026-A25,South Africa,Czechia,0.5,0.0467,0.0467,0.35,0,0.5,0.45,0.5,0.7,0.6195,0.2155,true
WC2026-B26,Switzerland,Bosnia and Herzegovina,0.5,0.2462,0.2462,0.35,6,0.5,0.45,0.5,0.7,0.77,0.2939,false
WC2026-B26,Bosnia and Herzegovina,Switzerland,0.5,0.24,0.24,0.35,2,0.5,0.45,0.5,0.7,0.6598,0.3583,false
WC2026-B27,Canada,Qatar,0.5,0.1892,0.1892,0.35,2,0.5,0.45,0.5,0.7,0.707,0.3217,false
WC2026-B27,Qatar,Canada,0.5,0.2,0.2,0.35,1,0.5,0.45,0.5,0.7,0.525,0.3663,false
WC2026-A28,Mexico,South Korea,0.5,0.1825,0.1825,0.35,2,0.5,0.45,0.5,0.7,0.8628,0.3441,false
WC2026-A28,South Korea,Mexico,0.5,0.3067,0.3067,0.35,4,0.5,0.45,0.5,0.7,0.7298,0.3605,false
WC2026-C29,Brazil,Haiti,0.5201,0.21,0.21,0.35,1,0.5,0.45,0.5,1,0.6689,0.3182,true
WC2026-C29,Haiti,Brazil,0.5805,0.14,0.14,0.35,1,0.5,0.45,0.5,0.4597,0.6662,0.2733,false
WC2026-C30,Scotland,Morocco,0.4195,0.2333,0.2333,0.35,2,0.5,0.45,0.5,0.6644,0.6875,0.3291,false
WC2026-C30,Morocco,Scotland,0.4799,0.1957,0.1957,0.35,2,0.5,0.45,0.5,0.7909,0.664,0.3093,true
WC2026-D31,Turkey,Paraguay,0.943,0.0907,0.0907,0.35,2,0.5,0.45,0.5,0.4,0.6294,0.354,false
