match_id,first_goal_minute,first_goal_team,first_goal_side,second_goal_minute,second_goal_team,half_time_score,goal_timeline_count,early_goal_present,second_goal_within_15min,red_card_before_60,trailing_team_chase_pressure,favorite_acg_at_goal,early_goal_cascade_index_v2,egci_v2_quality,egci_v2_source
WC2026-A1,,,,,,,0,false,false,false,0.4500,0.1657,0.4512,proxy,tactical_proxy
WC2026-A2,,,,,,,0,false,false,false,0.4500,0.1657,0.4440,proxy,tactical_proxy
WC2026-A25,,,,,,,0,false,false,false,0.4500,0.1750,0.4440,proxy,tactical_proxy
WC2026-A28,,,,,,,0,false,false,false,0.4500,0.1743,0.4083,proxy,tactical_proxy
WC2026-A53,,,,,,,0,false,false,false,0.4500,0.1738,0.3812,missing,none
WC2026-A54,,,,,,,0,false,false,false,0.4500,0.2081,0.4633,missing,none
WC2026-B26,,,,,,,0,false,false,false,0.4500,0.2425,0.4158,proxy,tactical_proxy
WC2026-B27,,,,,,,0,false,false,false,0.4500,0.1711,0.4901,proxy,tactical_proxy
WC2026-B3,,,,,,,0,false,false,false,0.4500,0.1657,0.5272,proxy,tactical_proxy
WC2026-B51,,,,,,,0,false,false,false,0.4500,0.2423,0.4174,missing,none
WC2026-B52,,,,,,,0,false,false,false,0.4500,0.1606,0.4316,missing,none
WC2026-B8,,,,,,,0,false,false,false,0.4500,0.1657,0.4530,proxy,tactical_proxy
WC2026-C29,,,,,,,0,false,false,false,0.4500,0.1579,0.4049,proxy,tactical_proxy
WC2026-C30,,,,,,,0,false,false,false,0.4500,0.1699,0.4618,proxy,tactical_proxy
WC2026-C49,,,,,,,0,false,false,false,0.4500,0.1808,0.4137,missing,none
WC2026-C5,,,,,,,0,false,false,false,0.4500,0.1583,0.4049,proxy,tactical_proxy
WC2026-C50,,,,,,,0,false,false,false,0.4500,0.1488,0.4541,missing,none
WC2026-C7,,,,,,,0,false,false,false,0.4500,0.1671,0.4873,proxy,tactical_proxy
WC2026-D31,,,,,,,0,false,false,false,0.4500,0.1586,0.5629,proxy,tactical_proxy
WC2026-D32,,,,,,,0,false,false,false,0.4500,0.2684,0.4174,proxy,tactical_proxy
WC2026-D4,,,,,,,0,false,false,false,0.4500,0.1506,0.4364,proxy,tactical_proxy
WC2026-D59,,,,,,,0,false,false,false,0.4500,0.1438,0.4180,missing,none
WC2026-D6,,,,,,,0,false,false,false,0.4500,0.1917,0.5795,proxy,tactical_proxy
WC2026-D60,,,,,,,0,false,false,false,0.4500,0.1224,0.5323,missing,none
WC2026-E10,,,,,,,0,false,false,false,0.4500,0.1657,0.5264,proxy,tactical_proxy
WC2026-E33,,,,,,,0,false,false,false,0.4500,0.2768,0.4835,missing,none
WC2026-E34,,,,,,,0,false,false,false,0.4500,0.1368,0.4596,missing,none
WC2026-E55,,,,,,,0,false,false,false,0.4500,0.1720,0.4837,missing,none
WC2026-E56,,,,,,,0,false,false,false,0.4500,0.2768,0.5264,missing,none
WC2026-E9,,,,,,,0,false,false,false,0.4500,0.1657,0.4507,proxy,tactical_proxy
WC2026-F11,,,,,,,0,false,false,false,0.4500,0.1657,0.4694,proxy,tactical_proxy
WC2026-F12,,,,,,,0,false,false,false,0.4500,0.1657,0.4691,proxy,tactical_proxy
