match_id,team,opponent,points_before,gd_before,rank_before,win_necessity,draw_utility,loss_damage,first_place_incentive,second_place_safety,third_place_safety,opponent_path_risk,group_pressure_index,pressure_type,state_reason_code,p_finish_1,p_finish_2,p_finish_3,p_finish_4,p_top2,p_best8_third,p_advance
WC2026-A1,Mexico,South Africa,0,0,3,0.28,0.3,0.5833,0.25,0.5,0.1667,0.45,0.2318,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1667,0.6667
WC2026-A1,South Africa,Mexico,0,0,4,0.28,0.3,0.5833,0.25,0.5,0.1667,0.45,0.2318,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1667,0.6667
WC2026-A2,South Korea,Czechia,0,0,3,0.28,0.3,0.5833,0.25,0.5,0.1667,0.45,0.2318,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1667,0.6667
WC2026-A2,Czechia,South Korea,0,0,2,0.28,0.3,0.5833,0.25,0.5,0.1667,0.45,0.2318,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1667,0.6667
WC2026-B3,Canada,Bosnia and Herzegovina,0,0,2,0.28,0.3,0.5827,0.25,0.5,0.1673,0.45,0.2317,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
WC2026-B3,Bosnia and Herzegovina,Canada,0,0,4,0.28,0.3,0.5827,0.25,0.5,0.1673,0.45,0.2317,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
WC2026-D4,USA,Paraguay,0,0,1,0.28,0.3,0.5827,0.25,0.5,0.1673,0.45,0.2317,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
WC2026-D4,Paraguay,USA,0,0,3,0.28,0.3,0.5827,0.25,0.5,0.1673,0.45,0.2317,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
WC2026-C5,Haiti,Scotland,0,0,3,0.28,0.3,0.5844,0.25,0.5,0.1656,0.45,0.2321,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1656,0.6656
WC2026-C5,Scotland,Haiti,0,0,4,0.28,0.3,0.5844,0.25,0.5,0.1656,0.45,0.2321,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1656,0.6656
WC2026-D6,Australia,Turkey,0,0,2,0.28,0.3,0.586,0.25,0.5,0.164,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.164,0.664
WC2026-D6,Turkey,Australia,0,0,3,0.28,0.3,0.586,0.25,0.5,0.164,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.164,0.664
WC2026-C7,Brazil,Morocco,0,0,3,0.28,0.3,0.5844,0.25,0.5,0.1656,0.45,0.2321,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1656,0.6656
WC2026-C7,Morocco,Brazil,0,0,1,0.28,0.3,0.5844,0.25,0.5,0.1656,0.45,0.2321,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1656,0.6656
WC2026-B8,Qatar,Switzerland,0,0,4,0.28,0.3,0.5827,0.25,0.5,0.1673,0.45,0.2317,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
WC2026-B8,Switzerland,Qatar,0,0,3,0.28,0.3,0.5827,0.25,0.5,0.1673,0.45,0.2317,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
WC2026-E9,Ivory Coast,Ecuador,0,0,3,0.28,0.3,0.5847,0.25,0.5,0.1653,0.45,0.2322,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
WC2026-E9,Ecuador,Ivory Coast,0,0,2,0.28,0.3,0.5847,0.25,0.5,0.1653,0.45,0.2322,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
WC2026-E10,Germany,Curacao,0,0,1,0.28,0.3,0.5847,0.25,0.5,0.1653,0.45,0.2322,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
WC2026-E10,Curacao,Germany,0,0,4,0.28,0.3,0.5847,0.25,0.5,0.1653,0.45,0.2322,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
WC2026-F11,Netherlands,Japan,0,0,4,0.28,0.3,0.5847,0.25,0.5,0.1653,0.45,0.2322,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
WC2026-F11,Japan,Netherlands,0,0,1,0.28,0.3,0.5847,0.25,0.5,0.1653,0.45,0.2322,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
WC2026-F12,Sweden,Tunisia,0,0,3,0.28,0.3,0.5841,0.25,0.5,0.1659,0.45,0.232,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1659,0.6659
WC2026-F12,Tunisia,Sweden,0,0,4,0.28,0.3,0.5841,0.25,0.5,0.1659,0.45,0.232,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1659,0.6659
WC2026-H13,Saudi Arabia,Uruguay,0,0,4,0.28,0.3,0.5858,0.25,0.5,0.1642,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
WC2026-H13,Uruguay,Saudi Arabia,0,0,3,0.28,0.3,0.5858,0.25,0.5,0.1642,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
WC2026-H14,Spain,Cape Verde,0,0,2,0.28,0.3,0.5858,0.25,0.5,0.1642,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
WC2026-H14,Cape Verde,Spain,0,0,4,0.28,0.3,0.5858,0.25,0.5,0.1642,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
WC2026-G15,Iran,New Zealand,0,0,4,0.28,0.3,0.5862,0.25,0.5,0.1638,0.45,0.2326,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1638,0.6638
WC2026-G15,New Zealand,Iran,0,0,3,0.28,0.3,0.5862,0.25,0.5,0.1638,0.45,0.2326,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1638,0.6638
WC2026-G16,Belgium,Egypt,0,0,3,0.28,0.3,0.5858,0.25,0.5,0.1642,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
WC2026-G16,Egypt,Belgium,0,0,4,0.28,0.3,0.5858,0.25,0.5,0.1642,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
WC2026-I17,France,Senegal,0,0,1,0.28,0.3,0.5858,0.25,0.5,0.1642,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
WC2026-I17,Senegal,France,0,0,2,0.28,0.3,0.5858,0.25,0.5,0.1642,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
WC2026-I18,Iraq,Norway,0,0,3,0.28,0.3,0.5858,0.25,0.5,0.1642,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
WC2026-I18,Norway,Iraq,0,0,2,0.28,0.3,0.5858,0.25,0.5,0.1642,0.45,0.2325,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1642,0.6642
WC2026-J19,Argentina,Algeria,0,0,1,0.28,0.3,0.5879,0.25,0.5,0.1621,0.45,0.233,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1621,0.6621
WC2026-J19,Algeria,Argentina,0,0,3,0.28,0.3,0.5879,0.25,0.5,0.1621,0.45,0.233,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1621,0.6621
WC2026-J20,Austria,Jordan,0,0,2,0.28,0.3,0.5879,0.25,0.5,0.1621,0.45,0.233,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1621,0.6621
WC2026-J20,Jordan,Austria,0,0,3,0.28,0.3,0.5879,0.25,0.5,0.1621,0.45,0.233,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1621,0.6621
WC2026-L21,Ghana,Panama,0,0,3,0.28,0.3,0.5868,0.25,0.5,0.1632,0.45,0.2327,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1632,0.6632
WC2026-L21,Panama,Ghana,0,0,2,0.28,0.3,0.5868,0.25,0.5,0.1632,0.45,0.2327,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1632,0.6632
WC2026-L22,England,Croatia,0,0,1,0.28,0.3,0.5885,0.25,0.5,0.1615,0.45,0.2331,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1615,0.6615
WC2026-L22,Croatia,England,0,0,2,0.28,0.3,0.5885,0.25,0.5,0.1615,0.45,0.2331,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1615,0.6615
WC2026-K23,Portugal,DR Congo,0,0,4,0.28,0.3,0.5885,0.25,0.5,0.1615,0.45,0.2331,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1615,0.6615
WC2026-K23,DR Congo,Portugal,0,0,3,0.28,0.3,0.5885,0.25,0.5,0.1615,0.45,0.2331,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1615,0.6615
WC2026-K24,Uzbekistan,Colombia,0,0,4,0.28,0.3,0.5862,0.25,0.5,0.1638,0.45,0.2326,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1638,0.6638
WC2026-K24,Colombia,Uzbekistan,0,0,3,0.28,0.3,0.5862,0.25,0.5,0.1638,0.45,0.2326,low_pressure,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1638,0.6638
WC2026-A25,Czechia,South Africa,0,-1,3,0.7325,0.1,0.8249,0.0247,0.1605,0.2646,0.45,0.5108,must_win,R2_ZERO_POINTS_SURVIVAL,0.0247,0.1358,0.4321,0.4074,0.1605,0.2646,0.4251
WC2026-A25,South Africa,Czechia,0,-2,4,0.7325,0.1,0.9328,0.0247,0.1358,0.1814,0.45,0.5378,must_win,R2_ZERO_POINTS_SURVIVAL,0.0247,0.1111,0.2963,0.5679,0.1358,0.1814,0.3172
WC2026-B26,Switzerland,Bosnia and Herzegovina,1,0,1,0.35,0.3,0.4968,0.3457,0.5556,0.1976,0.45,0.2608,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.3457,0.2099,0.2716,0.1728,0.5556,0.1976,0.7532
WC2026-B26,Bosnia and Herzegovina,Switzerland,1,0,4,0.35,0.3,0.6529,0.1728,0.4444,0.1527,0.45,0.2653,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.1728,0.2716,0.2099,0.3457,0.4444,0.1527,0.5971
WC2026-B27,Canada,Qatar,1,0,2,0.35,0.3,0.4722,0.2222,0.4815,0.2963,0.45,0.23,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.2222,0.2593,0.4074,0.1111,0.4815,0.2963,0.7778
WC2026-B27,Qatar,Canada,1,0,3,0.35,0.3,0.553,0.1111,0.4815,0.2155,0.45,0.228,low_pressure,OPEN_GROUP_TIED_ON_ONE,0.1111,0.3704,0.2963,0.2222,0.4815,0.2155,0.697
WC2026-A28,Mexico,South Korea,3,2,1,0.55,0.3,0.3065,0.5926,0.8889,0.0546,0.45,0.3526,prefer_win,CONTROL_DESTINY,0.5926,0.2963,0.0741,0.037,0.8889,0.0546,0.9435
WC2026-A28,South Korea,Mexico,3,1,2,0.42,0.45,0.3065,0.4074,0.8889,0.0546,0.45,0.2121,low_pressure,R2_THREE_POINTS_DRAW_TO_FOUR,0.4074,0.4815,0.0741,0.037,0.8889,0.0546,0.9435
WC2026-C29,Brazil,Haiti,1,0,3,0.7325,0.1,0.674,0.1481,0.3704,0.2056,0.45,0.4977,must_win,MUST_WIN_SURVIVAL,0.1481,0.2222,0.2963,0.3333,0.3704,0.2056,0.576
WC2026-C29,Haiti,Brazil,0,-1,4,0.7325,0.1,0.8622,0.0741,0.2593,0.1285,0.45,0.53,must_win,R2_ZERO_POINTS_SURVIVAL,0.0741,0.1852,0.1852,0.5556,0.2593,0.1285,0.3878
