match_id,favorite,underdog,deep_handicap_flag,underdog_low_block_score,keeper_save_proxy,sot_faced_proxy,favorite_shot_quality,favorite_cross_dependency,cold_draw_guard_score,deep_handicap_contra_flag,cold_guard_active
WC2026-A1,Mexico,South Africa,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-A2,Czechia,South Korea,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-B3,Canada,Bosnia and Herzegovina,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-D4,Paraguay,USA,false,0.7,0.7,,0.2978,0.5,0.5454,false,false
WC2026-C5,Scotland,Haiti,false,1,0.7337,,0.3365,0.5,0.6194,false,true
WC2026-D6,Turkey,Australia,false,0.4,0.6116,,0.5035,0.5,0.4116,false,false
WC2026-C7,Brazil,Morocco,false,0.6644,0.6963,,0.3803,0.5,0.5193,false,false
WC2026-B8,Switzerland,Qatar,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-E9,Ecuador,Ivory Coast,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-E10,Germany,Curacao,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-F11,Netherlands,Japan,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-F12,Sweden,Tunisia,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-H13,Uruguay,Saudi Arabia,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-H14,Spain,Cape Verde,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-G15,Iran,New Zealand,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-G16,Belgium,Egypt,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-I17,France,Senegal,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-I18,Norway,Iraq,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-J19,Argentina,Algeria,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-J20,Austria,Jordan,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-L21,Ghana,Panama,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-L22,England,Croatia,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-K23,Portugal,DR Congo,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-K24,Colombia,Uzbekistan,false,0.7,0.7,,0.3733,0.5,0.5303,false,false
WC2026-A25,Czechia,South Africa,false,0.7,0.7,,0.3774,0.5,0.5195,false,false
WC2026-B26,Switzerland,Bosnia and Herzegovina,false,0.7,0.7,,0.2939,0.5,0.5462,false,false
WC2026-B27,Canada,Qatar,false,0.7,0.7,,0.3217,0.5,0.5407,false,false
WC2026-A28,Mexico,South Korea,false,0.7,0.7,,0.3441,0.5,0.5437,false,false
WC2026-C29,Brazil,Haiti,false,1,0.7337,,0.3182,0.5,0.6131,false,true
WC2026-C30,Morocco,Scotland,false,0.7909,0.7095,,0.3093,0.5,0.5677,false,false
WC2026-D31,Turkey,Paraguay,false,0.4,0.6609,,0.354,0.5,0.4414,false,false
WC2026-D32,Australia,USA,false,0.7,0.7,,0.2536,0.5,0.5543,false,false
WC2026-E33,Germany,Ivory Coast,false,0.7,0.7,,0.3897,0.5,0.5346,false,false
WC2026-E34,Ecuador,Curacao,true,0.7,0.7,,0.2526,0.5,0.6945,true,true
WC2026-F35,Netherlands,Sweden,false,0.7,0.7,,0.3407,0.5,0.5369,false,false
WC2026-F36,Japan,Tunisia,false,0.7,0.7,,0.331,0.5,0.5288,false,false
WC2026-H37,Uruguay,Cape Verde,false,0.7,0.7,,0.2812,0.5,0.5488,false,false
