match_id,market,selection,opening_sp,latest_sp,sp_delta,implied_prob_delta,move_direction,provider_count,movement_quality,market_warning
WC2026-E33,had,home,1.3400,1.3400,0.0000,0.0000,stable,1,medium,
WC2026-E33,had,draw,4.7000,4.7000,0.0000,0.0000,stable,1,medium,
WC2026-E33,had,away,5.9000,5.9000,0.0000,0.0000,stable,1,medium,
WC2026-E33,hhad,home,2.0100,2.0100,0.0000,0.0000,stable,1,medium,
WC2026-E33,hhad,draw,3.9300,3.9300,0.0000,0.0000,stable,1,medium,
WC2026-E33,hhad,away,2.6500,2.6500,0.0000,0.0000,stable,1,medium,
WC2026-E34,hhad,home,1.8500,1.8500,0.0000,0.0000,stable,1,medium,
WC2026-E34,hhad,draw,4.0000,4.0000,0.0000,0.0000,stable,1,medium,
WC2026-E34,hhad,away,2.9500,2.9500,0.0000,0.0000,stable,1,medium,
WC2026-F35,had,home,1.5300,1.5300,0.0000,0.0000,stable,1,medium,
WC2026-F35,had,draw,3.8300,3.8300,0.0000,0.0000,stable,1,medium,
WC2026-F35,had,away,4.6500,4.6500,0.0000,0.0000,stable,1,medium,
WC2026-F35,hhad,home,2.7500,2.7500,0.0000,0.0000,stable,1,medium,
WC2026-F35,hhad,draw,3.2300,3.2300,0.0000,0.0000,stable,1,medium,
WC2026-F35,hhad,away,2.1900,2.1900,0.0000,0.0000,stable,1,medium,
WC2026-F36,had,home,6.5500,6.5500,0.0000,0.0000,stable,1,medium,
WC2026-F36,had,draw,4.0500,4.0500,0.0000,0.0000,stable,1,medium,
WC2026-F36,had,away,1.3700,1.3700,0.0000,0.0000,stable,1,medium,
WC2026-F36,hhad,home,2.5800,2.5800,0.0000,0.0000,stable,1,medium,
WC2026-F36,hhad,draw,3.5800,3.5800,0.0000,0.0000,stable,1,medium,
WC2026-F36,hhad,away,2.1600,2.1600,0.0000,0.0000,stable,1,medium,
WC2026-H37,had,home,1.3100,1.3100,0.0000,0.0000,stable,1,medium,
WC2026-H37,had,draw,4.0000,4.0000,0.0000,0.0000,stable,1,medium,
WC2026-H37,had,away,8.6000,8.6000,0.0000,0.0000,stable,1,medium,
WC2026-H37,hhad,home,2.1400,2.1400,0.0000,0.0000,stable,1,medium,
WC2026-H37,hhad,draw,3.2300,3.2300,0.0000,0.0000,stable,1,medium,
WC2026-H37,hhad,away,2.8400,2.8400,0.0000,0.0000,stable,1,medium,
WC2026-H38,hhad,home,1.8000,1.8000,0.0000,0.0000,stable,1,medium,
WC2026-H38,hhad,draw,4.0500,4.0500,0.0000,0.0000,stable,1,medium,
WC2026-H38,hhad,away,3.0600,3.0600,0.0000,0.0000,stable,1,medium,
WC2026-G39,had,home,1.3200,1.3200,0.0000,0.0000,stable,1,medium,
WC2026-G39,had,draw,4.2500,4.2500,0.0000,0.0000,stable,1,medium,
WC2026-G39,had,away,7.3000,7.3000,0.0000,0.0000,stable,1,medium,
WC2026-G39,hhad,home,2.0400,2.0400,0.0000,0.0000,stable,1,medium,
WC2026-G39,hhad,draw,3.5000,3.5000,0.0000,0.0000,stable,1,medium,
WC2026-G39,hhad,away,2.8300,2.8300,0.0000,0.0000,stable,1,medium,
