match_id,market,selection,sp,model_probability,implied_probability,edge_proxy,risk_level,market_consistency_flag,recommendation_gate
WC2026-E33,had,home,1.34,,0.7463,,medium,true,false
WC2026-E33,had,draw,4.7,,0.2128,,medium,true,false
WC2026-E33,had,away,5.9,,0.1695,,medium,true,false
WC2026-E33,hhad,home,2.01,,0.4975,,medium,true,false
WC2026-E33,hhad,draw,3.93,,0.2545,,medium,true,false
WC2026-E33,hhad,away,2.65,,0.3774,,medium,true,false
WC2026-E34,hhad,home,1.85,,0.5405,,medium,true,false
WC2026-E34,hhad,draw,4,,0.25,,medium,true,false
WC2026-E34,hhad,away,2.95,,0.339,,medium,true,false
WC2026-F35,had,home,1.53,,0.6536,,medium,true,false
WC2026-F35,had,draw,3.83,,0.2611,,medium,true,false
WC2026-F35,had,away,4.65,,0.2151,,medium,true,false
WC2026-F35,hhad,home,2.75,,0.3636,,medium,true,false
WC2026-F35,hhad,draw,3.23,,0.3096,,medium,true,false
WC2026-F35,hhad,away,2.19,,0.4566,,medium,true,false
WC2026-F35,had,home,1.48,,0.6757,,medium,true,false
WC2026-F35,had,home,1.42,,0.7042,,medium,true,false
WC2026-F36,had,home,6.55,,0.1527,,medium,true,false
WC2026-F36,had,draw,4.05,,0.2469,,medium,true,false
WC2026-F36,had,away,1.37,,0.7299,,medium,true,false
WC2026-F36,hhad,home,2.58,,0.3876,,medium,true,false
WC2026-F36,hhad,draw,3.58,,0.2793,,medium,true,false
WC2026-F36,hhad,away,2.16,,0.463,,medium,true,false
WC2026-H37,had,home,1.3,,0.7692,,medium,true,false
WC2026-H37,had,draw,4.05,,0.2469,,medium,true,false
WC2026-H37,had,away,8.8,,0.1136,,medium,true,false
WC2026-H37,hhad,home,2.1,,0.4762,,medium,true,false
WC2026-H37,hhad,draw,3.3,,0.303,,medium,true,false
WC2026-H37,hhad,away,2.86,,0.3497,,medium,true,false
WC2026-H38,hhad,home,1.59,,0.6289,,medium,true,false
WC2026-H38,hhad,draw,4.55,,0.2198,,medium,true,false
WC2026-H38,hhad,away,3.56,,0.2809,,medium,true,false
WC2026-G39,had,home,1.26,,0.7937,,medium,true,false
WC2026-G39,had,draw,4.76,,0.2101,,medium,true,false
WC2026-G39,had,away,7.95,,0.1258,,medium,true,false
WC2026-G39,hhad,home,1.89,,0.5291,,medium,true,false
WC2026-G39,hhad,draw,3.72,,0.2688,,medium,true,false
WC2026-G39,hhad,away,3.02,,0.3311,,medium,true,false
WC2026-I41,had,home,1.95,,0.5128,,medium,true,false
WC2026-I41,had,draw,3.3,,0.303,,medium,true,false
WC2026-I41,had,away,3.2,,0.3125,,medium,true,false
WC2026-I41,hhad,home,3.88,,0.2577,,medium,true,false
WC2026-I41,hhad,draw,3.82,,0.2618,,medium,true,false
WC2026-I41,hhad,away,1.64,,0.6098,,medium,true,false
WC2026-I42,hhad,home,2.61,,0.3831,,medium,true,false
WC2026-I42,hhad,draw,4.5,,0.2222,,medium,true,false
WC2026-I42,hhad,away,1.91,,0.5236,,medium,true,false
WC2026-J43,had,home,1.4,,0.7143,,medium,true,false
WC2026-J43,had,draw,3.98,,0.2513,,medium,true,false
WC2026-J43,had,away,6.1,,0.1639,,medium,true,false
WC2026-J43,hhad,home,2.28,,0.4386,,medium,true,false
WC2026-J43,hhad,draw,3.48,,0.2874,,medium,true,false
WC2026-J43,hhad,away,2.48,,0.4032,,medium,true,false
WC2026-J44,had,home,5.82,,0.1718,,medium,true,false
WC2026-J44,had,draw,3.8,,0.2632,,medium,true,false
WC2026-J44,had,away,1.44,,0.6944,,medium,true,false
WC2026-J44,hhad,home,2.4,,0.4167,,medium,true,false
WC2026-J44,hhad,draw,3.35,,0.2985,,medium,true,false
WC2026-J44,hhad,away,2.42,,0.4132,,medium,true,false
