match_id,home_team,away_team,group,round,home_strength_rating,away_strength_rating,strength_gap,home_recent_xg_for,home_recent_xg_against,away_recent_xg_for,away_recent_xg_against,home_form_points,away_form_points,home_rest_days,away_rest_days,venue_temperature,venue_humidity,data_quality_score,data_quality_grade
WC2026-A1,Mexico,South Africa,A,1,0.6046,0.3599,0.2447,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-A2,South Korea,Czechia,A,1,0.4483,0.6067,-0.1584,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-B3,Canada,Bosnia and Herzegovina,B,1,0.5046,0.4198,0.0848,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-D4,USA,Paraguay,D,1,0.4175,0.4893,-0.0718,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-C5,Haiti,Scotland,C,1,0.3599,0.4677,-0.1078,1,1,1,1,1,1,,,,,0.45,degraded
WC2026-D6,Australia,Turkey,D,1,0.4699,0.4942,-0.0243,1,1,1,1,1,1,,,,,0.45,degraded
WC2026-C7,Brazil,Morocco,C,1,0.8313,0.5925,0.2388,1,1,1,1,1,1,,,,,0.45,degraded
WC2026-B8,Qatar,Switzerland,B,1,0.3216,0.5587,-0.237,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-E9,Ivory Coast,Ecuador,E,1,0.5019,0.5235,-0.0216,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-E10,Germany,Curacao,E,1,0.7834,0.2774,0.506,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-F11,Netherlands,Japan,F,1,0.6921,0.6149,0.0771,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-F12,Sweden,Tunisia,F,1,0.51,0.4591,0.0509,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-H13,Saudi Arabia,Uruguay,H,1,0.3878,0.5911,-0.2033,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-H14,Spain,Cape Verde,H,1,0.7483,0.2851,0.4632,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-G15,Iran,New Zealand,G,1,0.4744,0.3595,0.1149,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-G16,Belgium,Egypt,G,1,0.7317,0.458,0.2737,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-I17,France,Senegal,I,1,0.8952,0.6244,0.2708,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-I18,Iraq,Norway,I,1,0.3599,0.601,-0.2411,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-J19,Argentina,Algeria,J,1,0.784,0.5127,0.2713,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-J20,Austria,Jordan,J,1,0.6568,0.3599,0.2969,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-L21,Ghana,Panama,L,1,0.5163,0.281,0.2353,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-L22,England,Croatia,L,1,0.8371,0.6059,0.2312,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-K23,Portugal,DR Congo,K,1,0.7177,0.4031,0.3146,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-K24,Uzbekistan,Colombia,K,1,0.3527,0.6676,-0.3149,1,1,1,1,1,1,,,,,0.35,degraded
WC2026-A25,Czechia,South Africa,A,2,0.6067,0.3599,0.2468,0.83,2.3,0.07,1.46,0,0,,,,,0.5,degraded
WC2026-B26,Switzerland,Bosnia and Herzegovina,B,2,0.5587,0.4198,0.1389,3.2,0.6,0.96,1.23,1,1,,,,,0.5,degraded
WC2026-B27,Canada,Qatar,B,2,0.5046,0.3216,0.1829,1.23,0.96,0.6,3.2,1,1,,,,,0.5,degraded
WC2026-A28,Mexico,South Korea,A,2,0.6046,0.4483,0.1563,1.46,0.07,2.3,0.83,3,3,,,,,0.5,degraded
WC2026-C29,Brazil,Haiti,C,2,0.8313,0.3599,0.4714,1.26,1.37,1.05,1.05,1,0,,,,,0.6,low
WC2026-C30,Scotland,Morocco,C,2,0.4677,0.5925,-0.1248,1.05,1.05,1.37,1.26,3,1,,,,,0.6,low
WC2026-D31,Turkey,Paraguay,D,2,0.4942,0.4893,0.005,1.36,1.18,0.54,1.42,0,0,,,,,0.6,low
WC2026-D32,USA,Australia,D,2,0.4175,0.4699,-0.0524,1.42,0.54,1.18,1.36,3,3,,,,,0.65,low
WC2026-E33,Germany,Ivory Coast,E,2,0.7834,0.5019,0.2816,4.22,0.41,1.52,1.01,3,3,,,,,0.65,low
WC2026-E34,Ecuador,Curacao,E,2,0.5235,0.2774,0.2461,1.01,1.52,0.41,4.22,0,0,,,,,0.65,low
WC2026-F35,Netherlands,Sweden,F,2,0.6921,0.51,0.1821,0.78,0.59,1.33,0.28,1,3,,,,,0.65,low
WC2026-F36,Tunisia,Japan,F,2,0.4591,0.6149,-0.1558,0.28,1.33,0.59,0.78,0,1,,,,,0.65,low
WC2026-H37,Uruguay,Cape Verde,H,2,0.5911,0.2851,0.306,1.72,0.66,0.2,2.1,1,1,,,,,0.65,low
WC2026-H38,Spain,Saudi Arabia,H,2,0.7483,0.3878,0.3605,2.1,0.2,0.66,1.72,1,1,,,,,0.65,low
WC2026-G39,Belgium,Iran,G,2,0.7317,0.4744,0.2573,1.35,1.08,1.5,1.24,1,1,,,,,0.65,low
