match_id,home_team,away_team,group_pressure_home,group_pressure_away,pressure_type_home,pressure_type_away,state_reason_code_home,state_reason_code_away,runtime_incentive_used,home_route_preference_label,away_route_preference_label,home_first_place_utility,away_first_place_utility,home_second_place_utility,away_second_place_utility,home_draw_acceptance_modifier,away_draw_acceptance_modifier,home_late_push_modifier,away_late_push_modifier,home_rotation_modifier,away_rotation_modifier,draw_utility_home,draw_utility_away,attack_conversion_home,attack_conversion_away,must_win_no_convert_home,must_win_no_convert_away,early_goal_cascade_index,cascade_tail_active,favorite,underdog,cold_draw_guard_score,cold_guard_active,deep_handicap_contra_flag,data_quality_score,data_quality_grade,active_flags
WC2026-A1,Mexico,South Africa,0.2318,0.2318,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3733,0.3733,false,false,0.4255,false,Mexico,South Africa,0.5303,false,false,0.35,degraded,
WC2026-A2,South Korea,Czechia,0.2318,0.2318,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3733,0.3733,false,false,0.4183,false,Czechia,South Korea,0.5303,false,false,0.35,degraded,
WC2026-B3,Canada,Bosnia and Herzegovina,0.2317,0.2317,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3733,0.3733,false,false,0.5015,false,Canada,Bosnia and Herzegovina,0.5303,false,false,0.35,degraded,
WC2026-D4,USA,Paraguay,0.2317,0.2317,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3903,0.2978,false,false,0.4079,false,Paraguay,USA,0.5454,false,false,0.35,degraded,
WC2026-C5,Haiti,Scotland,0.2321,0.2321,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3885,0.3365,false,false,0.3793,false,Scotland,Haiti,0.6194,true,false,0.45,degraded,cold_guard_active
WC2026-D6,Australia,Turkey,0.2325,0.2325,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.253,0.5035,false,false,0.5969,false,Turkey,Australia,0.4116,false,false,0.45,degraded,
WC2026-C7,Brazil,Morocco,0.2321,0.2321,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3803,0.3816,false,false,0.4589,false,Brazil,Morocco,0.5193,false,false,0.45,degraded,
WC2026-B8,Qatar,Switzerland,0.2317,0.2317,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3733,0.3733,false,false,0.4273,false,Switzerland,Qatar,0.5303,false,false,0.35,degraded,
WC2026-E9,Ivory Coast,Ecuador,0.2322,0.2322,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3733,0.3733,false,false,0.4252,false,Ecuador,Ivory Coast,0.5303,false,false,0.35,degraded,
WC2026-E10,Germany,Curacao,0.2322,0.2322,low_pressure,low_pressure,R1_OPENING_BASELINE,R1_OPENING_BASELINE,false,,,,,,,,,,,,,0.3,0.3,0.3733,0.3733,false,false,0.5008,false,Germany,Curacao,0.5303,false,false,0.35,degraded,
