historical_match_id,lambda_home,lambda_away,data_quality_score,egci_v2,egci_v2_quality,acg_favorite,acg_v2_quality,underdog_fragility,chase_pressure,cold_guard_active,must_win_no_convert,deep_handicap_contra,eventflow_degraded,goal_timeline_count,confirmed_event_timeline
WC2026-A1,1.46,0.07,0.75,0.4,proxy,0.2281,real,0.28,0.2,true,false,true,false,0,false
WC2026-A2,2.3,0.83,0.75,0.4,proxy,0.2964,real,0.28,0.2,false,false,false,false,0,false
WC2026-B3,1.23,0.96,0.75,0.4,proxy,0.2365,real,0.28,0.2,false,false,false,false,0,false
WC2026-D4,1.42,0.54,0.75,0.4,proxy,0.15,real,0.28,0.2,false,false,false,false,0,false
WC2026-C5,1.05,1.05,0.75,0.4,proxy,0.2917,real,0.28,0.2,false,false,false,false,0,false
WC2026-D6,1.18,1.36,0.75,0.4,proxy,0.1133,real,0.28,0.2,false,false,false,false,0,false
WC2026-C7,1.26,1.37,0.75,0.4,proxy,0.2625,real,0.28,0.2,false,false,false,false,0,false
WC2026-B8,0.6,3.2,0.75,0.4,proxy,0.3077,real,0.28,0.2,true,false,true,false,0,false
WC2026-E9,1.52,1.01,0.75,0.4,proxy,0.2104,real,0.28,0.2,false,false,false,false,0,false
WC2026-E10,4.22,0.41,0.75,0.4,proxy,0.4058,real,0.28,0.2,true,false,true,false,0,false
WC2026-F11,0.78,0.59,0.75,0.4,proxy,0.195,real,0.28,0.2,false,false,false,false,0,false
WC2026-F12,1.33,0.28,0.75,0.4,proxy,0.2558,real,0.28,0.2,true,false,true,false,0,false
WC2026-H13,0.66,1.72,0.75,0.4,proxy,0.1593,real,0.28,0.2,false,false,true,false,0,false
WC2026-H14,2.1,0.2,0.75,0.4,proxy,0.1944,real,0.28,0.2,true,false,true,false,0,false
WC2026-G15,1.5,1.24,0.75,0.4,proxy,0.2206,real,0.28,0.2,false,false,false,false,0,false
WC2026-G16,1.35,1.08,0.75,0.4,proxy,0.225,real,0.28,0.2,false,false,false,false,0,false
WC2026-I17,1.79,0.53,0.75,0.4,proxy,0.4068,real,0.28,0.2,true,false,true,false,0,false
WC2026-I18,0.8,2.52,0.75,0.4,proxy,0.525,real,0.28,0.2,false,false,true,false,0,false
WC2026-J19,1.26,0.32,0.75,0.4,proxy,0.315,real,0.28,0.2,true,false,true,false,0,false
WC2026-J20,1.69,0.46,0.75,0.4,proxy,0.3841,real,0.28,0.2,true,false,true,false,0,false
WC2026-L21,1.31,0.75,0.75,0.4,proxy,0.4094,real,0.28,0.2,false,false,false,false,0,false
WC2026-L22,3.2,0.7,0.75,0.4,proxy,0.3636,real,0.28,0.2,true,false,true,false,0,false
WC2026-K23,0.65,0.87,0.75,0.4,proxy,0.2321,real,0.28,0.2,false,false,false,false,0,false
WC2026-K24,1.16,1.62,0.75,0.4,proxy,0.27,real,0.28,0.2,false,false,false,false,0,false
WC2026-A25,1.02,1.38,0.75,0.4,proxy,0.1821,real,0.28,0.2,false,false,false,false,0,false
WC2026-B26,2.06,0.23,0.75,0.4,proxy,0.3962,real,0.28,0.2,true,false,true,false,0,false
WC2026-B27,4.6,0.22,0.75,0.4,proxy,0.3594,real,0.28,0.2,true,false,true,false,0,false
WC2026-A28,0.48,0.69,0.75,0.4,proxy,0.15,real,0.28,0.2,false,false,false,false,0,false
WC2026-C29,1.75,0.23,0.75,0.4,proxy,0.5469,real,0.28,0.2,false,false,true,false,0,false
WC2026-C30,0.51,0.99,0.75,0.4,proxy,0.2063,real,0.28,0.2,false,false,false,false,0,false
WC2026-D31,2.17,0.32,0.75,0.4,proxy,0.1695,real,0.28,0.2,true,false,true,false,0,false
WC2026-D32,1.08,0.35,0.75,0.4,proxy,0.175,real,0.28,0.2,false,false,false,false,0,false
SB-3753768,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,6,true
SB-3753823,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,4,true
SB-3753890,1.3,1.0,0.8,0.93,real,0.5,proxy,0.651,0.465,false,false,false,false,3,true
SB-3753934,1.3,1.0,0.8,0.85,real,0.5,proxy,0.595,0.425,false,false,false,false,2,true
SB-3754012,1.3,1.0,0.5,0.4,proxy,0.5,proxy,0.28,0.2,false,false,false,false,0,false
SB-3754108,1.3,1.0,0.8,0.93,real,0.5,proxy,0.651,0.465,false,false,false,false,3,true
SB-3754155,1.3,1.0,0.8,0.93,real,0.5,proxy,0.651,0.465,false,false,false,false,3,true
SB-3754201,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,8,true
SB-3754245,1.3,1.0,0.8,0.93,real,0.5,proxy,0.651,0.465,false,false,false,false,3,true
SB-3788741,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,13,true
SB-3788788,1.3,1.0,0.8,0.85,real,0.5,proxy,0.595,0.425,false,false,false,false,2,true
SB-3869620,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,7,true
SB-3869685,1.3,1.0,0.8,0.85,real,0.5,proxy,0.595,0.425,false,false,false,false,2,true
SB-3929844,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,7,true
SB-3929991,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,7,true
SB-3930102,1.3,1.0,0.8,0.85,real,0.5,proxy,0.595,0.425,false,false,false,false,2,true
SB-3930158,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,6,true
SB-3999012,1.3,1.0,0.8,0.85,real,0.5,proxy,0.595,0.425,false,false,false,false,2,true
SB-3999088,1.3,1.0,0.8,1.0,real,0.5,proxy,0.7,0.5,false,false,false,false,6,true
SB-3999147,1.3,1.0,0.8,0.93,real,0.5,proxy,0.651,0.465,false,false,false,false,3,true
