historical_match_id,source,competition,season,match_date,home_team,away_team,neutral_venue,home_score,away_score,total_goals,winner,home_xg,away_xg,data_quality,event_timeline_available,lineup_available,match_stats_available,eligible_for_tail_backtest,is_large_score,large_score_type,favorite_side,favorite_score,underdog_score,favorite_margin,actual_scoreline
WC2026-A1,finished_wc2026,WC2026,2026,2026-06-11,Mexico,South Africa,false,2,0,2,home,1.46,0.07,0.75,false,false,true,true,false,not_large_score,home,2,0,2,2-0
WC2026-A2,finished_wc2026,WC2026,2026,2026-06-12,South Korea,Czechia,false,2,1,3,home,2.3,0.83,0.75,false,false,true,true,false,not_large_score,away,2,1,0,2-1
WC2026-B3,finished_wc2026,WC2026,2026,2026-06-13,Canada,Bosnia and Herzegovina,false,1,1,2,draw,1.23,0.96,0.75,false,false,true,true,false,not_large_score,home,1,1,0,1-1
WC2026-D4,finished_wc2026,WC2026,2026,2026-06-13,USA,Paraguay,false,4,1,5,home,1.42,0.54,0.75,false,false,true,true,true,favorite_btts_blowout,away,4,1,0,4-1
WC2026-C5,finished_wc2026,WC2026,2026,2026-06-14,Haiti,Scotland,false,0,1,1,away,1.05,1.05,0.75,false,false,true,true,false,not_large_score,away,1,0,1,0-1
WC2026-D6,finished_wc2026,WC2026,2026,2026-06-14,Australia,Turkey,false,2,0,2,home,1.18,1.36,0.75,false,false,true,true,false,not_large_score,away,2,0,0,2-0
WC2026-C7,finished_wc2026,WC2026,2026,2026-06-14,Brazil,Morocco,false,1,1,2,draw,1.26,1.37,0.75,false,false,true,true,false,not_large_score,home,1,1,0,1-1
WC2026-B8,finished_wc2026,WC2026,2026,2026-06-14,Qatar,Switzerland,false,1,1,2,draw,0.6,3.2,0.75,false,false,true,true,false,not_large_score,away,1,1,0,1-1
WC2026-E9,finished_wc2026,WC2026,2026,2026-06-15,Ivory Coast,Ecuador,false,1,0,1,home,1.52,1.01,0.75,false,false,true,true,false,not_large_score,away,1,0,0,1-0
WC2026-E10,finished_wc2026,WC2026,2026,2026-06-15,Germany,Curacao,false,7,1,8,home,4.22,0.41,0.75,false,false,true,true,true,extreme_tail_warning,home,7,1,6,7-1
