match_id,team,data_timing,shots,shots_on_target,xg,big_chances,corners,passes,pass_accuracy,possession,saves,sot_faced,goals_prevented,ppda,field_tilt,source,quality_flag
WC2026-A1,Mexico,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-A1,South Africa,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-A1,Mexico,post_match_final,16,,1.46,2,,,,,,,,,,FotMob/Opta,ok
WC2026-A1,South Africa,post_match_final,3,,0.07,0,,,,,,,,,,FotMob/Opta,ok
WC2026-A2,South Korea,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-A2,Czechia,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-A2,South Korea,post_match_final,15,,2.3,4,,,,,,,,,,FotMob/Opta,ok
WC2026-A2,Czechia,post_match_final,7,,0.83,1,,,,,,,,,,FotMob/Opta,ok
WC2026-B3,Canada,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-B3,Bosnia and Herzegovina,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-B3,Canada,post_match_final,13,,1.23,2,,,,,,,,,,FotMob/Opta,ok
WC2026-B3,Bosnia and Herzegovina,post_match_final,8,,0.96,2,,,,,,,,,,FotMob/Opta,ok
WC2026-D4,USA,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-D4,Paraguay,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-D4,USA,post_match_final,16,,1.42,4,,,,,,,,,,FotMob/Opta,ok
WC2026-D4,Paraguay,post_match_final,9,,0.54,1,,,,,,,,,,FotMob/Opta,ok
WC2026-C5,Haiti,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-C5,Scotland,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-C5,Haiti,post_match_final,15,,1.05,1,,,,,,,,,,FotMob/Opta,ok
WC2026-C5,Scotland,post_match_final,9,,1.05,2,,,,,,,,,,FotMob/Opta,ok
WC2026-D6,Australia,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-D6,Turkey,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-D6,Australia,post_match_final,9,,1.18,1,,,,,,,,,,FotMob/Opta,ok
WC2026-D6,Turkey,post_match_final,30,,1.36,2,,,,,,,,,,FotMob/Opta,ok
WC2026-C7,Brazil,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-C7,Morocco,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-C7,Brazil,post_match_final,12,,1.26,1,,,,,,,,,,FotMob/Opta,ok
WC2026-C7,Morocco,post_match_final,14,,1.37,2,,,,,,,,,,FotMob/Opta,ok
WC2026-B8,Qatar,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-B8,Switzerland,pre_match_rolling,12,4,1,1.5,,,,,,4,,,,wc2026_match_xg_rolling,proxy
WC2026-B8,Qatar,post_match_final,6,,0.6,1,,,,,,,,,,FotMob/Opta,ok
