match_id,provider_match_id,competition,season,stage,group,round,home_team,away_team,kickoff_utc,venue,city,country,status,home_score,away_score,home_ht_score,away_ht_score
WC2026-A1,1,WC2026,2026,group,A,1,Mexico,South Africa,2026-06-11T13:00:00Z,Estadio Azteca,Mexico City,Mexico,finished,2,0,,
WC2026-A2,2,WC2026,2026,group,A,1,South Korea,Czechia,2026-06-12T20:00:00Z,Estadio Akron,Guadalajara,Mexico,finished,2,1,,
WC2026-B3,3,WC2026,2026,group,B,1,Canada,Bosnia and Herzegovina,2026-06-13T15:00:00Z,BMO Field,Toronto,Canada,finished,1,1,,
WC2026-D4,4,WC2026,2026,group,D,1,USA,Paraguay,2026-06-13T18:00:00Z,SoFi Stadium,Los Angeles,USA,finished,4,1,,
WC2026-C5,5,WC2026,2026,group,C,1,Haiti,Scotland,2026-06-14T21:00:00Z,Gillette Stadium,Boston,USA,finished,0,1,,
WC2026-D6,6,WC2026,2026,group,D,1,Australia,Turkey,2026-06-14T21:00:00Z,BC Place,Vancouver,Canada,finished,2,0,,
WC2026-C7,7,WC2026,2026,group,C,1,Brazil,Morocco,2026-06-14T18:00:00Z,MetLife Stadium,New York/New Jersey,USA,finished,1,1,,
WC2026-B8,8,WC2026,2026,group,B,1,Qatar,Switzerland,2026-06-14T12:00:00Z,Levi's Stadium,San Francisco Bay Area,USA,finished,1,1,,
WC2026-E9,9,WC2026,2026,group,E,1,Ivory Coast,Ecuador,2026-06-15T19:00:00Z,Lincoln Financial Field,Philadelphia,USA,finished,1,0,,
WC2026-E10,10,WC2026,2026,group,E,1,Germany,Curacao,2026-06-15T12:00:00Z,NRG Stadium,Houston,USA,finished,7,1,,
WC2026-F11,11,WC2026,2026,group,F,1,Netherlands,Japan,2026-06-15T15:00:00Z,AT&T Stadium,Dallas,USA,finished,2,2,,
WC2026-F12,12,WC2026,2026,group,F,1,Sweden,Tunisia,2026-06-15T20:00:00Z,Estadio BBVA,Monterrey,Mexico,finished,5,1,,
WC2026-H13,13,WC2026,2026,group,H,1,Saudi Arabia,Uruguay,2026-06-16T18:00:00Z,Hard Rock Stadium,Miami,USA,finished,1,1,,
WC2026-H14,14,WC2026,2026,group,H,1,Spain,Cape Verde,2026-06-16T12:00:00Z,Mercedes-Benz Stadium,Atlanta,USA,finished,0,0,,
WC2026-G15,15,WC2026,2026,group,G,1,Iran,New Zealand,2026-06-16T18:00:00Z,SoFi Stadium,Los Angeles,USA,finished,2,2,,
WC2026-G16,16,WC2026,2026,group,G,1,Belgium,Egypt,2026-06-16T12:00:00Z,Lumen Field,Seattle,USA,finished,1,1,,
WC2026-I17,17,WC2026,2026,group,I,1,France,Senegal,2026-06-16T15:00:00Z,MetLife Stadium,New York/New Jersey,USA,finished,3,1,,
WC2026-I18,18,WC2026,2026,group,I,1,Iraq,Norway,2026-06-16T18:00:00Z,Gillette Stadium,Boston,USA,finished,1,4,,
WC2026-J19,19,WC2026,2026,group,J,1,Argentina,Algeria,2026-06-17T20:00:00Z,Arrowhead Stadium,Kansas City,USA,finished,3,0,,
