match_id,market,selection,sp,handicap,total_line,single_allowed,pool_status,provider,fetched_at_utc,is_opening,is_closing
WC2026-H37,had,home,1.30,,,true,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-H37,had,draw,4.05,,,true,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-H37,had,away,8.80,,,true,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-H37,hhad,home,2.10,-1,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-H37,hhad,draw,3.30,-1,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-H37,hhad,away,2.86,-1,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-H38,hhad,home,1.59,-2,,true,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-H38,hhad,draw,4.55,-2,,true,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-H38,hhad,away,3.56,-2,,true,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-G39,had,home,1.26,,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-G39,had,draw,4.76,,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-G39,had,away,7.95,,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-G39,hhad,home,1.89,-1,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-G39,hhad,draw,3.72,-1,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-G39,hhad,away,3.02,-1,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-I41,had,home,1.95,,,true,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-I41,had,draw,3.30,,,true,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-I41,had,away,3.20,,,true,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-I41,hhad,home,3.88,-1,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-I41,hhad,draw,3.82,-1,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
WC2026-I41,hhad,away,1.64,-1,,false,open,local_jc_odds,2026-06-21T11:41:30Z,false,false
