snapshot_id,match_id,group,team,points_before,played_before,wins_before,draws_before,losses_before,gf_before,ga_before,gd_before,rank_before,remaining_matches,remaining_opponents,can_qualify_if_win,can_qualify_if_draw,elimination_risk_if_loss,draw_utility,win_necessity,round_before,path_state,state_reason_code,p_finish_1,p_finish_2,p_finish_3,p_finish_4,p_top2,p_best8_third,p_advance
V37_PRE_WC2026-A1,WC2026-A1,A,Mexico,0,0,0,0,0,0,0,0,3,3,Czechia;South Korea,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1667,0.6667
V37_PRE_WC2026-A1,WC2026-A1,A,South Africa,0,0,0,0,0,0,0,0,4,3,Czechia;South Korea,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1667,0.6667
V37_PRE_WC2026-A2,WC2026-A2,A,South Korea,0,0,0,0,0,0,0,0,3,3,Mexico;South Africa,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1667,0.6667
V37_PRE_WC2026-A2,WC2026-A2,A,Czechia,0,0,0,0,0,0,0,0,2,3,Mexico;South Africa,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1667,0.6667
V37_PRE_WC2026-B3,WC2026-B3,B,Canada,0,0,0,0,0,0,0,0,2,3,Qatar;Switzerland,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
V37_PRE_WC2026-B3,WC2026-B3,B,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,4,3,Qatar;Switzerland,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
V37_PRE_WC2026-D4,WC2026-D4,D,USA,0,0,0,0,0,0,0,0,1,3,Australia;Turkey,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
V37_PRE_WC2026-D4,WC2026-D4,D,Paraguay,0,0,0,0,0,0,0,0,3,3,Australia;Turkey,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
V37_PRE_WC2026-C5,WC2026-C5,C,Haiti,0,0,0,0,0,0,0,0,3,3,Brazil;Morocco,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1656,0.6656
V37_PRE_WC2026-C5,WC2026-C5,C,Scotland,0,0,0,0,0,0,0,0,4,3,Brazil;Morocco,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1656,0.6656
V37_PRE_WC2026-D6,WC2026-D6,D,Australia,0,0,0,0,0,0,0,0,2,3,Paraguay;USA,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.164,0.664
V37_PRE_WC2026-D6,WC2026-D6,D,Turkey,0,0,0,0,0,0,0,0,3,3,Paraguay;USA,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.164,0.664
V37_PRE_WC2026-C7,WC2026-C7,C,Brazil,0,0,0,0,0,0,0,0,3,3,Haiti;Scotland,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1656,0.6656
V37_PRE_WC2026-C7,WC2026-C7,C,Morocco,0,0,0,0,0,0,0,0,1,3,Haiti;Scotland,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1656,0.6656
V37_PRE_WC2026-B8,WC2026-B8,B,Qatar,0,0,0,0,0,0,0,0,4,3,Bosnia and Herzegovina;Canada,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
V37_PRE_WC2026-B8,WC2026-B8,B,Switzerland,0,0,0,0,0,0,0,0,3,3,Bosnia and Herzegovina;Canada,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1673,0.6673
V37_PRE_WC2026-E9,WC2026-E9,E,Ivory Coast,0,0,0,0,0,0,0,0,3,3,Curacao;Germany,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
V37_PRE_WC2026-E9,WC2026-E9,E,Ecuador,0,0,0,0,0,0,0,0,2,3,Curacao;Germany,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
V37_PRE_WC2026-E10,WC2026-E10,E,Germany,0,0,0,0,0,0,0,0,1,3,Ecuador;Ivory Coast,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
V37_PRE_WC2026-E10,WC2026-E10,E,Curacao,0,0,0,0,0,0,0,0,4,3,Ecuador;Ivory Coast,true,true,true,0.3,0.28,1,opening_round,R1_OPENING_BASELINE,0.25,0.25,0.25,0.25,0.5,0.1653,0.6653
