player,nation_raw,position,club,league,age,born,season,matches_played,starts,minutes,nineties,goals,assists,xg,npxg,xag,npxg_xag,progressive_carries,progressive_passes,progressive_receives,xg_per90,xag_per90,npxg_per90,source,source_url,last_verified
Max Aarons,engENG,DF,Bournemouth,gPremier League,25-113,2000,2024-25,3,1,86,1.0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Max Aarons,engENG,"DF,MF",Valencia,La Liga,25-113,2000,2024-25,2,1,104,1.2,0,0,0.0,0.0,0.0,0.0,0,4,8,0.02,0.02,0.02,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Rodrigo Abajas,esESP,DF,Valencia,La Liga,21-350,2003,2024-25,1,1,65,0.7,0,0,0.1,0.1,0.0,0.1,3,2,3,0.0,0.1,0.1,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
James Abankwah,ieIRL,"DF,MF",Udinese,Serie A,21-101,2004,2024-25,6,0,88,1.0,0,0,0.1,0.1,0.0,0.1,3,4,1,0.0,0.06,0.06,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Keyliane Abdallah,frFRA,FW,Marseille,Ligue 1,19-022,2006,2024-25,1,0,3,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Yunis Abdelhamid,maMAR,DF,Saint-Étienne,Ligue 1,37-211,1987,2024-25,14,11,981,10.9,0,0,0.2,0.2,0.1,0.4,4,22,3,0.01,0.03,0.03,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Himad Abdelli,dzALG,"MF,FW",Angers,Ligue 1,25-161,1999,2024-25,28,28,2487,27.6,6,1,5.6,2.5,3.0,5.5,96,184,100,0.11,0.31,0.2,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Mohamed Abdelmoneim,egEGY,DF,Nice,Ligue 1,26-085,1999,2024-25,12,10,855,9.5,0,0,0.0,0.0,0.0,0.0,6,52,5,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Ali Abdi,tnTUN,"DF,MF",Nice,Ligue 1,31-128,1993,2024-25,22,15,1252,13.9,4,2,3.0,3.0,1.8,4.8,32,37,88,0.13,0.34,0.34,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Saud Abdulhamid,saKSA,DF,Roma,Serie A,25-283,1999,2024-25,4,2,205,2.3,0,1,0.0,0.0,0.2,0.2,6,9,26,0.08,0.09,0.09,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Abel,esESP,DF,Osasuna,La Liga,24-249,2000,2024-25,31,19,1929,21.4,2,0,0.5,0.5,1.0,1.5,47,68,81,0.05,0.07,0.07,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Nabil Aberdin,frFRA,MF,Getafe,La Liga,22-247,2002,2024-25,7,4,263,2.9,0,0,0.0,0.0,0.0,0.1,2,6,2,0.01,0.02,0.02,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Oliver Abildgaard,dkDEN,MF,Como,Serie A,28-321,1996,2024-25,1,0,7,0.1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Matthis Abline,frFRA,FW,Nantes,Ligue 1,22-030,2003,2024-25,30,29,2422,26.9,8,2,7.6,6.8,3.2,10.0,65,41,148,0.12,0.4,0.37,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Abner,brBRA,DF,Lyon,Ligue 1,24-335,2000,2024-25,18,12,1089,12.1,1,1,0.6,0.6,1.1,1.7,31,66,55,0.09,0.14,0.14,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Zakaria Aboukhlal,maMAR,"MF,FW",Toulouse,Ligue 1,25-068,2000,2024-25,24,22,1848,20.5,7,2,10.1,8.5,1.6,10.1,31,22,158,0.08,0.57,0.49,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Abdel Abqar,maMAR,DF,Alavés,La Liga,26-048,1999,2024-25,29,29,2463,27.4,0,1,0.9,0.9,0.3,1.2,16,79,4,0.01,0.04,0.04,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Tammy Abraham,engENG,FW,Roma,Serie A,27-207,1997,2024-25,1,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,0.0,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
Tammy Abraham,engENG,FW,Milan,Serie A,27-207,1997,2024-25,27,11,1120,12.4,3,4,7.0,5.3,2.2,7.5,6,26,65,0.17,0.73,0.6,FBref Big 5 standard player stats,https://fbref.com/en/comps/Big5/stats/players/Big-5-European-Leagues-Stats,2026-06-15
