team,total_roster_players,matched_big5_2024_25,missing,coverage_pct,source,notes
Algeria,26,8,18,0.308,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Argentina,26,17,9,0.654,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Australia,26,4,22,0.154,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Austria,26,11,15,0.423,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Belgium,26,12,14,0.462,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Bosnia and Herzegovina,26,4,22,0.154,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Brazil,26,13,13,0.5,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Canada,26,7,19,0.269,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Cape Verde,26,2,24,0.077,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Colombia,26,7,19,0.269,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Croatia,26,11,15,0.423,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Curacao,26,0,26,0.0,FBref Big 5 2024-25,"Coverage is partial: FBref Big 5 covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
