team,total_roster_players,matched_big5_2025_26,missing,coverage_pct,source,notes
Algeria,26,11,15,0.423,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Argentina,26,20,6,0.769,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Australia,26,5,21,0.192,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Austria,26,18,8,0.692,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Belgium,26,21,5,0.808,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Bosnia and Herzegovina,26,7,19,0.269,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Brazil,26,16,10,0.615,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Canada,26,7,19,0.269,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Cape Verde,26,1,25,0.038,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Colombia,26,9,17,0.346,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Croatia,26,17,9,0.654,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Curacao,26,0,26,0.0,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Czechia,26,7,19,0.269,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
DR Congo,26,10,16,0.385,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Ecuador,26,7,19,0.269,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Egypt,26,3,23,0.115,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
England,26,24,2,0.923,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
France,26,24,2,0.923,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Germany,26,22,4,0.846,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Ghana,26,13,13,0.5,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Haiti,26,4,22,0.154,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Iran,26,0,26,0.0,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Iraq,26,0,26,0.0,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Ivory Coast,26,14,12,0.538,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Japan,26,12,14,0.462,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Jordan,26,1,25,0.038,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Mexico,26,5,21,0.192,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Morocco,26,16,10,0.615,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
Netherlands,26,23,3,0.885,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
New Zealand,26,1,25,0.038,Understat Big 5 2025-26,"Coverage is partial: Understat covers EPL, La Liga, Bundesliga, Serie A, Ligue 1 only."
