team,total_roster_players,understat_big5_2025_26,manual_supplement_2025_26,covered_total,missing_after_supplement,coverage_pct,notes
Algeria,26,11,3,14,12,0.538,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Argentina,26,20,0,20,6,0.769,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Australia,26,5,0,5,21,0.192,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Austria,26,18,0,18,8,0.692,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Belgium,26,21,0,21,5,0.808,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Bosnia and Herzegovina,26,7,0,7,19,0.269,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Brazil,26,16,0,16,10,0.615,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Canada,26,7,0,7,19,0.269,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Cape Verde,26,1,0,1,25,0.038,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Colombia,26,9,0,9,17,0.346,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Croatia,26,17,0,17,9,0.654,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Curacao,26,0,0,0,26,0.0,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Czechia,26,7,0,7,19,0.269,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
DR Congo,26,10,0,10,16,0.385,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Ecuador,26,7,0,7,19,0.269,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Egypt,26,3,0,3,23,0.115,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
England,26,24,0,24,2,0.923,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
France,26,24,0,24,2,0.923,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Germany,26,22,0,22,4,0.846,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Ghana,26,13,0,13,13,0.5,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Haiti,26,4,0,4,22,0.154,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Iran,26,0,0,0,26,0.0,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Iraq,26,0,0,0,26,0.0,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Ivory Coast,26,14,0,14,12,0.538,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Japan,26,12,0,12,14,0.462,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Jordan,26,1,0,1,25,0.038,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Mexico,26,5,0,5,21,0.192,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
Morocco,26,16,0,16,10,0.615,"Understat = precise Big-5 matches (club-similarity guarded); manual supplement is source-mixed, lower weight."
