team,team_code,group,player,position,club,source,notes
Algeria,ALG,J,Melvin MASTIL,GK,FC Stade Nyonnais (SUI),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Achraf ABADA,DF,USM Alger (ALG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Mohamed TOUGAI,DF,Espérance De Tunisie (TUN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Zineddine BELAID,DF,JS Kabylie (ALG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Ramiz ZERROUKI,MF,FC Twente (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Riyad MAHREZ,FW,Al Ahli FC (KSA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Houssem AOUAR,MF,Al Ittihad (KSA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Anis HADJ MOUSSA,FW,Feyenoord Rotterdam (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Nadhir BENBOUALI,FW,Györi ETO FC (HUN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Jaouen HADJAM,DF,BSC Young Boys (SUI),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Oussama BENBOT,GK,USM Alger (ALG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Adil BOULBINA,FW,Al Duhail SC (QAT),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Luca ZIDANE,GK,Granada CF (ESP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Yassine TITRAOUI,MF,Sporting Charleroi (BEL),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Algeria,ALG,J,Fares GHEDJEMIS,FW,Frosinone (ITA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Argentina,ARG,J,Gonzalo MONTIEL,DF,CA River Plate (ARG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Argentina,ARG,J,Leandro PAREDES,MF,CA Boca Juniors (ARG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Argentina,ARG,J,Rodrigo DE PAUL,MF,Inter Miami CF (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Argentina,ARG,J,Lionel MESSI,FW,Inter Miami CF (USA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Argentina,ARG,J,Nicolas OTAMENDI,DF,SL Ben ca (POR),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Argentina,ARG,J,Jose LOPEZ,FW,SE Palmeiras (BRA),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Milos DEGENEK,DF,APOEL FC (CYP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Jacob ITALIANO,DF,Grazer AK (AUT),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Jordan BOS,DF,Feyenoord Rotterdam (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Jason GERIA,DF,Albirex Niigata (JPN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Mathew LECKIE,FW,Melbourne City FC (AUS),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Mohamed TOURE,FW,Norwich City FC (ENG),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Ajdin HRUSTIC,FW,SC Heracles Almelo (NED),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Awer MABIL,FW,CD Castellón (ESP),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
Australia,AUS,D,Paul IZZO,GK,Randers FC (DEN),Understat Big 5 2025-26,No name match in the pulled Understat Big 5 2025-26 player table (likely outside the five major European leagues).
