national_team,team_code,group,roster_player,roster_position,roster_club,matched_player,club,league,season,matches_played,minutes,goals,assists,shots,key_passes,xg,npxg,xa,xg_per90,xa_per90,source,source_url,last_verified,match_confidence,recommended_weight,notes
Argentina,ARG,J,Lionel MESSI,FW,Inter Miami CF (USA),Lionel Messi,Inter Miami CF,Major League Soccer,2026,,1420,12,7,84,37,11.2015,,7.2937,0.71,0.462,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Australia,AUS,D,Lucas HERRINGTON,DF,Colorado Rapids (USA),Lucas Herrington,Colorado Rapids,Major League Soccer,2026,,1542,1,1,3,3,0.5807,,0.8988,0.034,0.052,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Australia,AUS,D,Aiden ONEILL,MF,New York City FC (USA),Aiden O'Neill,New York City FC,Major League Soccer,2026,,991,0,1,5,3,0.2107,,0.3516,0.019,0.032,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Australia,AUS,D,Kai TREWIN,DF,New York City FC (USA),Kai Trewin,New York City FC,Major League Soccer,2026,,1402,0,0,8,5,0.4714,,0.6076,0.03,0.039,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Canada,CAN,B,Joel WATERMAN,DF,Chicago Fire FC (USA),Joel Waterman,Chicago Fire FC,Major League Soccer,2026,,757,0,0,1,4,0.0526,,0.3504,0.006,0.042,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Canada,CAN,B,Dayne ST. CLAIR,GK,Inter Miami CF (USA),Dayne St. Clair,Inter Miami CF,Major League Soccer,2026,,1445,0,0,0,1,0,,0.0282,0.0,0.002,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Canada,CAN,B,Jacob SHAFFELBURG,MF,LAFC (USA),Jacob Shaffelburg,Nashville SC,Major League Soccer,2025,,1433,4,2,27,20,3.9271,,3.5643,0.247,0.224,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2025,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2025; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Canada,CAN,B,Mathieu CHOINIERE,MF,LAFC (USA),Mathieu Choinière,Los Angeles FC,Major League Soccer,2026,,857,2,0,10,7,0.3595,,0.4238,0.038,0.045,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Canada,CAN,B,Stephen EUSTAQUIO,MF,LAFC (USA),Stephen Eustáquio,Los Angeles FC,Major League Soccer,2026,,672,1,1,6,2,0.1825,,0.0462,0.024,0.006,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Canada,CAN,B,Maxime CREPEAU,GK,Orlando City SC (USA),Maxime Crépeau,Orlando City SC,Major League Soccer,2026,,1361,0,0,0,0,0,,0,0.0,0.0,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Cape Verde,CPV,H,Steven STEVEN MOREIRA,DF,Columbus Crew (USA),Steven Moreira,Columbus Crew,Major League Soccer,2026,,1267,0,0,9,9,0.4315,,0.8628,0.031,0.061,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Cape Verde,CPV,H,Carlos CJ DOS SANTOS,GK,San Diego FC (USA),CJ dos Santos,San Diego FC,Major League Soccer,2025,,3198,0,0,0,0,0,,0,0.0,0.0,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2025,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2025; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
Colombia,COL,K,James RODRIGUEZ,MF,Minnesota United FC (USA),James Rodríguez,Minnesota United FC,Major League Soccer,2026,,220,0,2,9,14,0.3342,,2.6713,0.137,1.093,American Soccer Analysis (ASA) API,https://app.americansocceranalysis.com/api/v1/mls/players/xgoals?season_name=2026,2026-06-15,asa_exact,0.5,ASA official advanced stats. season=2026; match_ratio=1.0. xG/xA are open-play+set-play totals (penalties included); npxG not separated by ASA totals endpoint.
