national_team,team_code,group,roster_player,roster_position,roster_club,matched_player,club,league,season,matches_played,minutes,goals,assists,shots,key_passes,xg,npxg,xa,xg_per90,xa_per90,source,source_url,last_verified,match_confidence,recommended_weight,notes
Haiti,HAI,C,Duckens NAZON,FW,Esteghlal Tehran FC (IRN),Duckens Nazon,Esteghlal,Persian Gulf Pro League,2025/2026,10,476,1,1,,,,,,,,FootyStats,https://footystats.org/players/haiti/duckens-nazon,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Amirmohammad RAZAGHINIA,MF,Esteghlal Tehran FC (IRN),Amir Mohammad Razzaghinia,Esteghlal,Persian Gulf Pro League,2025/2026,20,1419,0,0,,,,,,,,FootyStats,https://footystats.org/players/iran/amir-mohammad-razzaghinia,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Roozbeh CHESHMI,MF,Esteghlal Tehran FC (IRN),Rouzbeh Cheshmi,Esteghlal,Persian Gulf Pro League,2025/2026,15,1073,1,0,,,,,,,,FootyStats,https://footystats.org/players/iran/rouzbeh-cheshmi,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Saleh HARDANI,DF,Esteghlal Tehran FC (IRN),Saleh Hardani,Esteghlal,Persian Gulf Pro League,2025/2026,18,1506,0,2,,,,,,,,FootyStats,https://footystats.org/players/iran/saleh-hardani,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Ali NEMATI,DF,Foolad Khuzestan FC (IRN),Ali Nemati,Foolad,Persian Gulf Pro League,2025/2026,19,1638,0,0,,,,,,,,FootyStats,https://footystats.org/players/iran/ali-nemati,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Ramin REZAEIAN,DF,Foolad Khuzestan FC (IRN),Ramin Rezaeian,Foolad,Persian Gulf Pro League,2025/2026,12,849,2,4,,,,,,,,FootyStats,https://footystats.org/players/iran/ramin-rezaeian,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Ali ALIPOUR,FW,Persepolis FC (IRN),Ali Alipour Ghara,Persepolis,Persian Gulf Pro League,2025/2026,21,1857,6,6,,,,,,,,FootyStats,https://footystats.org/players/iran/ali-alipour-ghara,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Hossein KANANI,DF,Persepolis FC (IRN),Mohammadhossein Kanani Zadegan,Persepolis,Persian Gulf Pro League,2025/2026,17,1392,1,0,,,,,,,,FootyStats,https://footystats.org/players/iran/mohammadhossein-kanani-zadegan,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Milad MOHAMMADI,DF,Persepolis FC (IRN),Milad Mohammadi,Persepolis,Persian Gulf Pro League,2025/2026,19,1371,0,3,,,,,,,,FootyStats,https://footystats.org/players/iran/milad-mohammadi,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Payam NIAZMAND,GK,Persepolis FC (IRN),Payam Niazmand,Persepolis,Persian Gulf Pro League,2025/2026,20,1800,0,0,,,,,,,,FootyStats,https://footystats.org/players/iran/payam-niazmand,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Arya YOUSEFI,DF,Sepahan SC (IRN),Aria Yousefi,Sepahan,Persian Gulf Pro League,2025/2026,19,1702,1,1,,,,,,,,FootyStats,https://footystats.org/players/iran/aria-yousefi,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Ehsan HAJISAFI,DF,Sepahan SC (IRN),Ehsan Hajsafi,Sepahan,Persian Gulf Pro League,2025/2026,21,1831,3,3,,,,,,,,FootyStats,https://footystats.org/players/iran/ehsan-hajsafi,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
Iran,IRN,G,Hossein HOSSEINI,GK,Sepahan SC (IRN),Seyed Hossein Hosseini,Sepahan,Persian Gulf Pro League,2025/2026,15,1350,0,0,,,,,,,,FootyStats,https://footystats.org/players/iran/seyed-hossein-hosseini,2026-06-15,footystats_basic,0.3,"no public xG for Iran league, basic stats only"
