club_country_code,target_league,missing_players,top_clubs,recommended_sources,automation_status,last_verified,notes
KSA,Saudi Pro League,43,Al Ahli FC (KSA) | Al Ittihad (KSA) | Abha Club (KSA) | Al Najmah SC (KSA) | Al Qadsiah FC (KSA) | Al Shabab FC (KSA) | Al Hilal SC (KSA) | Al Fayha FC (KSA),FootyStats (per-player),resolved_41_of_43,2026-06-15,"Filled via FootyStats 2025/26 per-player lookup -> player_form_non_big5_footystats_supplement.csv (xG/npxG/xA/shots/minutes). 41/43; not found: Fabinho (Al Ittihad), Mohammed Alowais (Al Ula, 2nd tier)."
USA,Major League Soccer,39,Inter Miami CF (USA) | Colorado Rapids (USA) | New York City FC (USA) | Chicago Fire FC (USA) | LAFC (USA) | Orlando City SC (USA) | Columbus Crew (USA) | San Diego FC (USA),American Soccer Analysis (ASA) API,resolved_38_of_39,2026-06-15,"Filled via ASA official xG API (mls+uslc), seasons 2025/2026 -> player_form_mls_usl_supplement_2026.csv. 38/39 matched with per-90 xG/xA; only Markhus Lacroix absent from ASA (no USL minutes captured)."
NED,Eredivisie,36,FC Twente (NED) | Feyenoord Rotterdam (NED) | SC Heracles Almelo (NED) | PSV Eindhoven (NED) | PEC Zwolle (NED) | AFC Ajax (NED) | FC Den Bosch (NED) | FC Volendam (NED),FootyStats (per-player),resolved_30_of_36,2026-06-15,"Filled via FootyStats 2025/26 per-player lookup -> player_form_non_big5_footystats_supplement.csv. 30/36; 6 not found are 2nd-tier (Eerste Divisie) clubs: Den Bosch, RKC, Telstar, VVV, Almere -> no Eredivisie data."
TUR,Super Lig,37,Gaziantep FK (TUR) | Başakşehir FK (TUR) | Iğdır FK (TUR) | Trabzonspor (TUR) | Galatasaray SK (TUR) | Kayserispor (TUR) | Konyaspor (TUR) | Alanyaspor (TUR),FootyStats (per-player),resolved_35_of_37,2026-06-16,"Filled via FootyStats 2025/26 per-player lookup -> player_form_non_big5_footystats_supplement.csv (xG/npxG/xA/shots/minutes). 35/37; not found: Ryan Mendes & Leandro Bacuna (both Iğdır FK, 1. Lig 2nd tier, no Süper Lig data)."
POR,Primeira Liga,27,SL Ben ca (POR) | Sporting CP (POR) | CF Estrela Da Amadora (POR) | GD Chaves (POR) | SC Farense (POR) | SCU Torreense (POR) | Vitória SC (POR) | SC Braga (POR),FootyStats (per-player),resolved_19_of_27,2026-06-15,"Filled via FootyStats 2025/26 per-player lookup -> player_form_non_big5_footystats_supplement.csv. 19/27; 8 not found (Vozinha, Yannick Semedo, Stopira, Sidny Cabral, Pierre, Fortune, Konan, Deniz Gul) - bench/fringe or no FootyStats player page."
QAT,Qatar Stars League,29,Al Duhail SC (QAT) | Al Wakrah SC (QAT) | Al Sailiya SC (QAT) | Qatar SC (QAT) | Al Arabi SC (QAT) | Al Gharafa SC (QAT) | Al Rayyan SC (QAT) | Al Sadd SC (QAT),FootyStats (per-player),resolved_28_of_29,2026-06-15,"Filled via FootyStats 2025/26 per-player lookup -> player_form_non_big5_footystats_supplement.csv (FootyStats DOES expose Stars League player xG). 28/29; only Lucas Mendes (Al Wakrah) not found."
IRN,Persian Gulf Pro League,23,Esteghlal Tehran FC (IRN) | Foolad Khuzestan FC (IRN) | Malavan Anzali FC (IRN) | Persepolis FC (IRN) | Sepahan SC (IRN) | Tractor Sazi Tabriz FC (IRN),FootyStats (per-player, basic),resolved_basic_21_of_23,2026-06-15,"Filled BASIC stats (matches/minutes/goals/assists) via FootyStats 2025/26 -> player_form_non_big5_footystats_supplement.csv; no public xG exists for Iran league (xg/npxg/xa left blank, weight 0.3). 21/23; not found: Danial Iri, Masharipov."
MEX,Liga MX,27,Guadalajara | Cruz Azul | Tijuana | Atlas | Leon | Pumas UNAM | Monterrey,FootyStats (per-player),resolved_27_of_27,2026-06-16,"Second-wave missing-fill via FootyStats Liga MX 2025/26 -> player_form_non_big5_footystats_supplement.csv (full xG). 27/27 matched."
BEL,Belgian Pro League,26,Anderlecht | Club Brugge | Genk | Gent | Standard Liege | Union SG,FootyStats (per-player),resolved_25_of_26,2026-06-16,"Second-wave missing-fill via FootyStats 2025/26 (full xG). 25/26; not found: Jearl Margaritha (Beveren, 1B 2nd tier)."
BRA,Brazil Serie A,28,Flamengo | Palmeiras | Gremio | Atletico Mineiro | Vasco | Bragantino,FootyStats (per-player),resolved_25_of_28,2026-06-16,"Second-wave missing-fill via FootyStats Brazil Serie A 2026 (full xG). 25/28; not found: Andres Gomez, Angelo Preciado, Isidro Pitta (wrong-person/no Serie A page)."
