club_country_code,target_league,team,team_code,group,player,position,club,current_source_status,recommended_sources,notes
IRN,Persian Gulf Pro League,Haiti,HAI,C,Duckens NAZON,FW,Esteghlal Tehran FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Amirmohammad RAZAGHINIA,MF,Esteghlal Tehran FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Roozbeh CHESHMI,MF,Esteghlal Tehran FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Saleh HARDANI,DF,Esteghlal Tehran FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Ali NEMATI,DF,Foolad Khuzestan FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Ramin REZAEIAN,DF,Foolad Khuzestan FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Danial IRI,DF,Malavan Anzali FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Ali ALIPOUR,FW,Persepolis FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Hossein KANANI,DF,Persepolis FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Milad MOHAMMADI,DF,Persepolis FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Payam NIAZMAND,GK,Persepolis FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Arya YOUSEFI,DF,Sepahan SC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Ehsan HAJISAFI,DF,Sepahan SC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Hossein HOSSEINI,GK,Sepahan SC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Alireza BEIRANVAND,GK,Tractor Sazi Tabriz FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Amirhossein HOSSEINZADEH,FW,Tractor Sazi Tabriz FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Mehdi TORABI,MF,Tractor Sazi Tabriz FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Iran,IRN,G,Shoja KHALILZADEH,DF,Tractor Sazi Tabriz FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Uzbekistan,UZB,K,Jaloliddin MASHARIPOV,MF,Esteghlal Tehran FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Uzbekistan,UZB,K,Rustam ASHURMATOV,DF,Esteghlal Tehran FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Uzbekistan,UZB,K,Igor SERGEEV,FW,Persepolis FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Uzbekistan,UZB,K,Oston URUNOV,MF,Persepolis FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
IRN,Persian Gulf Pro League,Uzbekistan,UZB,K,Odiljon XAMROBEKOV,MF,Tractor Sazi Tabriz FC (IRN),basic_only,IPLstats / 365Scores / GioScore / Transfermarkt,"Reliable public xG was not found; goals, assists, and minutes are the practical fallback."
KSA,Saudi Pro League,Brazil,BRA,C,Roger ROGER IBANEZ,DF,Al Ahli FC (KSA),partial,FotMob / PlayerStats.football / Transfermarkt,"FotMob pages expose player xG snippets, but batch API and SofaScore tooling failed in this environment."
KSA,Saudi Pro League,Brazil,BRA,C,Fabio FABINHO,MF,Al Ittihad (KSA),partial,FotMob / PlayerStats.football / Transfermarkt,"FotMob pages expose player xG snippets, but batch API and SofaScore tooling failed in this environment."
KSA,Saudi Pro League,Curacao,CUW,E,Jurien GAARI,DF,Abha Club (KSA),partial,FotMob / PlayerStats.football / Transfermarkt,"FotMob pages expose player xG snippets, but batch API and SofaScore tooling failed in this environment."
KSA,Saudi Pro League,Egypt,EGY,G,Nabil NABIL DONGA,MF,Al Najmah SC (KSA),partial,FotMob / PlayerStats.football / Transfermarkt,"FotMob pages expose player xG snippets, but batch API and SofaScore tooling failed in this environment."
KSA,Saudi Pro League,England,ENG,L,Ivan TONEY,FW,Al Ahli FC (KSA),partial,FotMob / PlayerStats.football / Transfermarkt,"FotMob pages expose player xG snippets, but batch API and SofaScore tooling failed in this environment."
KSA,Saudi Pro League,Ghana,GHA,L,Christopher BAAH,FW,Al Qadsiah FC (KSA),partial,FotMob / PlayerStats.football / Transfermarkt,"FotMob pages expose player xG snippets, but batch API and SofaScore tooling failed in this environment."
KSA,Saudi Pro League,Ivory Coast,CIV,E,Franck KESSIE,MF,Al Ahli FC (KSA),partial,FotMob / PlayerStats.football / Transfermarkt,"FotMob pages expose player xG snippets, but batch API and SofaScore tooling failed in this environment."
KSA,Saudi Pro League,Jordan,JOR,J,Ali ALI AZAIZEH,FW,Al Shabab FC (KSA),partial,FotMob / PlayerStats.football / Transfermarkt,"FotMob pages expose player xG snippets, but batch API and SofaScore tooling failed in this environment."
KSA,Saudi Pro League,Mexico,MEX,A,Julian QUINONES,FW,Al Qadsiah FC (KSA),partial,FotMob / PlayerStats.football / Transfermarkt,"FotMob pages expose player xG snippets, but batch API and SofaScore tooling failed in this environment."
KSA,Saudi Pro League,Morocco,MAR,C,Yassine BOUNOU,GK,Al Hilal SC (KSA),partial,FotMob / PlayerStats.football / Transfermarkt,"FotMob pages expose player xG snippets, but batch API and SofaScore tooling failed in this environment."
KSA,Saudi Pro League,Panama,PAN,L,Orlando MOSQUERA,GK,Al Fayha FC (KSA),partial,FotMob / PlayerStats.football / Transfermarkt,"FotMob pages expose player xG snippets, but batch API and SofaScore tooling failed in this environment."
