club_country_code,missing_players,top_clubs,recommended_sources,automation_status,notes
KSA,42,Al Hilal SC (KSA) | Al Nassr FC (KSA) | Al Ahli FC (KSA) | Al Qadsiah FC (KSA) | Al Ittihad (KSA),FotMob; PlayerStats.football Saudi Pro League xG; Transfermarkt stats,partial_public_pages_available,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
ENG,36,Norwich City FC (ENG) | Watford FC (ENG) | Leicester City FC (ENG) | Hull City FC (ENG) | Southampton FC (ENG),FBref/FotMob Championship + lower leagues; Transfermarkt stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
USA,35,LAFC (USA) | Inter Miami CF (USA) | New York City FC (USA) | Chicago Fire FC (USA) | FC Dallas (USA),FotMob MLS; Transfermarkt stats; SofaScore match/player stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
NED,34,PSV Eindhoven (NED) | Feyenoord Rotterdam (NED) | AFC Ajax (NED) | PEC Zwolle (NED) | RKC Waalwijk (NED),FotMob; PlayerStats.football Eredivisie xG; FBref candidate if accessible,partial_public_pages_available,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
TUR,32,Galatasaray SK (TUR) | Fenerbahçe SK (TUR) | Başakşehir FK (TUR) | Kasımpaşa SK (TUR) | Trabzonspor (TUR),FotMob; FBref Super Lig candidate; Transfermarkt stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
QAT,26,Al Duhail SC (QAT) | Al Sadd SC (QAT) | Al Rayyan SC (QAT) | Al Wakrah SC (QAT) | Al Arabi SC (QAT),FotMob/SofaScore player pages; Transfermarkt stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
IRN,23,Esteghlal Tehran FC (IRN) | Persepolis FC (IRN) | Tractor Sazi Tabriz FC (IRN) | Sepahan SC (IRN) | Foolad Khuzestan FC (IRN),Transfermarkt; SofaScore; federation/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
CZE,22,SK Slavia Praha (CZE) | FC Viktoria Plzeň (CZE) | AC Sparta Praha (CZE) | FC Slovan Liberec (CZE) | FC Hradec Králové (CZE),FotMob/Transfermarkt club stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
BEL,21,Club Brugge (BEL) | Sporting Charleroi (BEL) | FCV Dender EH (BEL) | KRC Genk (BEL) | Standard Liège (BEL),FotMob; FBref Belgian Pro League candidate; Transfermarkt stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
EGY,20,Al Ahly FC (EGY) | Pyramids FC (EGY) | Zamalek SC (EGY) | ZED FC (EGY) | El Gouna FC (EGY),FotMob/SofaScore; Transfermarkt stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
POR,19,SL Ben ca (POR) | SC Braga (POR) | Sporting CP (POR) | FC Vizela (POR) | GD Chaves (POR),FotMob; FBref Primeira Liga candidate; Transfermarkt stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
BRA,19,CR Flamengo (BRA) | Atlético Mineiro (BRA) | Grêmio FBPA (BRA) | SE Palmeiras (BRA) | Athletico Paranaense (BRA),FotMob Brazil Serie A; Transfermarkt stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
MEX,18,CD Guadalajara (MEX) | CF Cruz Azul (MEX) | Pumas UNAM (MEX) | Club Tijuana (MEX) | Deportivo Toluca FC (MEX),FotMob Liga MX; Transfermarkt stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
SCO,17,Celtic FC (SCO) | Rangers FC (SCO) | Heart Of Midlothian FC (SCO) | Kilmarnock FC (SCO) | Motherwell FC (SCO),FotMob/FBref Scottish Premiership candidate,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
RSA,17,Orlando Pirates FC (RSA) | Mamelodi Sundowns FC (RSA) | Polokwane City FC (RSA) | Siwelele FC (RSA) | Kaizer Chiefs FC (RSA),SofaScore/FotMob; Transfermarkt stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
UZB,16,Pakhtakor Tashkent FK (UZB) | FK Neftchi Farg'ona (UZB) | Nasaf Qarshi FC (UZB) | FK Dinamo Samarkand (UZB) | PFC Navbahor Namangan (UZB),Transfermarkt; SofaScore; club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
UAE,15,Al Ain FC (UAE) | Al Bataeh Club (UAE) | Al Ittihad Kalba SCC (UAE) | Dibba FC (UAE) | Al Jazira (UAE),FotMob/SofaScore; Transfermarkt stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
IRQ,14,Al Shorta SC (IRQ) | Al Talaba SC (IRQ) | Al Zawra'a SC (IRQ) | Al Karma SC (IRQ) | Al-Quwa Al-Jawiya (IRQ),Transfermarkt; SofaScore; club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
ARG,13,CA River Plate (ARG) | CA Rosario Central (ARG) | CA Vélez Sars eld (ARG) | CA Huracán (ARG) | CA San Lorenzo (ARG),FotMob Argentina; Transfermarkt stats,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
SUI,11,BSC Young Boys (SUI) | FC Lugano (SUI) | FC Stade Nyonnais (SUI) | FC Zürich (SUI) | FC St. Gallen (SUI),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
JOR,11,Al Hussein SC (JOR) | Al Faisaly SC (JOR) | Al Wahdat SC (JOR),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
DEN,10,Brøndby IF (DEN) | FC København (DEN) | FC Nordsjælland (DEN) | Randers FC (DEN) | FC Midtjylland (DEN),FotMob/SofaScore player pages; Transfermarkt stats; official league/club pages,candidate,Use source_weight lower than Understat Big 5 unless xG/xA and minutes are verified.
