team,team_code,group,squad_quality,squad_depth_ratio,attack_power,midfield_control,defensive_solidity,set_piece_strength,transition_quality,pressing_capability,experience_score,bench_impact,tactical_fit,form_index,key_attacker,key_attacker_share,counter_quality,coach,pressing_intensity,in_game_adaptability,depth_collapse_mult,confidence
France,FRA,I,69.3,0.858,76.7,41.4,71.3,78.8,87.7,55.0,92.4,0.541,78.3,1.979,Kylian MBAPPE,0.277,1.202,Didier DESCHAMPS,0.55,0.8,1.125,stats_full
Belgium,BEL,G,65.7,0.793,58.7,39.4,70.4,88.0,77.7,52.0,91.0,0.213,85.5,1.81,Romelu LUKAKU,0.426,1.049,Rudi GARCIA,0.52,0.75,1.104,stats_full
Germany,GER,E,65.3,0.829,70.2,52.8,72.6,84.6,82.4,82.0,92.4,0.397,97.9,2.685,Deniz UNDAV,0.262,1.147,Julian NAGELSMANN,0.82,0.82,1.115,stats_full
England,ENG,L,64.8,0.816,63.8,39.9,70.9,80.0,79.5,78.0,91.2,0.328,95.2,2.894,Harry KANE,0.392,1.092,Thomas TUCHEL,0.78,0.85,1.111,stats_full
Netherlands,NED,F,64.6,0.764,49.9,41.6,71.7,84.6,74.1,58.0,91.9,0.069,82.9,1.316,Donyell MALEN,0.378,0.974,Ronald KOEMAN,0.58,0.72,1.094,stats_full
Czechia,CZE,A,64.5,0.769,67.6,35.4,70.4,86.8,79.6,48.0,86.5,0.097,77.9,1.016,Patrik SCHICK,0.282,1.124,Miroslav KOUBEK,0.48,0.55,1.096,stats_partial
Spain,ESP,H,63.8,0.809,62.4,41.5,67.9,74.9,80.6,68.0,92.6,0.297,88.9,2.315,Lamine YAMAL,0.321,1.08,Luis DE LA FUENTE CASTILLO,0.68,0.8,1.109,stats_full
Portugal,POR,K,62.9,0.814,55.6,42.4,67.6,69.7,77.2,62.0,90.8,0.319,85.2,1.311,Bruno BRUNO FERNANDES,0.292,1.022,Roberto MARTÍNEZ MONTOLIU,0.62,0.78,1.11,stats_full
Sweden,SWE,F,62.5,0.898,46.1,41.7,71.7,82.8,68.2,55.0,88.8,0.738,84.0,0.809,Viktor GYOKERES,0.268,0.942,Graham POTTER,0.55,0.68,1.137,stats_full
Norway,NOR,I,62.2,0.797,48.0,40.0,70.2,87.4,73.5,65.0,86.2,0.235,80.8,1.934,Erling HAALAND,0.405,0.958,Stale SOLBAKKEN,0.65,0.55,1.105,stats_full
Brazil,BRA,C,61.9,0.809,62.5,39.7,68.9,72.0,81.3,55.0,94.8,0.293,80.6,1.174,Raphael RAPHINHA,0.323,1.082,Carlo ANCELOTTI,0.55,0.88,1.109,stats_full
USA,USA,D,61.9,0.875,55.0,39.9,69.1,78.3,76.8,80.0,83.7,0.626,89.9,0.984,Christian PULISIC,0.278,1.017,Mauricio POCHETTINO TROSSERO,0.8,0.78,1.13,stats_full
Austria,AUT,J,61.6,0.784,60.4,43.1,70.9,88.6,70.1,92.0,95.4,0.169,85.3,1.21,Marko ARNAUTOVIC,0.376,1.064,Ralf RANGNICK,0.92,0.78,1.101,stats_full
Senegal,SEN,I,61.5,0.776,53.2,35.8,71.1,81.1,74.2,58.0,89.3,0.13,87.5,0.986,Nicolas JACKSON,0.339,1.002,Pape THIAW,0.58,0.55,1.098,stats_full
Ivory Coast,CIV,E,61.4,0.75,44.3,35.0,70.4,79.4,68.6,62.0,83.5,0.001,84.9,1.504,Yan DIOMANDE,0.275,0.927,Emerse FAE,0.62,0.65,1.09,stats_full
Bosnia and Herzegovina,BIH,B,61.1,0.79,50.5,36.0,74.3,86.3,68.6,42.0,83.6,0.201,84.4,0.967,Haris TABAKOVIC,0.224,0.979,Sergej BARBAREZ,0.42,0.48,1.103,stats_partial
Croatia,CRO,L,61.1,0.822,49.1,40.8,72.8,80.0,68.5,48.0,92.5,0.362,85.3,1.444,Andrej KRAMARIC,0.268,0.967,Zlatko DALIĆ,0.48,0.88,1.113,stats_full
Japan,JPN,F,60.3,0.859,51.1,43.4,67.3,68.6,72.4,68.0,88.4,0.543,90.9,0.953,Ayase UEDA,0.26,0.984,Hajime MORIYASU,0.68,0.75,1.125,stats_partial
Switzerland,SUI,B,60.3,0.766,38.6,34.7,70.0,76.6,65.4,52.0,96.4,0.08,85.1,1.63,Christian FASSNACHT,0.277,0.878,Murat YAKIN,0.52,0.68,1.095,stats_full
Turkey,TUR,D,60.3,0.835,42.6,39.3,67.5,81.1,70.4,62.0,87.8,0.424,79.6,1.077,Kenan YILDIZ,0.267,0.912,Vincenzo MONTELLA,0.62,0.62,1.117,stats_partial
Argentina,ARG,J,59.7,0.777,52.0,42.1,65.9,74.3,75.0,62.0,95.5,0.137,84.5,1.076,Lautaro MARTINEZ,0.345,0.992,Lionel SCALONI,0.62,0.92,1.099,stats_full
Morocco,MAR,C,59.1,0.828,46.1,44.3,70.2,77.1,67.9,72.0,84.8,0.388,90.0,1.489,Ismael SAIBARI,0.326,0.942,Mohamed OUAHBI,0.72,0.68,1.115,stats_full
Colombia,COL,K,58.9,0.806,62.8,45.3,69.1,74.9,81.0,58.0,93.5,0.278,85.9,1.068,Luis DIAZ,0.273,1.084,Nestor LORENZO,0.58,0.72,1.108,stats_partial
Ghana,GHA,L,58.7,0.814,47.5,35.8,70.6,72.0,70.1,45.0,87.3,0.319,87.2,1.07,Inaki WILLIAMS,0.209,0.954,Carlos BRITO LEAL DE QUEIROZ,0.45,0.78,1.11,stats_full
Scotland,SCO,C,58.6,0.809,36.7,37.9,69.8,80.0,61.8,55.0,92.8,0.296,89.0,0.681,Lawrence SHANKLAND,0.24,0.862,Steve CLARKE,0.55,0.62,1.109,stats_partial
Australia,AUS,D,58.2,0.773,37.2,32.4,71.7,84.6,62.1,45.0,83.8,0.114,86.0,0.669,Ajdin HRUSTIC,0.166,0.866,Tony POPOVIC,0.45,0.58,1.097,stats_partial
Algeria,ALG,J,58.0,0.882,46.7,38.6,67.0,70.3,70.8,55.0,82.4,0.661,90.4,0.63,Amine GOUIRI,0.308,0.947,Vladimir PETKOVIĆ,0.55,0.72,1.132,stats_partial
