confederation,competition,season,rank_by_xg,team,matches_played,xg_per_match,xga_per_match,xgd_per_match,goals_for_per_match,goals_against_per_match,xg_vs_actual_per_match,source,source_url,data_status,last_verified,notes
UEFA,WC Qualification Europe,2026,1,Portugal,6,2.84,0.89,1.95,3.33,1.17,0.49,FootyStats,https://footystats.org/international/wc-qualification-europe/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Do not mix with other providers without source adjustment.
UEFA,WC Qualification Europe,2026,2,Spain,6,2.74,0.71,2.03,3.5,0.33,0.76,FootyStats,https://footystats.org/international/wc-qualification-europe/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Do not mix with other providers without source adjustment.
UEFA,WC Qualification Europe,2026,3,Belgium,8,2.57,0.7,1.87,3.63,0.88,1.06,FootyStats,https://footystats.org/international/wc-qualification-europe/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Do not mix with other providers without source adjustment.
UEFA,WC Qualification Europe,2026,4,Croatia,8,2.56,0.78,1.78,3.25,0.5,0.69,FootyStats,https://footystats.org/international/wc-qualification-europe/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Do not mix with other providers without source adjustment.
UEFA,WC Qualification Europe,2026,5,France,6,2.54,0.48,2.06,2.67,0.67,0.13,FootyStats,https://footystats.org/international/wc-qualification-europe/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Do not mix with other providers without source adjustment.
UEFA,WC Qualification Europe,2026,6,England,8,2.38,0.43,1.95,2.75,0.0,0.37,FootyStats,https://footystats.org/international/wc-qualification-europe/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Do not mix with other providers without source adjustment.
UEFA,WC Qualification Europe,2026,7,Denmark,8,2.32,0.92,1.4,2.75,1.13,0.43,FootyStats,https://footystats.org/international/wc-qualification-europe/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Do not mix with other providers without source adjustment.
UEFA,WC Qualification Europe,2026,8,Norway,8,2.21,0.87,1.34,4.63,0.63,2.42,FootyStats,https://footystats.org/international/wc-qualification-europe/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Do not mix with other providers without source adjustment.
UEFA,WC Qualification Europe,2026,9,Italy,10,2.18,1.22,0.96,2.4,1.3,0.22,FootyStats,https://footystats.org/international/wc-qualification-europe/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Do not mix with other providers without source adjustment.
UEFA,WC Qualification Europe,2026,10,Netherlands,8,2.07,0.75,1.32,3.38,0.5,1.31,FootyStats,https://footystats.org/international/wc-qualification-europe/xg,public_table_parsed,2026-06-15,FootyStats xG model; values are per match. Do not mix with other providers without source adjustment.
