team,default_formation,formation_flex,nailed_starters,rotation_risk_players,protected_players,r1_minutes_load,congestion_note,confidence,source,last_verified
Algeria,4-2-3-1,,Luca Zidane|Rafik Belghali|Aïssa Mandi|Ramy Bensebaini|Rayan Aït-Nouri|Farès Chaïbi,Hicham Boudaoui|Anis Hadj Moussa|Amine Gouiri,,895,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Argentina,4-4-2,,Emiliano Martínez|Lisandro Martínez|Facundo Medina|Rodrigo De Paul|Alexis Mac Allister|Enzo Fernández,Gonzalo Montiel|Thiago Almada|Lautaro Martínez,,855,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Australia,5-4-1,,Patrick Beach|Alessandro Circati|Harry Souttar|Cameron Burgess|Connor Metcalfe|Aiden O'Neill,Nestory Irankunda,,917,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Austria,4-2-3-1,,Alexander Schlager|Stefan Posch|Philipp Lienhart|Nicolas Seiwald|Konrad Laimer|Marcel Sabitzer,David Alaba|Phillipp Mwene|Xaver Schlager|Sasa Kalajdzic,Marcel Sabitzer,845,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Belgium,4-2-3-1,,Thibaut Courtois|Thomas Meunier|Nathan Ngoy|Brandon Mechele|Youri Tielemans|Leandro Trossard,Timothy Castagne|Amadou Onana|Charles De Ketelaere,Timothy Castagne|Maxim De Cuyper,890,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Bosnia and Herzegovina,4-4-2,,Nikola Vasilj|Amar Dedic|Nikola Katic|Tarik Muharemovic|Benjamin Tahirovic|Ermedin Demirovic,Ivan Basic|Jovo Lukic,Nikola Katic|Ermedin Demirovic|Jovo Lukic,896,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Brazil,4-4-2,,Alisson Becker|Marquinhos|Gabriel|Douglas Santos|Raphinha|Vinícius Júnior,Roger Ibañez|Lucas Paquetá|Casemiro|Igor Thiago,Roger Ibañez|Casemiro,833,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Canada,4-4-2,,Maxime Crépeau|Alistair Johnston|Luc De Fougerolles|Derek Cornelius|Richie Laryea|Ismaël Koné,Tajon Buchanan|Liam Millar|Jonathan David,Alistair Johnston|Luc De Fougerolles,888,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Cape Verde,4-1-4-1,,Vozinha|Steven Moreira|Roberto Lopes|Diney Borges|Kevin Pina|Ryan Mendes,Laros Duarte|Jovane Cabral|Dailon Livramento,Sidny Lopes Cabral,878,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Colombia,4-3-3,,Camilo Vargas|Daniel Muñoz|Davinson Sánchez|Jhon Lucumí|Johan Mojica|Jefferson Lerma,,Johan Mojica,950,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Croatia,3-4-2-1,,Dominik Livakovic|Josip Sutalo|Josko Gvardiol|Josip Stanisic|Ivan Perisic|Petar Sucic,Luka Vuskovic|Luka Modric|Petar Musa,,886,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Curacao,4-3-1-2,,Eloy Room|Sherel Floranus|Riechedly Bazoer|Armando Obispo|Deveron Fonville|Livano Comenencia|Leandro Bacuna|Juninho Bacuna,Jürgen Locadia|Sontje Hansen,,913,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Czechia,3-4-2-1,,Matej Kovár|Stepán Chaloupek|Robin Hranác|Ladislav Krejcí|Vladimír Coufal|Tomás Soucek|Jaroslav Zeleny,Lukás Provod|Pavel Sulc|Patrik Schick,,906,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
DR Congo,5-3-2,,Lionel Mpasi-Nzau|Chancel Mbemba|Axel Tuanzebe|Steve Kapuadi|Samuel Moutoussamy|Yoane Wissa,Ngal Ayel Mukau,Chancel Mbemba,915,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
Ecuador,3-4-3,,Hernán Galindez|Joel Ordóñez|Willian Pacho|Moisés Caicedo|Pedro Vite|Piero Hincapié|Gonzalo Plata,Alan Franco|John Yeboah|Alan Minda,Jackson Porozo,887,R1 prior only; override with official lineup before R2,r1_prior,FotMob/Opta,2026-06-18
