match_date,group,team,opponent,formation,player,shirt_no,position,is_starter,minutes,sub_in,sub_out,sub_reason,source,source_url,last_verified
2026-06-11,A,Mexico,South Africa,4-1-4-1,Raúl Rangel,1,GK,yes,90,,,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Israel Reyes,15,RB,yes,90,,,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,César Montes,3,CB,yes,90,,,red_card,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Johan Vásquez,5,CB,yes,90,,,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Jesús Gallardo,23,LB,yes,90,,,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Érik Lira,6,CDM,yes,76,,76,tactical,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Roberto Alvarado,25,RM,yes,90,,,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Brian Gutiérrez,26,CM,yes,66,,66,tactical,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Álvaro Fidalgo,8,CAM,yes,66,,66,tactical,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Julián Quiñones,16,LM,yes,79,,79,tactical,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Raul Jiménez,9,FWD,yes,76,,76,tactical,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Gilberto Mora,19,MID,no,24,66,,tactical,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Luis Chávez,24,MID,no,24,66,,tactical,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Edson Álvarez,4,MID,no,14,76,,tactical,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Armando González,14,FWD,no,14,76,,tactical,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,Mexico,South Africa,4-1-4-1,Alexis Vega,10,FWD,no,11,79,,tactical,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
2026-06-11,A,South Africa,Mexico,5-3-2,Ronwen Williams,1,GK,yes,90,,,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,2026-06-18
