team,match,goals_for,xg,goals_against,xga,attack_luck,defense_luck,net_luck,luck_label,note
Sweden,Sweden vs Tunisia,5,1.33,1,0.28,3.67,-0.72,2.95,lucky,possession 49-51; big chances 4-0
Qatar,Qatar vs Switzerland,1,0.6,1,3.2,0.4,2.2,2.6,lucky,possession 32-68; big chances 1-6
Germany,Germany vs Curacao,7,4.22,1,0.41,2.78,-0.59,2.19,lucky,possession 65-35; big chances 6-0
Australia,Australia vs Turkey,2,1.18,0,1.36,0.82,1.36,2.18,lucky,possession 28-72; big chances 1-2
USA,USA vs Paraguay,4,1.42,1,0.54,2.58,-0.46,2.12,lucky,possession 65-35; big chances 4-1
Argentina,Argentina vs Algeria,3,1.26,0,0.32,1.74,0.32,2.06,lucky,possession 48-52; big chances 1-0
Cape Verde,Spain vs Cape Verde,0,0.2,0,2.1,-0.2,2.1,1.9,lucky,possession 74-26; big chances 2-1
Colombia,Colombia vs Uzbekistan,3,1.62,1,1.16,1.38,0.16,1.54,lucky,possession 62-38; big chances 4-1
Norway,Iraq vs Norway,4,2.52,1,0.8,1.48,-0.2,1.28,lucky,possession 39-61; big chances 1-5
Saudi Arabia,Saudi Arabia vs Uruguay,1,0.66,1,1.72,0.34,0.72,1.06,lucky,possession 33-67; big chances 1-2
Scotland,Haiti vs Scotland,1,1.05,0,1.05,-0.05,1.05,1.0,lucky,possession 54-46; big chances 1-2
Austria,Austria vs Jordan,3,1.69,1,0.46,1.31,-0.54,0.77,lucky,possession 63-37; big chances 4-0
France,France vs Senegal,3,1.79,1,0.53,1.21,-0.47,0.74,neutral,possession 53-47; big chances 4-2
Mexico,Mexico vs South Africa,2,1.46,0,0.07,0.54,0.07,0.61,neutral,possession 60-40; big chances 2-0
Croatia,England vs Croatia,2,0.7,4,3.2,1.3,-0.8,0.5,neutral,possession 52-48; big chances 7-2
Ivory Coast,Ivory Coast vs Ecuador,1,1.52,0,1.01,-0.52,1.01,0.49,neutral,possession 48-52; big chances 2-1
Czechia,South Korea vs Czechia,1,0.83,2,2.3,0.17,0.3,0.47,neutral,possession 62-38; big chances 4-1
Ghana,Ghana vs Panama,1,1.31,0,0.75,-0.31,0.75,0.44,neutral,possession 38-62; big chances 1-2
Bosnia and Herzegovina,Canada vs Bosnia and Herzegovina,1,0.96,1,1.23,0.04,0.23,0.27,neutral,possession 61-39; big chances 2-2
Egypt,Belgium vs Egypt,1,1.08,1,1.35,-0.08,0.35,0.27,neutral,possession 54-46; big chances 2-2
New Zealand,Iran vs New Zealand,2,1.24,2,1.5,0.76,-0.5,0.26,neutral,kickoff 2026-06-16 01:00 UTC (09:00 UTC+8); possession 48-52; big chances 2-2
Portugal,Portugal vs DR Congo,1,0.65,1,0.87,0.35,-0.13,0.22,neutral,possession 75-25; big chances 0-1
