match_date,group,team,opponent,player,position,minutes,goals,assists,shots,xg,xa,key_passes,rating,big_chances,source,source_url,quality_flag
2026-06-11,A,Mexico,South Africa,Raúl RANGEL,GK,90,0,0,,,,,7.5,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
2026-06-11,A,Mexico,South Africa,Israel REYES,DF,90,0,0,1,0.01,0.03,2,7.4,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
2026-06-11,A,Mexico,South Africa,César MONTES,DF,90,0,0,,,0.01,0,6.1,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
2026-06-11,A,Mexico,South Africa,Johan VÁSQUEZ,DF,90,0,0,,,,0,7.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
2026-06-11,A,Mexico,South Africa,Jesús GALLARDO,DF,90,0,0,2,0.04,0.05,0,7.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
2026-06-11,A,Mexico,South Africa,Érik LIRA,DF,76,0,1,,,,1,7.9,1,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
2026-06-11,A,Mexico,South Africa,Roberto ALVARADO,MF,90,0,1,,,0.71,2,8.2,1,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
2026-06-11,A,Mexico,South Africa,Brian GUTIÉRREZ,MF,66,0,0,4,0.19,0.17,3,6.7,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
2026-06-11,A,Mexico,South Africa,Álvaro FIDALGO,MF,66,0,0,,,0.01,1,7.2,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
2026-06-11,A,Mexico,South Africa,Julián QUIÑONES,FW,79,1,0,5,0.37,0.08,2,8.8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
2026-06-11,A,Mexico,South Africa,Raul JIMÉNEZ,FW,76,1,0,4,0.84,0.01,2,8,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
2026-06-11,A,Mexico,South Africa,Gilberto MORA,MF,24,0,0,,,0.09,0,6.3,,FotMob/Opta,https://www.fotmob.com/en-GB/matches/south-africa-vs-mexico/1einvt,ok
