team,r1_opponent,raw_wc_xg,raw_wc_xga,opp_recent_xga,opp_recent_xg,deff_opp_clamped,att_opp_clamped,adj_wc_xg,adj_wc_xga,note
Algeria,Argentina,0.32,1.26,0.712,1.304,0.7325,0.8134,0.437,1.549,
Argentina,Algeria,1.26,0.32,0.949,1.337,0.9764,0.834,1.29,0.384,
Australia,Turkey,1.18,1.36,1.32,1.66,1.3581,1.0355,0.869,1.313,
Austria,Jordan,1.69,0.46,1.24,1.283,1.2757,0.8003,1.325,0.575,
Belgium,Egypt,1.35,1.08,0.941,1.451,0.9681,0.9051,1.394,1.193,
Bosnia and Herzegovina,Canada,0.96,1.23,1.036,1.184,1.0659,0.7386,0.901,1.665,
Brazil,Morocco,1.26,1.37,0.609,1.791,0.7,1.1172,1.8,1.226,
Canada,Bosnia and Herzegovina,1.23,0.96,1.19,1.72,1.2243,1.0729,1.005,0.895,
Cape Verde,Spain,0.2,2.1,0.67,2.523,0.7,1.4,0.286,1.5,
Colombia,Uzbekistan,1.62,1.16,1.064,1.686,1.0947,1.0517,1.48,1.103,
Croatia,England,0.7,3.2,0.468,2.271,0.7,1.4,1.0,2.286,
Curacao,Germany,0.41,4.22,0.754,2.159,0.7757,1.3467,0.529,3.134,
Czechia,South Korea,0.83,2.3,0.793,1.766,0.8159,1.1016,1.017,2.088,
DR Congo,Portugal,0.87,0.65,0.906,2.435,0.9321,1.4,0.933,0.464,
Ecuador,Ivory Coast,1.01,1.52,0.653,1.756,0.7,1.0954,1.443,1.388,
Egypt,Belgium,1.08,1.35,0.715,2.51,0.7356,1.4,1.468,0.964,
England,Croatia,3.2,0.7,0.89,2.29,0.9157,1.4,3.495,0.5,
France,Senegal,1.79,0.53,0.965,1.694,0.9928,1.0567,1.803,0.502,
Germany,Curacao,4.22,0.41,1.195,1.515,1.2295,0.945,3.432,0.434,
Ghana,Panama,1.31,0.75,1.031,1.756,1.0607,1.0954,1.235,0.685,
Haiti,Scotland,1.05,1.05,1.563,1.406,1.4,0.877,0.75,1.197,
Iran,New Zealand,1.5,1.24,1.12,1.13,1.1523,0.7049,1.302,1.759,
Iraq,Norway,0.8,2.52,0.87,2.21,0.8951,1.3786,0.894,1.828,
Ivory Coast,Ecuador,1.52,1.01,0.967,1.072,0.9949,0.7,1.528,1.443,
Japan,Netherlands,0.59,0.78,0.835,1.875,0.8591,1.1696,0.687,0.667,
Jordan,Austria,0.46,1.69,0.907,1.582,0.9331,0.9868,0.493,1.713,
Mexico,South Africa,1.46,0.07,0.79,1.44,0.8128,0.8982,1.796,0.078,
Morocco,Brazil,1.37,1.26,0.932,1.255,0.9589,0.7828,1.429,1.61,
Netherlands,Japan,0.78,0.59,0.646,1.556,0.7,0.9706,1.114,0.608,
New Zealand,Iran,1.24,1.5,1.061,1.727,1.0916,1.0773,1.136,1.392,
Norway,Iraq,2.52,0.8,1.19,1.113,1.2243,0.7,2.058,1.143,
Panama,Ghana,0.75,1.31,0.93,1.48,0.9568,0.9232,0.784,1.419,
Paraguay,USA,0.54,1.42,1.05,1.403,1.0803,0.8752,0.5,1.622,
Portugal,DR Congo,0.65,0.87,1.002,1.217,1.0309,0.7591,0.631,1.146,
Qatar,Switzerland,0.6,3.2,0.897,1.529,0.9229,0.9538,0.65,3.355,
Saudi Arabia,Uruguay,0.66,1.72,1.098,1.152,1.1297,0.7186,0.584,2.394,
Scotland,Haiti,1.05,1.05,1.382,1.636,1.4,1.0205,0.75,1.029,
Senegal,France,0.53,1.79,0.634,2.363,0.7,1.4,0.757,1.279,
South Africa,Mexico,0.07,1.46,0.787,1.6,0.8097,0.9981,0.086,1.463,
South Korea,Czechia,2.3,0.83,1.133,1.681,1.1657,1.0486,1.973,0.792,
Spain,Cape Verde,2.1,0.2,0.9,1.31,0.9259,0.8172,2.268,0.245,
Sweden,Tunisia,1.33,0.28,0.93,1.545,0.9568,0.9637,1.39,0.291,
Switzerland,Qatar,3.2,0.6,1.357,1.267,1.3961,0.7903,2.292,0.759,
Tunisia,Sweden,0.28,1.33,1.41,1.18,1.4,0.7361,0.2,1.807,
Turkey,Australia,1.36,1.18,1.028,1.102,1.0576,0.7,1.286,1.686,
USA,Paraguay,1.42,0.54,1.048,1.146,1.0782,0.7149,1.317,0.755,
Uruguay,Saudi Arabia,1.72,0.66,1.002,1.47,1.0309,0.917,1.668,0.72,
Uzbekistan,Colombia,1.16,1.62,1.085,1.412,1.1163,0.8808,1.039,1.839,
