# UEFA Euro 2024 FootyStats parsed table

team,matches,gf,ga,xg,xga
Germany,10,35,7,2.27,0.78
Austria,10,27,4,1.54,0.93
England,10,24,2,2.24,0.56
Italy,10,24,10,2.06,1.13
France,10,25,9,2.23,0.75
Spain,10,28,4,2.36,0.64
Belgium,10,37,6,2.45,0.73
Portugal,10,26,9,2.34,0.91
Croatia,10,19,10,2.02,1.0
Turkey,10,22,13,1.81,1.24
Netherlands,10,23,9,1.68,0.92
Scotland,10,22,10,1.47,1.49
Ukraine,10,16,15,1.39,1.2
Slovakia,10,15,15,1.36,1.3
Denmark,10,27,9,2.32,0.9
Poland,10,17,13,1.53,1.2
Hungary,10,17,12,1.51,1.37
Switzerland,10,19,9,1.58,1.0
Czech Republic,10,19,11,1.42,1.1
Albania,10,9,9,1.32,1.38
Romania,10,16,15,1.37,1.4
Serbia,10,9,22,1.39,1.33
Georgia,10,14,18,1.34,1.17
Slovenia,10,8,14,1.08,1.38
