team,field,gap_type,action,confidence,is_estimated,notes
Mexico,high_turnovers90,missing_advanced_metric,left_empty,0.76,true,style=possession-dominant; qualifier_xg=1.6
Mexico,direct_attacks90,missing_advanced_metric,left_empty,0.76,true,style=possession-dominant; qualifier_xg=1.6
Mexico,fast_breaks90,missing_advanced_metric,left_empty,0.76,true,style=possession-dominant; qualifier_xg=1.6
Mexico,passes_per_sequence,missing_advanced_metric,left_empty,0.76,true,style=possession-dominant; qualifier_xg=1.6
Mexico,deep_completions90,missing_advanced_metric,left_empty,0.76,true,style=possession-dominant; qualifier_xg=1.6
Mexico,box_entries90,missing_advanced_metric,left_empty,0.76,true,style=possession-dominant; qualifier_xg=1.6
Mexico,crosses90,missing_advanced_metric,left_empty,0.76,true,style=possession-dominant; qualifier_xg=1.6
Mexico,cutbacks90,missing_advanced_metric,left_empty,0.76,true,style=possession-dominant; qualifier_xg=1.6
Mexico,set_piece_xg90,missing_advanced_metric,left_empty,0.76,true,style=possession-dominant; qualifier_xg=1.6
Mexico,ppda,estimated_from_style_coach,estimated,0.76,true,style_label=possession-dominant; pressing_intensity=0.5
South Africa,high_turnovers90,missing_advanced_metric,left_empty,0.76,true,style=low-block-direct; qualifier_xg=1.44
South Africa,direct_attacks90,missing_advanced_metric,left_empty,0.76,true,style=low-block-direct; qualifier_xg=1.44
South Africa,fast_breaks90,missing_advanced_metric,left_empty,0.76,true,style=low-block-direct; qualifier_xg=1.44
South Africa,passes_per_sequence,missing_advanced_metric,left_empty,0.76,true,style=low-block-direct; qualifier_xg=1.44
South Africa,deep_completions90,missing_advanced_metric,left_empty,0.76,true,style=low-block-direct; qualifier_xg=1.44
South Africa,box_entries90,missing_advanced_metric,left_empty,0.76,true,style=low-block-direct; qualifier_xg=1.44
South Africa,crosses90,missing_advanced_metric,left_empty,0.76,true,style=low-block-direct; qualifier_xg=1.44
South Africa,cutbacks90,missing_advanced_metric,left_empty,0.76,true,style=low-block-direct; qualifier_xg=1.44
South Africa,set_piece_xg90,missing_advanced_metric,left_empty,0.76,true,style=low-block-direct; qualifier_xg=1.44
