team,in_candidate_profile,formation_base,data_confidence,is_estimated,raw_metrics_filled_count,pressing_height,build_up_style
Mexico,yes,4-4-2,0.76,true,7,高位压迫,控球推进
South Africa,yes,4-2-3-1,0.76,true,7,低位/被动,直接打法
South Korea,yes,4-2-3-1,0.76,true,7,高位压迫,控球推进
Czechia,yes,4-2-3-1,0.76,true,7,低位/被动,直接打法
Canada,yes,4-3-3,0.76,true,8,高位压迫,控球推进
Bosnia and Herzegovina,yes,4-4-2,0.76,true,8,低位/被动,直接打法
Qatar,yes,4-3-3,0.76,true,8,低位/被动,直接打法
Switzerland,yes,4-2-3-1,0.76,true,9,中位压迫,控球推进
Brazil,yes,4-4-2,0.88,false,7,中位压迫,混合推进
Morocco,yes,4-2-3-1,0.88,false,7,高位压迫,混合推进
Haiti,yes,4-4-2,0.88,false,7,低位/被动,混合推进
Scotland,yes,4-4-2,0.88,false,7,中位压迫,混合推进
USA,yes,4-1-2-3,0.88,false,8,高位压迫,控球推进
Paraguay,yes,4-4-2,0.88,false,7,低位/被动,直接打法
Australia,yes,4-2-3-1,0.88,false,7,低位/被动,直接打法
Turkey,yes,4-2-3-1,0.88,false,7,高位压迫,控球推进
Germany,yes,4-2-3-1,0.76,true,7,高位压迫,控球推进
Curacao,yes,4-4-2,0.76,true,7,低位/被动,直接打法
Ivory Coast,yes,4-3-3,0.76,true,7,中位压迫,混合推进
Ecuador,yes,5-3-2,0.76,true,7,高位压迫,混合推进
Netherlands,yes,4-3-3,0.76,true,7,中位压迫,控球推进
Japan,yes,4-2-3-1,0.76,true,7,低位/被动,直接打法
Sweden,yes,4-2-3-1,0.76,true,7,中位压迫,混合推进
Tunisia,yes,4-5-1,0.76,true,7,中位压迫,混合推进
Belgium,yes,4-2-3-1,0.76,true,7,高位压迫,混合推进
Egypt,yes,4-2-3-1,0.76,true,7,中位压迫,混合推进
Iran,yes,4-4-2,0.76,true,7,中位压迫,混合推进
New Zealand,yes,5-3-2,0.76,true,7,中位压迫,混合推进
Spain,yes,4-3-3,0.76,true,7,高位压迫,控球推进
Cape Verde,yes,5-3-2,0.76,true,7,低位/被动,直接打法
Saudi Arabia,yes,4-2-3-1,0.76,true,7,低位/被动,直接打法
Uruguay,yes,3-3-1-3,0.76,true,7,高位压迫,控球推进
France,yes,4-2-3-1,0.76,true,7,中位压迫,混合推进
Senegal,yes,4-3-3,0.76,true,7,中位压迫,混合推进
Iraq,yes,4-2-3-1,0.76,true,7,低位/被动,直接打法
Norway,yes,4-3-3,0.76,true,7,高位压迫,控球推进
Argentina,yes,4-3-3,0.76,true,7,中位压迫,混合推进
Algeria,yes,4-2-3-1,0.76,true,7,高位压迫,混合推进
Austria,yes,4-2-3-1,0.76,true,7,高位压迫,控球推进
Jordan,yes,5-3-2,0.76,true,7,低位/被动,直接打法
Portugal,yes,4-3-3,0.76,true,7,中位压迫,控球推进
DR Congo,yes,4-2-3-1,0.76,true,7,低位/被动,直接打法
Uzbekistan,yes,4-2-3-1,0.76,true,7,低位/被动,直接打法
Colombia,yes,4-2-3-1,0.76,true,7,高位压迫,控球推进
England,yes,3-4-2-1,0.76,true,7,中位压迫,混合推进
Croatia,yes,4-3-3,0.76,true,7,中位压迫,混合推进
Ghana,yes,4-4-2,0.76,true,7,低位/被动,直接打法
Panama,yes,4-4-2,0.76,true,7,高位压迫,控球推进
