match_id,group,round,date,home,away,in_candidate,is_existing_preserved,is_new_generated,home_profile_found,away_profile_found,confidence,is_estimated,team_profile_degraded
WC2026-A1,A,1,2026-06-11,Mexico,South Africa,yes,no,yes,yes,yes,0.7,true,false
WC2026-A2,A,1,2026-06-12,South Korea,Czechia,yes,no,yes,yes,yes,0.7,true,false
WC2026-B3,B,1,2026-06-13,Canada,Bosnia and Herzegovina,yes,no,yes,yes,yes,0.7,true,false
WC2026-D4,D,1,2026-06-13,USA,Paraguay,yes,no,yes,yes,yes,0.88,true,false
WC2026-C5,C,1,2026-06-14,Haiti,Scotland,yes,no,yes,yes,yes,0.88,true,false
WC2026-D6,D,1,2026-06-14,Australia,Turkey,yes,no,yes,yes,yes,0.88,true,false
WC2026-C7,C,1,2026-06-14,Brazil,Morocco,yes,no,yes,yes,yes,0.88,true,false
WC2026-B8,B,1,2026-06-14,Qatar,Switzerland,yes,no,yes,yes,yes,0.7,true,false
WC2026-E9,E,1,2026-06-15,Ivory Coast,Ecuador,yes,no,yes,yes,yes,0.7,true,false
WC2026-E10,E,1,2026-06-15,Germany,Curacao,yes,no,yes,yes,yes,0.7,true,false
WC2026-F11,F,1,2026-06-15,Netherlands,Japan,yes,no,yes,yes,yes,0.7,true,false
WC2026-F12,F,1,2026-06-15,Sweden,Tunisia,yes,no,yes,yes,yes,0.7,true,false
WC2026-H13,H,1,2026-06-16,Saudi Arabia,Uruguay,yes,no,yes,yes,yes,0.7,true,false
WC2026-H14,H,1,2026-06-16,Spain,Cape Verde,yes,no,yes,yes,yes,0.7,true,false
WC2026-G15,G,1,2026-06-16,Iran,New Zealand,yes,no,yes,yes,yes,0.7,true,false
WC2026-G16,G,1,2026-06-16,Belgium,Egypt,yes,no,yes,yes,yes,0.7,true,false
WC2026-I17,I,1,2026-06-16,France,Senegal,yes,no,yes,yes,yes,0.7,true,false
WC2026-I18,I,1,2026-06-16,Iraq,Norway,yes,no,yes,yes,yes,0.7,true,false
WC2026-J19,J,1,2026-06-17,Argentina,Algeria,yes,no,yes,yes,yes,0.7,true,false
WC2026-J20,J,1,2026-06-17,Austria,Jordan,yes,no,yes,yes,yes,0.7,true,false
WC2026-L21,L,1,2026-06-18,Ghana,Panama,yes,no,yes,yes,yes,0.7,true,false
WC2026-L22,L,1,2026-06-18,England,Croatia,yes,no,yes,yes,yes,0.7,true,false
WC2026-K23,K,1,2026-06-18,Portugal,DR Congo,yes,no,yes,yes,yes,0.7,true,false
WC2026-K24,K,1,2026-06-18,Uzbekistan,Colombia,yes,no,yes,yes,yes,0.7,true,false
WC2026-A25,A,2,2026-06-18,Czechia,South Africa,yes,no,yes,yes,yes,0.7,true,false
WC2026-B26,B,2,2026-06-18,Switzerland,Bosnia and Herzegovina,yes,no,yes,yes,yes,0.7,true,false
WC2026-B27,B,2,2026-06-18,Canada,Qatar,yes,no,yes,yes,yes,0.7,true,false
WC2026-A28,A,2,2026-06-18,Mexico,South Korea,yes,no,yes,yes,yes,0.7,true,false
WC2026-C29,C,2,2026-06-19,Brazil,Haiti,yes,yes,no,yes,yes,0.72,true,false
WC2026-C30,C,2,2026-06-19,Scotland,Morocco,yes,yes,no,yes,yes,0.7,true,false
WC2026-D31,D,2,2026-06-19,Turkey,Paraguay,yes,yes,no,yes,yes,0.72,true,false
WC2026-D32,D,2,2026-06-19,USA,Australia,yes,yes,no,yes,yes,0.75,true,false
WC2026-E33,E,2,2026-06-20,Germany,Ivory Coast,yes,no,yes,yes,yes,0.7,true,false
WC2026-E34,E,2,2026-06-20,Ecuador,Curacao,yes,no,yes,yes,yes,0.7,true,false
WC2026-F35,F,2,2026-06-20,Netherlands,Sweden,yes,no,yes,yes,yes,0.7,true,false
WC2026-F36,F,2,2026-06-20,Tunisia,Japan,yes,no,yes,yes,yes,0.7,true,false
WC2026-H37,H,2,2026-06-21,Uruguay,Cape Verde,yes,no,yes,yes,yes,0.7,true,false
WC2026-H38,H,2,2026-06-21,Spain,Saudi Arabia,yes,no,yes,yes,yes,0.7,true,false
WC2026-G39,G,2,2026-06-21,Belgium,Iran,yes,no,yes,yes,yes,0.7,true,false
WC2026-G40,G,2,2026-06-21,New Zealand,Egypt,yes,no,yes,yes,yes,0.7,true,false
WC2026-I41,I,2,2026-06-22,Norway,Senegal,yes,no,yes,yes,yes,0.7,true,false
WC2026-I42,I,2,2026-06-22,France,Iraq,yes,no,yes,yes,yes,0.7,true,false
WC2026-J43,J,2,2026-06-22,Argentina,Austria,yes,no,yes,yes,yes,0.7,true,false
WC2026-J44,J,2,2026-06-22,Jordan,Algeria,yes,no,yes,yes,yes,0.7,true,false
WC2026-L45,L,2,2026-06-23,England,Ghana,yes,no,yes,yes,yes,0.7,true,false
WC2026-L46,L,2,2026-06-23,Panama,Croatia,yes,no,yes,yes,yes,0.7,true,false
WC2026-K47,K,2,2026-06-23,Portugal,Uzbekistan,yes,no,yes,yes,yes,0.7,true,false
WC2026-K48,K,2,2026-06-23,Colombia,DR Congo,yes,no,yes,yes,yes,0.7,true,false
WC2026-C49,C,3,2026-06-24,Scotland,Brazil,yes,no,yes,yes,yes,0.88,true,false
WC2026-C50,C,3,2026-06-24,Morocco,Haiti,yes,no,yes,yes,yes,0.88,true,false
WC2026-B51,B,3,2026-06-24,Switzerland,Canada,yes,no,yes,yes,yes,0.7,true,false
WC2026-B52,B,3,2026-06-24,Bosnia and Herzegovina,Qatar,yes,no,yes,yes,yes,0.7,true,false
WC2026-A53,A,3,2026-06-24,Czechia,Mexico,yes,no,yes,yes,yes,0.7,true,false
WC2026-A54,A,3,2026-06-24,South Africa,South Korea,yes,no,yes,yes,yes,0.7,true,false
WC2026-E55,E,3,2026-06-25,Curacao,Ivory Coast,yes,no,yes,yes,yes,0.7,true,false
WC2026-E56,E,3,2026-06-25,Ecuador,Germany,yes,no,yes,yes,yes,0.7,true,false
WC2026-F57,F,3,2026-06-25,Japan,Sweden,yes,no,yes,yes,yes,0.7,true,false
WC2026-F58,F,3,2026-06-25,Tunisia,Netherlands,yes,no,yes,yes,yes,0.7,true,false
WC2026-D59,D,3,2026-06-25,Turkey,USA,yes,no,yes,yes,yes,0.88,true,false
WC2026-D60,D,3,2026-06-25,Paraguay,Australia,yes,no,yes,yes,yes,0.88,true,false
WC2026-I61,I,3,2026-06-26,Norway,France,yes,no,yes,yes,yes,0.7,true,false
WC2026-I62,I,3,2026-06-26,Senegal,Iraq,yes,no,yes,yes,yes,0.7,true,false
WC2026-G63,G,3,2026-06-26,Egypt,Iran,yes,no,yes,yes,yes,0.7,true,false
WC2026-G64,G,3,2026-06-26,New Zealand,Belgium,yes,no,yes,yes,yes,0.7,true,false
WC2026-H65,H,3,2026-06-26,Cape Verde,Saudi Arabia,yes,no,yes,yes,yes,0.7,true,false
WC2026-H66,H,3,2026-06-26,Uruguay,Spain,yes,no,yes,yes,yes,0.7,true,false
WC2026-L67,L,3,2026-06-27,Panama,England,yes,no,yes,yes,yes,0.7,true,false
WC2026-L68,L,3,2026-06-27,Croatia,Ghana,yes,no,yes,yes,yes,0.7,true,false
WC2026-J69,J,3,2026-06-27,Algeria,Austria,yes,no,yes,yes,yes,0.7,true,false
WC2026-J70,J,3,2026-06-27,Jordan,Argentina,yes,no,yes,yes,yes,0.7,true,false
WC2026-K71,K,3,2026-06-27,Colombia,Portugal,yes,no,yes,yes,yes,0.7,true,false
WC2026-K72,K,3,2026-06-27,DR Congo,Uzbekistan,yes,no,yes,yes,yes,0.7,true,false
